horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,answer_entropy,300,0.016544566102347127,0.0003442971854583011,1.9054657370547383
2,0.1,50,learned_mean,300,0.00507833138616107,0.00026697305833180043,0.5848800384294652
2,0.1,50,learned_occupancy,300,0.00047398334453657,9.232700746619257e-06,0.054589465650653535
2,0.1,50,mean_influence,300,0.00023262952072319157,3.5614892514162555e-06,0.02679233643381084
2,0.1,50,occupancy,300,0.0002895318400082413,4.852975967951601e-06,0.03334587305035767
2,0.1,50,oracle_no_cov,300,0.0012707074957072006,5.173559882697292e-05,0.1463495373592905
2,0.1,50,oracle_tail,300,0.0012707074957072006,5.173559882697292e-05,0.1463495373592905
2,0.1,50,tis,300,0.007554191718567334,0.00021562138334444035,0.8700290718915038
2,0.1,50,tis_no_cov,300,0.007554191718567334,0.00021562138334444035,0.8700290718915038
2,0.1,50,uniform,300,0.008682688846412908,0.00013578996781391528,1.0
2,0.1,50,untied_tis,300,0.007393234296460265,0.00018922914598707504,0.851491332608866
2,0.1,100,answer_entropy,300,0.009903582667098074,0.00024910202640898965,2.1603787648581294
2,0.1,100,learned_mean,300,0.002834901321515145,0.0001676881976387457,0.6184085922578707
2,0.1,100,learned_occupancy,300,0.0002029601579852156,4.049430673417697e-06,0.04427395924913208
2,0.1,100,mean_influence,300,0.00011177477366554157,1.7163291810060972e-06,0.02438267600634028
2,0.1,100,occupancy,300,0.00014361601090806444,2.3451089992216634e-06,0.0313285596423793
2,0.1,100,oracle_no_cov,300,0.0007091426760535692,3.583676090701362e-05,0.15469318832370657
2,0.1,100,oracle_tail,300,0.0007091426760535692,3.583676090701362e-05,0.15469318832370657
2,0.1,100,tis,300,0.0038735924510151657,0.00013808472891242268,0.8449898542968407
2,0.1,100,tis_no_cov,300,0.003873592452086941,0.00013808472891404668,0.844989854530639
2,0.1,100,uniform,300,0.004584188119321954,7.113900136044282e-05,1.0
2,0.1,100,untied_tis,300,0.003836354360169046,0.0001235420301694242,0.8368666948895807
2,0.1,200,answer_entropy,300,0.005238000314709725,0.00015712452082104826,2.228598387389383
2,0.1,200,learned_mean,300,0.0013073335262913008,8.355880405643992e-05,0.5562277994315714
2,0.1,200,learned_occupancy,300,9.034218714445801e-05,1.555991085927566e-06,0.03843765568664852
2,0.1,200,mean_influence,300,5.354809048003912e-05,9.300560210156066e-07,0.022782966957154392
2,0.1,200,occupancy,300,6.879599774621357e-05,1.113795476385971e-06,0.02927045445291304
2,0.1,200,oracle_no_cov,300,0.0003876595508809623,2.6473403838161376e-05,0.16493650210811073
2,0.1,200,oracle_tail,300,0.0003876595508809623,2.6473403838161376e-05,0.16493650210811073
2,0.1,200,tis,300,0.0017882041312278847,7.97915165664706e-05,0.7608225665787011
2,0.1,200,tis_no_cov,300,0.0017882041312278847,7.97915165664706e-05,0.7608225665787011
2,0.1,200,uniform,300,0.0023503563245621858,4.081269014552229e-05,1.0
2,0.1,200,untied_tis,300,0.0017942612218640292,7.17506427467366e-05,0.7633996611974384
2,0.1,400,answer_entropy,300,0.0027620590224161925,8.17123340765163e-05,2.3390267394080153
2,0.1,400,learned_mean,300,0.00047367615768860173,3.951013003063557e-05,0.40112871943065237
2,0.1,400,learned_occupancy,300,4.216837826214703e-05,7.144583847875761e-07,0.03570994084925509
2,0.1,400,mean_influence,300,2.651669940539759e-05,4.6490938647497526e-07,0.022455446623951176
2,0.1,400,occupancy,300,3.433858247991704e-05,6.151852347800549e-07,0.02907934333120523
2,0.1,400,oracle_no_cov,300,0.00021460925888693795,1.6064820972790757e-05,0.181740068183614
2,0.1,400,oracle_tail,300,0.00021460925888693795,1.6064820972790757e-05,0.181740068183614
2,0.1,400,tis,300,0.0008044646812023969,4.278445785700118e-05,0.6812542327917777
2,0.1,400,tis_no_cov,300,0.0008044646812023969,4.278445785700118e-05,0.6812542327917777
2,0.1,400,uniform,300,0.0011808582500921912,2.0230850454946058e-05,1.0
2,0.1,400,untied_tis,300,0.0007093816139541933,3.5101095258475975e-05,0.6007339271236076
2,0.2,50,answer_entropy,300,0.009106455475986217,0.0002602653021385632,2.255694661592572
2,0.2,50,learned_mean,300,0.0025159690816455387,0.00013972342471547805,0.6232126255012722
2,0.2,50,learned_occupancy,300,0.00019694134388461608,3.5350394118257847e-06,0.048782925389451254
2,0.2,50,mean_influence,300,9.453651187224769e-05,1.525397078137181e-06,0.023416960168326933
2,0.2,50,occupancy,300,0.00012274052053154227,1.8046735028378372e-06,0.030403172524610545
2,0.2,50,oracle_no_cov,300,0.00015786094137439874,6.9353938800218775e-06,0.03910259965265416
2,0.2,50,oracle_tail,300,0.00015786094137439874,6.9353938800218775e-06,0.03910259965265416
2,0.2,50,tis,300,0.003095984386648142,0.00010778574635672463,0.7668840496449969
2,0.2,50,tis_no_cov,300,0.003095984386648142,0.00010778574635672463,0.7668840496449969
2,0.2,50,uniform,300,0.004037095814003856,6.800064977138637e-05,1.0
2,0.2,50,untied_tis,300,0.003116404124127572,0.00011131651352932044,0.7719420761125874
2,0.2,100,answer_entropy,300,0.004858165450311183,0.00013883893311183684,2.4679806518944254
2,0.2,100,learned_mean,300,0.0013061116821531209,8.282221275631921e-05,0.6635134998460602
2,0.2,100,learned_occupancy,300,8.444771830827327e-05,1.4500021199477738e-06,0.04290000762903193
2,0.2,100,mean_influence,300,4.491060774099454e-05,7.006162445717376e-07,0.022814890127402915
2,0.2,100,occupancy,300,5.8082773302502684e-05,9.051320886912926e-07,0.02950643863101962
2,0.2,100,oracle_no_cov,300,9.410640727080822e-05,4.746422937272569e-06,0.04780668644143747
2,0.2,100,oracle_tail,300,9.410640727080822e-05,4.746422937272569e-06,0.04780668644143747
2,0.2,100,tis,300,0.001479499952622618,6.909453646639198e-05,0.7515959048528198
2,0.2,100,tis_no_cov,300,0.001479499952622618,6.909453646639198e-05,0.7515959048528198
2,0.2,100,uniform,300,0.001968477932183969,3.052838058920633e-05,1.0
2,0.2,100,untied_tis,300,0.0014692972037985072,8.008214536404987e-05,0.7464128399795494
2,0.2,200,answer_entropy,300,0.002351538300749714,6.0929080193924715e-05,2.3096865984001314
2,0.2,200,learned_mean,300,0.0004940796753011671,3.888672975955054e-05,0.48528625037541095
2,0.2,200,learned_occupancy,300,3.866447700399826e-05,9.417261857717163e-07,0.03797634269525334
2,0.2,200,mean_influence,300,2.219323256260429e-05,3.353532648528681e-07,0.02179824662378754
2,0.2,200,occupancy,300,2.9020903571665193e-05,4.641080711289625e-07,0.028504401578986597
2,0.2,200,oracle_no_cov,300,3.9784300332240764e-05,2.5545505764257424e-06,0.03907623587283541
2,0.2,200,oracle_tail,300,3.9784300332240764e-05,2.5545505764257424e-06,0.03907623587283541
2,0.2,200,tis,300,0.0006258948078569221,4.0441662954691084e-05,0.6147553919298135
2,0.2,200,tis_no_cov,300,0.0006258948078569221,4.0441662954691084e-05,0.6147553919298135
2,0.2,200,uniform,300,0.0010181200784463885,1.64731200508879e-05,1.0
2,0.2,200,untied_tis,300,0.0005618204681183684,3.807020245451924e-05,0.5518214206871203
2,0.2,400,answer_entropy,300,0.0013174731737629986,3.708503944975621e-05,2.5903954001823952
2,0.2,400,learned_mean,300,0.00019435197420509615,2.231176593428469e-05,0.38213184907536824
2,0.2,400,learned_occupancy,300,1.70290324980081e-05,2.593723006614679e-07,0.033482220610536725
2,0.2,400,mean_influence,300,1.0821014290303194e-05,1.569447768016357e-07,0.021276111120234337
2,0.2,400,occupancy,300,1.419010011127636e-05,2.110495676242919e-07,0.02790035561133209
2,0.2,400,oracle_no_cov,300,1.875631717912503e-05,1.6714611585121933e-06,0.03687838106516751
2,0.2,400,oracle_tail,300,1.875631717912503e-05,1.6714611585121933e-06,0.03687838106516751
2,0.2,400,tis,300,0.0002574725495913432,2.305674973673574e-05,0.5062385492295636
2,0.2,400,tis_no_cov,300,0.0002574725495913432,2.305674973673574e-05,0.5062385492295636
2,0.2,400,uniform,300,0.0005085992561870024,8.144630297901833e-06,1.0
2,0.2,400,untied_tis,300,0.00019673212153460424,1.2106021117823294e-05,0.38681165798297895
4,0.1,50,answer_entropy,300,0.07643754216346053,0.0014668754652503485,1.8578412038364118
4,0.1,50,learned_mean,300,0.02369083163551904,0.0008251619503483333,0.5758139511013526
4,0.1,50,learned_occupancy,300,0.0036927949584989474,0.00010553656960279135,0.08975467338480572
4,0.1,50,mean_influence,300,0.0013556470928959119,2.1660388981420383e-05,0.032949476863831303
4,0.1,50,occupancy,300,0.0019468532327436795,3.096817503580431e-05,0.04731894892536637
4,0.1,50,oracle_no_cov,300,0.0024195636652625634,0.00014803157657780164,0.0588083413647367
4,0.1,50,oracle_tail,300,0.002410048103696247,0.0001448172749923871,0.05857706231186318
4,0.1,50,tis,300,0.02923673228784492,0.0007270393130863006,0.7106090066807246
4,0.1,50,tis_no_cov,300,0.02927457828242523,0.0007393515019539639,0.7115288668193606
4,0.1,50,uniform,300,0.041143205353406015,0.0006227924747911202,1.0
4,0.1,50,untied_tis,300,0.07995769357124023,0.0014292748757230435,1.9433997153219125
4,0.1,100,answer_entropy,300,0.04502276935691538,0.0012709892039415047,2.1366240878584284
4,0.1,100,learned_mean,300,0.014585844723668787,0.0007617362284065898,0.6921934750681148
4,0.1,100,learned_occupancy,300,0.00152816681980975,3.654007959708294e-05,0.07252148377607537
4,0.1,100,mean_influence,300,0.0006797668296045349,1.154765152529688e-05,0.03225937015882652
4,0.1,100,occupancy,300,0.000967286710106849,1.733432607435221e-05,0.04590406397029378
4,0.1,100,oracle_no_cov,300,0.001480083920197587,0.00011288649855614719,0.07023963654648806
4,0.1,100,oracle_tail,300,0.0014699345203749764,0.00011344205012983537,0.06975798132074248
4,0.1,100,tis,300,0.01550167741554887,0.0006029788512733296,0.7356557102408753
4,0.1,100,tis_no_cov,300,0.015423151763245177,0.0006039522702180914,0.7319291558191159
4,0.1,100,uniform,300,0.02107191883343523,0.00032341493364654636,1.0
4,0.1,100,untied_tis,300,0.04318654297042559,0.0009366418432525003,2.049483168182133
4,0.1,200,answer_entropy,300,0.023971521012188843,0.0007204350747259435,2.1479337477352876
4,0.1,200,learned_mean,300,0.007823853850002022,0.0004756268584948826,0.7010451991437286
4,0.1,200,learned_occupancy,300,0.000660028510027879,1.2395765585226661e-05,0.059140907681054566
4,0.1,200,mean_influence,300,0.0003359583293302055,5.8086194569811556e-06,0.030103064091518965
4,0.1,200,occupancy,300,0.00048180644782998733,8.523481467448683e-06,0.043171575497619845
4,0.1,200,oracle_no_cov,300,0.0006964305532739832,5.586737887281786e-05,0.06240266053916773
4,0.1,200,oracle_tail,300,0.0006938926619993689,5.5960620290968166e-05,0.06217525643268424
4,0.1,200,tis,300,0.008606956253016438,0.0004593397982412743,0.7712139664285409
4,0.1,200,tis_no_cov,300,0.008560031787857874,0.00045828342503660387,0.7670093670517528
4,0.1,200,uniform,300,0.01116027020733933,0.0001869915791692444,1.0
4,0.1,200,untied_tis,300,0.02457920502559824,0.0008359814689640362,2.2023844018968477
4,0.1,400,answer_entropy,300,0.012642973983797556,0.0004527544235557988,2.331747897145744
4,0.1,400,learned_mean,300,0.002908497328418566,0.0002540099403866368,0.5364151297064473
4,0.1,400,learned_occupancy,300,0.0002933405284937872,4.913794659281139e-06,0.05410089124122031
4,0.1,400,mean_influence,300,0.00015839147005497373,2.658702301777382e-06,0.029212191506509222
4,0.1,400,occupancy,300,0.0002298628087780369,4.106603297406443e-06,0.04239367428004542
4,0.1,400,oracle_no_cov,300,0.0003840479490245142,4.087496901353411e-05,0.07083009098086157
4,0.1,400,oracle_tail,300,0.0003801773473054778,4.0107795538869766e-05,0.07011623461837772
4,0.1,400,tis,300,0.003281944933828632,0.0002464068412690957,0.6052901957886032
4,0.1,400,tis_no_cov,300,0.0032698448614870176,0.00024472149759879484,0.6030585754219057
4,0.1,400,uniform,300,0.0054221015913742746,9.35000791792876e-05,1.0
4,0.1,400,untied_tis,300,0.014447988900551658,0.0006608728874096156,2.6646473986279
4,0.2,50,answer_entropy,300,0.04617966737970219,0.001218922184281461,2.1803758641058453
4,0.2,50,learned_mean,300,0.015248493125706091,0.000802930863206967,0.7199585501970732
4,0.2,50,learned_occupancy,300,0.0018719586957568234,4.458017095748535e-05,0.08838464610997285
4,0.2,50,mean_influence,300,0.0007293102296306538,1.115483427413117e-05,0.03443442779821998
4,0.2,50,occupancy,300,0.0010149657973758408,1.664432162452136e-05,0.0479216731748036
4,0.2,50,oracle_no_cov,300,0.0010321010510525083,3.312447434573318e-05,0.04873071524162365
4,0.2,50,oracle_tail,300,0.0010196795066166207,3.2778650461294816e-05,0.04814423124943206
4,0.2,50,tis,300,0.015717930015702795,0.0007064465399121426,0.7421230421206251
4,0.2,50,tis_no_cov,300,0.01567201835502355,0.0007048930811433267,0.7399553202095306
4,0.2,50,uniform,300,0.021179681971319243,0.0003353814531211001,1.0
4,0.2,50,untied_tis,300,0.03705733854860537,0.0011166983360368873,1.7496645416483154
4,0.2,100,answer_entropy,300,0.024472690579271646,0.0006604651799163692,2.2946434971115197
4,0.2,100,learned_mean,300,0.007530766505535436,0.0004925970626005974,0.7061105248815036
4,0.2,100,learned_occupancy,300,0.0007451156227935942,1.2835112995857229e-05,0.0698645991907281
4,0.2,100,mean_influence,300,0.00035109874697237403,4.824453628063174e-06,0.03292022403399089
4,0.2,100,occupancy,300,0.0004857351653774468,7.3467586416975485e-06,0.045544196905582715
4,0.2,100,oracle_no_cov,300,0.0004940374128250874,2.1254909529214242e-05,0.04632264413252045
4,0.2,100,oracle_tail,300,0.0004866494045706306,2.113313207000228e-05,0.04562991911142879
4,0.2,100,tis,300,0.007398161196038589,0.0003981599832290498,0.693676995755077
4,0.2,100,tis_no_cov,300,0.007379828267581976,0.0003972616054204906,0.6919580374358145
4,0.2,100,uniform,300,0.010665138445286899,0.0001504164023396996,1.0
4,0.2,100,untied_tis,300,0.022242610242685826,0.0008069468357689434,2.0855435076433726
4,0.2,200,answer_entropy,300,0.01346670444273282,0.0004067538110379855,2.4952965843249513
4,0.2,200,learned_mean,300,0.0031628481454898452,0.00020572471077572784,0.5860560917291306
4,0.2,200,learned_occupancy,300,0.0003182314253791449,5.410653305396047e-06,0.05896630405384441
4,0.2,200,mean_influence,300,0.0001659263158182209,2.5761411383941496e-06,0.030745114431783644
4,0.2,200,occupancy,300,0.00023269561585593924,3.7113358580468488e-06,0.04311705049308151
4,0.2,200,oracle_no_cov,300,0.00024256707089875026,1.48630973172001e-05,0.04494616972231775
4,0.2,200,oracle_tail,300,0.00024022624148405762,1.4921409596795092e-05,0.04451242858930268
4,0.2,200,tis,300,0.0030346381909785005,0.00019244510384615695,0.5622995844909208
4,0.2,200,tis_no_cov,300,0.0030178749823523776,0.00019142715004444557,0.5591934661822454
4,0.2,200,uniform,300,0.0053968352008047765,7.843576006609286e-05,1.0
4,0.2,200,untied_tis,300,0.012059954629157939,0.000433821209454916,2.234634592392141
4,0.2,400,answer_entropy,300,0.006337181672361338,0.00018823181685371674,2.2422595741923694
4,0.2,400,learned_mean,300,0.0012551111455730813,0.00013043410334055374,0.44409094268369703
4,0.2,400,learned_occupancy,300,0.0001524902434098549,2.5144862018014266e-06,0.05395501122335128
4,0.2,400,mean_influence,300,8.368583400788589e-05,1.3188209075570668e-06,0.029610223002891404
4,0.2,400,occupancy,300,0.00012126141605569634,1.9393134848458852e-06,0.04290544049208158
4,0.2,400,oracle_no_cov,300,9.300318261730736e-05,4.676322933234812e-06,0.03290694309167791
4,0.2,400,oracle_tail,300,9.224140890323065e-05,4.7207298054226466e-06,0.03263740775372063
4,0.2,400,tis,300,0.0012760692316423864,0.0001288602170913947,0.451506458219665
4,0.2,400,tis_no_cov,300,0.0012871505891988253,0.0001311964115708876,0.45542733051915135
4,0.2,400,uniform,300,0.0028262480157516564,4.6314668734769164e-05,1.0
4,0.2,400,untied_tis,300,0.006127380986270731,0.00032687125823605256,2.1680266388939398
6,0.1,50,answer_entropy,300,0.19981105678449795,0.00395195244067958,1.7742808798002738
6,0.1,50,learned_mean,300,0.07067729578648282,0.0025370815956395998,0.627599776348683
6,0.1,50,learned_occupancy,300,0.013144165388026876,0.00031012597944080354,0.11671747151641106
6,0.1,50,mean_influence,300,0.00419626278008895,6.726013190990813e-05,0.037261946046155944
6,0.1,50,occupancy,300,0.006549615011211539,0.00010100796597883629,0.05815922737938832
6,0.1,50,oracle_no_cov,300,0.005543360182190342,0.0002470023087757953,0.04922389250818254
6,0.1,50,oracle_tail,300,0.0053591577611842725,0.0002425401314695691,0.04758821308751624
6,0.1,50,tis,300,0.07810062142197635,0.0021374907642676385,0.6935173734604022
6,0.1,50,tis_no_cov,300,0.07821728627395742,0.00214131229688697,0.6945533332293253
6,0.1,50,uniform,300,0.11261523418264541,0.0020066576868782923,1.0
6,0.1,50,untied_tis,300,0.5564835244161962,0.010253630147378083,4.9414586619218985
6,0.1,100,answer_entropy,300,0.11362864242347386,0.00303670539258543,1.9750235058821064
6,0.1,100,learned_mean,300,0.04073712620979786,0.0019262006268438415,0.7080677909236002
6,0.1,100,learned_occupancy,300,0.005174710356503291,0.00011048163318753402,0.0899436477656469
6,0.1,100,mean_influence,300,0.0019518275238935463,3.4631819952559044e-05,0.03392547122714775
6,0.1,100,occupancy,300,0.002966117296229653,4.9763066795494176e-05,0.051555235161789136
6,0.1,100,oracle_no_cov,300,0.0029488413130686775,0.00017354503373754278,0.05125495459781839
6,0.1,100,oracle_tail,300,0.0029167180492856676,0.0001736612556026879,0.05069660769070099
6,0.1,100,tis,300,0.04102879593962878,0.001608000443773332,0.7131374156245932
6,0.1,100,tis_no_cov,300,0.04090398354273084,0.0016056568401490007,0.7109680029444678
6,0.1,100,uniform,300,0.0575328050957671,0.0010454529083712687,1.0
6,0.1,100,untied_tis,300,0.13161797737728678,0.0029385828224665913,2.287703114044241
6,0.1,200,answer_entropy,300,0.06664940937319346,0.0024126260020720706,2.342919153179809
6,0.1,200,learned_mean,300,0.02367916490896796,0.0017785565113559026,0.832391007186296
6,0.1,200,learned_occupancy,300,0.002198067131505348,4.2121265126585425e-05,0.07726840538890327
6,0.1,200,mean_influence,300,0.0009553675861450617,1.690819551850202e-05,0.03358392875431384
6,0.1,200,occupancy,300,0.0014451232756043102,2.4202827659707266e-05,0.050800255140461326
6,0.1,200,oracle_no_cov,300,0.001392278021572886,9.279261675947875e-05,0.04894259189949233
6,0.1,200,oracle_tail,300,0.001379959506559895,9.39504108588894e-05,0.04850956053381187
6,0.1,200,tis,300,0.02004485933348075,0.0011212117942346201,0.7046346741385519
6,0.1,200,tis_no_cov,300,0.02000925088377021,0.00111996291031902,0.7033829343313057
6,0.1,200,uniform,300,0.028447165700419882,0.0005478407763657311,1.0
6,0.1,200,untied_tis,300,0.08007616167477764,0.002024314973833653,2.8149082589832743
6,0.1,400,answer_entropy,300,0.033466124664257614,0.0012759721528331572,2.2685639643892355
6,0.1,400,learned_mean,300,0.011079898169561227,0.0010424339864618776,0.7510716573471068
6,0.1,400,learned_occupancy,300,0.001009582154082097,1.846984850464002e-05,0.0684364179246361
6,0.1,400,mean_influence,300,0.0004891811080631987,8.263531802479319e-06,0.03316005796743442
6,0.1,400,occupancy,300,0.0007371343735146518,1.1978134818665656e-05,0.049968034645312576
6,0.1,400,oracle_no_cov,300,0.0006797648829434564,4.290873162373721e-05,0.04607913623622428
6,0.1,400,oracle_tail,300,0.0006654641481183586,4.1974401968450037e-05,0.04510973413144004
6,0.1,400,tis,300,0.009875629322717584,0.00090825517615656,0.6694380371776388
6,0.1,400,tis_no_cov,300,0.009841402405870074,0.0009053204464869595,0.6671179014896447
6,0.1,400,uniform,300,0.014752118604364626,0.000257049177218951,1.0
6,0.1,400,untied_tis,300,0.05755237591243133,0.0024680216888278823,3.901295634608281
6,0.2,50,answer_entropy,300,0.12685151118796262,0.002782325522523301,2.0667833677256637
6,0.2,50,learned_mean,300,0.04323674932918946,0.0020504235975100757,0.7044535264202063
6,0.2,50,learned_occupancy,300,0.0070553272284372,0.0001731152214904913,0.11495198467119035
6,0.2,50,mean_influence,300,0.0022935726690595007,3.755780006274577e-05,0.037369029353212464
6,0.2,50,occupancy,300,0.003537799301862125,5.9832295375208226e-05,0.057641132430860255
6,0.2,50,oracle_no_cov,300,0.003120338208530094,9.21860666779371e-05,0.05083946616538902
6,0.2,50,oracle_tail,300,0.0030064328961449914,9.314320958426608e-05,0.04898361436726345
6,0.2,50,tis,300,0.042724825475826386,0.001610859022920221,0.6961127845893496
6,0.2,50,tis_no_cov,300,0.042831237345339786,0.0016201060343777368,0.6978465462133085
6,0.2,50,uniform,300,0.06137629766565857,0.0009867423472587882,1.0
6,0.2,50,untied_tis,300,0.28704285896197856,0.007571318390086466,4.676770510427604
6,0.2,100,answer_entropy,300,0.06748233922916853,0.0023044231673416994,2.227253865052321
6,0.2,100,learned_mean,300,0.023680541872083846,0.001658637402993648,0.7815760243879429
6,0.2,100,learned_occupancy,300,0.002864909924734927,5.853113638583021e-05,0.09455632059853893
6,0.2,100,mean_influence,300,0.0010823639988452843,1.7514653937336226e-05,0.03572341189351726
6,0.2,100,occupancy,300,0.0016862012762169664,2.7449351381157726e-05,0.05565305460079659
6,0.2,100,oracle_no_cov,300,0.0013352181111107287,5.044387459042565e-05,0.04406885909156222
6,0.2,100,oracle_tail,300,0.0012881472428650932,4.9713277663273e-05,0.04251528560212774
6,0.2,100,tis,300,0.020327836568625537,0.0010154932490028178,0.6709200226724414
