horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,answer_entropy,300,0.027277169866807314,0.002380695143286141,0.034299528895322846,3.2345890081660227
2,0.1,50,0,learned_mean,300,0.019514107221895664,0.0026760690435093633,0.01416871648365385,2.31402733613232
2,0.1,50,0,learned_occupancy,300,0.0006958991159123795,6.28962714375243e-05,-0.00038425414459905587,0.08252130415706137
2,0.1,50,0,mean_influence,300,0.00045897644347988773,4.023575096048901e-05,-0.0009635697517429994,0.05442647335982387
2,0.1,50,0,occupancy,300,0.0004825435236491053,4.262637105842378e-05,-0.001136634286308941,0.057221111470820867
2,0.1,50,0,oracle_no_cov,300,0.00022359108048991872,1.7566509553697225e-05,-0.0016286188352242278,0.026513940222102163
2,0.1,50,0,oracle_tail,300,0.00022359108048991872,1.7566509553697225e-05,-0.0016286188352242278,0.026513940222102163
2,0.1,50,0,tis,300,0.007190597229116005,0.0011684624993926426,0.0006584908086521835,0.8526774175260148
2,0.1,50,0,tis_no_cov,300,0.007190597229116005,0.0011684624993926426,0.0006584908086521835,0.8526774175260148
2,0.1,50,0,uniform,300,0.008432963136257356,0.0005946463866460059,-0.0010672830212615047,1.0
2,0.1,50,0,untied_tis,300,0.010557803570783932,0.0014694428622742187,0.006971702481299212,1.2519684244071774
2,0.1,50,1,answer_entropy,300,0.009176943636623514,0.0006912285613653042,-0.00265940089493081,0.41911363975268034
2,0.1,50,1,learned_mean,300,0.0008776264660206904,8.62797968870278e-05,-0.0003410334407055952,0.04008145163377598
2,0.1,50,1,learned_occupancy,300,0.000989000429173096,7.873138327125088e-05,-0.001445837486273982,0.04516793237494571
2,0.1,50,1,mean_influence,300,0.00047852430812839566,3.065419520133956e-05,0.0008259050664460706,0.0218543419717042
2,0.1,50,1,occupancy,300,0.00062316561350336,4.8420997170866984e-05,-0.0004270594995978975,0.028460151743963484
2,0.1,50,1,oracle_no_cov,300,0.0004487384107272709,2.979466129271214e-05,0.00032433321755921137,0.02049401152102286
2,0.1,50,1,oracle_tail,300,0.0004487384107272709,2.979466129271214e-05,0.00032433321755921137,0.02049401152102286
2,0.1,50,1,tis,300,0.009266660289961447,0.0012200236969845517,-0.0028077369415730096,0.42321102496237367
2,0.1,50,1,tis_no_cov,300,0.009266660289961447,0.0012200236969845517,-0.0028077369415730096,0.42321102496237367
2,0.1,50,1,uniform,300,0.021896074873723612,0.001534239440909726,-0.007737880102332618,1.0
2,0.1,50,1,untied_tis,300,0.010348111899511878,0.0012403000364215179,0.0053896966741220145,0.47260122917875713
2,0.1,50,2,answer_entropy,300,0.008373884678463112,0.0007977600728460082,0.03390114052911462,1.2625626055701182
2,0.1,50,2,learned_mean,300,0.0013308583543040768,0.00014813069594049526,0.00772978370202864,0.2006586018286682
2,0.1,50,2,learned_occupancy,300,0.0010723846642368563,0.00011320212058785152,0.009446972841727087,0.16168753545586412
2,0.1,50,2,mean_influence,300,0.00026807672356495325,2.4468780674507424e-05,0.002765350493638885,0.040418952444779443
2,0.1,50,2,occupancy,300,0.0002599087396627654,2.428993835065128e-05,0.003508539379168791,0.039187434286388254
2,0.1,50,2,oracle_no_cov,300,0.0014220346910381173,0.00013720707480508628,0.02148617734693172,0.21440560667688835
2,0.1,50,2,oracle_tail,300,0.0014220346910381173,0.00013720707480508628,0.02148617734693172,0.21440560667688835
2,0.1,50,2,tis,300,0.01120909152202957,0.0009923373165588477,0.05673592066483986,1.6900375801120986
2,0.1,50,2,tis_no_cov,300,0.01120909152202957,0.0009923373165588477,0.05673592066483986,1.6900375801120986
2,0.1,50,2,uniform,300,0.006632451049571384,0.0005831542973111549,0.019479081183405793,1.0
2,0.1,50,2,untied_tis,300,0.01208530470038772,0.0010655480183844636,0.0621624810753646,1.8221475906963116
