horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,adaptive_neyman,0.0018088422559219485
2,0.1,50,0,answer_entropy,0.005935575112171503
2,0.1,50,0,mc_ucb_frozen,0.002342096364244326
2,0.1,50,0,mean_influence,3.7118756349077715e-05
2,0.1,50,0,occupancy,6.989322600286016e-05
2,0.1,50,0,oracle_tail,2.3910117790434145e-05
2,0.1,50,0,tis,0.0013672983588610625
2,0.1,50,0,uniform,0.001560734839070386
2,0.1,50,0,untied_tis,0.0013364280414521037
2,0.1,50,1,adaptive_neyman,0.0019789232935025166
2,0.1,50,1,answer_entropy,0.016103625148788245
2,0.1,50,1,mc_ucb_frozen,0.004313009982550836
2,0.1,50,1,mean_influence,6.106067210083002e-05
2,0.1,50,1,occupancy,7.396339351676428e-05
2,0.1,50,1,oracle_tail,4.173671384748443e-05
2,0.1,50,1,tis,0.0013081649664871014
2,0.1,50,1,uniform,0.001912550064794736
2,0.1,50,1,untied_tis,0.0010937552275337322
2,0.1,50,2,adaptive_neyman,0.0017734505749572632
2,0.1,50,2,answer_entropy,0.004919901341797186
2,0.1,50,2,mc_ucb_frozen,0.00681529519233769
2,0.1,50,2,mean_influence,3.0620801580544204e-05
2,0.1,50,2,occupancy,3.975075197059803e-05
2,0.1,50,2,oracle_tail,2.285692069848762e-05
2,0.1,50,2,tis,0.0009530672633550124
2,0.1,50,2,uniform,0.001354688410978121
2,0.1,50,2,untied_tis,0.002268763415048336
2,0.1,50,3,adaptive_neyman,0.00047623557338399776
2,0.1,50,3,answer_entropy,0.008405675622738694
2,0.1,50,3,mc_ucb_frozen,0.003060519777621682
2,0.1,50,3,mean_influence,4.0637243256878735e-05
2,0.1,50,3,occupancy,4.176145937296733e-05
2,0.1,50,3,oracle_tail,7.194400843069874e-05
2,0.1,50,3,tis,0.0006038104638821456
2,0.1,50,3,uniform,0.00435519481164113
2,0.1,50,3,untied_tis,0.0002599453287957936
2,0.1,50,4,adaptive_neyman,0.0019258803428550881
2,0.1,50,4,answer_entropy,0.005636840779638358
2,0.1,50,4,mc_ucb_frozen,0.004577517272142673
2,0.1,50,4,mean_influence,2.3323999155184194e-05
2,0.1,50,4,occupancy,4.496142485323574e-05
2,0.1,50,4,oracle_tail,1.847353559523476e-05
2,0.1,50,4,tis,0.0006953178949905415
2,0.1,50,4,uniform,0.0014418132242347214
2,0.1,50,4,untied_tis,0.001727130055413688
2,0.1,50,5,adaptive_neyman,0.0023570898591911975
2,0.1,50,5,answer_entropy,0.008622495541101106
2,0.1,50,5,mc_ucb_frozen,0.00405215944590029
2,0.1,50,5,mean_influence,2.8079965573986845e-05
2,0.1,50,5,occupancy,3.20298907603428e-05
2,0.1,50,5,oracle_tail,2.849764396883684e-05
2,0.1,50,5,tis,0.0010079530088630499
2,0.1,50,5,uniform,0.002652790458023448
2,0.1,50,5,untied_tis,0.0005478049111501868
2,0.1,50,6,adaptive_neyman,0.0044087348661730735
2,0.1,50,6,answer_entropy,0.006769223547763
2,0.1,50,6,mc_ucb_frozen,0.0033652378932590922
2,0.1,50,6,mean_influence,5.728370026430599e-05
2,0.1,50,6,occupancy,5.336357163755341e-05
2,0.1,50,6,oracle_tail,3.861172315767212e-05
2,0.1,50,6,tis,0.0009026940229974671
2,0.1,50,6,uniform,0.000827566274761563
2,0.1,50,6,untied_tis,0.0013311196265100324
2,0.1,50,7,adaptive_neyman,0.0034135664505542075
2,0.1,50,7,answer_entropy,0.0038079861750093696
2,0.1,50,7,mc_ucb_frozen,0.004908514089087251
2,0.1,50,7,mean_influence,5.630987112409331e-05
2,0.1,50,7,occupancy,7.66559365329395e-05
2,0.1,50,7,oracle_tail,4.9802232526121596e-05
2,0.1,50,7,tis,0.00225953199520159
2,0.1,50,7,uniform,0.0021713175691249437
2,0.1,50,7,untied_tis,0.00045357692563330934
2,0.1,50,8,adaptive_neyman,0.003157517564221898
2,0.1,50,8,answer_entropy,0.007505658304375479
2,0.1,50,8,mc_ucb_frozen,0.0031263996478438677
2,0.1,50,8,mean_influence,3.8072714124056795e-05
2,0.1,50,8,occupancy,5.2632579127470894e-05
2,0.1,50,8,oracle_tail,6.594497841850268e-05
2,0.1,50,8,tis,0.0011436971308560141
2,0.1,50,8,uniform,0.001792159236151653
2,0.1,50,8,untied_tis,0.0008850751597995223
2,0.1,50,9,adaptive_neyman,0.003395945433876497
2,0.1,50,9,answer_entropy,0.005742034150787102
2,0.1,50,9,mc_ucb_frozen,0.0013728123714059116
2,0.1,50,9,mean_influence,5.65212222396248e-05
2,0.1,50,9,occupancy,4.815680497798194e-05
2,0.1,50,9,oracle_tail,3.4091417958361466e-05
2,0.1,50,9,tis,0.0014893956505184398
2,0.1,50,9,uniform,0.002594899568039262
2,0.1,50,9,untied_tis,0.00200421080995784
2,0.1,50,10,adaptive_neyman,0.0030918187534475002
2,0.1,50,10,answer_entropy,0.004446850174915493
2,0.1,50,10,mc_ucb_frozen,0.0051574336794627685
2,0.1,50,10,mean_influence,6.945682971974488e-05
2,0.1,50,10,occupancy,9.421411836490298e-05
2,0.1,50,10,oracle_tail,7.79905643843186e-05
2,0.1,50,10,tis,0.0016955909431182947
2,0.1,50,10,uniform,0.002349775887697127
2,0.1,50,10,untied_tis,0.0025559111801645323
2,0.1,50,11,adaptive_neyman,0.0015937265784523645
2,0.1,50,11,answer_entropy,0.008005458075610079
2,0.1,50,11,mc_ucb_frozen,0.008701204431512819
2,0.1,50,11,mean_influence,0.00011231732290114143
2,0.1,50,11,occupancy,0.00012587629887432928
2,0.1,50,11,oracle_tail,9.035603858041993e-05
2,0.1,50,11,tis,0.0021011501390989663
2,0.1,50,11,uniform,0.003637021530009582
2,0.1,50,11,untied_tis,0.0002052817767783126
2,0.1,50,12,adaptive_neyman,0.003580249561163678
2,0.1,50,12,answer_entropy,0.005778163961144783
2,0.1,50,12,mc_ucb_frozen,0.005701203030154159
2,0.1,50,12,mean_influence,5.1549925331700095e-05
2,0.1,50,12,occupancy,6.480242969547784e-05
2,0.1,50,12,oracle_tail,3.613698803548895e-05
2,0.1,50,12,tis,0.001051373453003974
2,0.1,50,12,uniform,0.011469956286376037
2,0.1,50,12,untied_tis,0.0004735334012055784
2,0.1,50,13,adaptive_neyman,0.0011482214195799021
2,0.1,50,13,answer_entropy,0.006100704364848851
2,0.1,50,13,mc_ucb_frozen,0.003232955199804229
2,0.1,50,13,mean_influence,4.1816820066979744e-05
2,0.1,50,13,occupancy,4.8854074415580086e-05
2,0.1,50,13,oracle_tail,2.0403013087751997e-05
2,0.1,50,13,tis,0.0012631887685693383
2,0.1,50,13,uniform,0.0021055404722317224
2,0.1,50,13,untied_tis,0.00042263368751014284
2,0.1,50,14,adaptive_neyman,0.004310046051043544
2,0.1,50,14,answer_entropy,0.00413054024902944
2,0.1,50,14,mc_ucb_frozen,0.0031516762221110352
2,0.1,50,14,mean_influence,0.0001123081440538916
2,0.1,50,14,occupancy,0.0001520270642882506
2,0.1,50,14,oracle_tail,0.00010057973292980704
2,0.1,50,14,tis,0.0017015236822733634
2,0.1,50,14,uniform,0.002127266740096445
2,0.1,50,14,untied_tis,0.00024523745781421767
2,0.1,50,15,adaptive_neyman,0.0037732523558194303
2,0.1,50,15,answer_entropy,0.007607134448286913
2,0.1,50,15,mc_ucb_frozen,0.002512893992998125
2,0.1,50,15,mean_influence,3.251694739907397e-05
2,0.1,50,15,occupancy,4.119575744136992e-05
2,0.1,50,15,oracle_tail,3.829366431668933e-05
2,0.1,50,15,tis,0.0019678866020233494
2,0.1,50,15,uniform,0.0036591263486685397
2,0.1,50,15,untied_tis,0.0013326173766419567
2,0.1,50,16,adaptive_neyman,0.0034248561854273185
2,0.1,50,16,answer_entropy,0.0053008993820919505
2,0.1,50,16,mc_ucb_frozen,0.004088127323692804
2,0.1,50,16,mean_influence,4.507569941585559e-05
2,0.1,50,16,occupancy,6.982576219994131e-05
