horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,adaptive_neyman,300,0.0026977384714645725,7.809274741197625e-05,1.0344963060105186
2,0.1,50,answer_entropy,300,0.007427858352988643,0.0002879075249692475,2.8483457937138423
2,0.1,50,mc_ucb_frozen,300,0.003515642690127735,0.00011953858080739165,1.3481363796601014
2,0.1,50,mean_influence,300,5.6512047308124036e-05,1.2954260732114804e-06,0.021670560287338703
2,0.1,50,occupancy,300,7.052790623631276e-05,1.6612193386023225e-06,0.027045193314277093
2,0.1,50,oracle_tail,300,4.717502396655163e-05,1.1399551223263776e-06,0.0180901108634378
2,0.1,50,tis,300,0.0013587384156229189,6.317174699563849e-05,0.5210326674228745
2,0.1,50,uniform,300,0.0026077797047611134,0.00012243956719629382,1.0
2,0.1,50,untied_tis,300,0.0013839212603620054,5.5748583889453174e-05,0.5306894818743058
2,0.1,100,adaptive_neyman,300,0.0025318792798236724,6.477078380817577e-05,2.206669498771234
2,0.1,100,answer_entropy,300,0.004332680685202416,0.00018219592815821965,3.776165156111733
2,0.1,100,mc_ucb_frozen,300,0.0014754590080506206,4.049990339116158e-05,1.285942191516853
2,0.1,100,mean_influence,300,2.641947506467627e-05,5.843905577294518e-07,0.02302599901320272
2,0.1,100,occupancy,300,3.461584291011802e-05,8.378996158905532e-07,0.03016957614556316
2,0.1,100,oracle_tail,300,2.2026495753493137e-05,5.319618516371636e-07,0.01919728034878204
2,0.1,100,tis,300,0.000686014748394744,3.086906617850347e-05,0.5978988939375222
2,0.1,100,uniform,300,0.001147375844562826,2.988672892901624e-05,1.0
2,0.1,100,untied_tis,300,0.0006452830100000133,2.7562856225994817e-05,0.5623989846551802
2,0.1,200,adaptive_neyman,300,0.0025551929460875897,6.965892167193066e-05,4.285925406716332
2,0.1,200,answer_entropy,300,0.002535811192939784,8.452391032260285e-05,4.253415631526918
2,0.1,200,mc_ucb_frozen,300,0.000645386110618519,1.56596713651667e-05,1.0825314514416828
2,0.1,200,mean_influence,300,1.334983875517958e-05,3.308796088524108e-07,0.022392208456898727
2,0.1,200,occupancy,300,1.6816845341643104e-05,4.1452361413165456e-07,0.02820755466663561
2,0.1,200,oracle_tail,300,1.0952291503383204e-05,2.8213942078200747e-07,0.018370708360003592
2,0.1,200,tis,300,0.0003075134459073908,1.6535525468953485e-05,0.5158043711491194
2,0.1,200,uniform,300,0.0005961823185451224,1.7150915293149324e-05,1.0
2,0.1,200,untied_tis,300,0.0003103372067740808,1.9022564470607868e-05,0.5205407760689783
2,0.1,400,adaptive_neyman,300,0.0027508977354899146,6.758751336370748e-05,9.238181649328634
