horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,adaptive_neyman-minus-tis,300,-0.0009646550790890359,0.00020545570277135172
2,0.1,50,answer_entropy-minus-tis,300,0.01222855293169341,0.0004681416791523793
2,0.1,50,mc_ucb_frozen-minus-tis,300,0.01036986046814494,0.0003321669077659107
2,0.1,50,mean_influence-minus-tis,300,-0.0039879333082408,0.00016191255254283593
2,0.1,50,occupancy-minus-tis,300,-0.0038569482247671123,0.00016213729048732327
2,0.1,50,oracle_tail-minus-tis,300,-0.00399149100652748,0.0001618777613175659
2,0.1,50,uniform-minus-tis,300,0.00706888525305159,0.0001961147639342833
2,0.1,50,untied_tis-minus-tis,300,-0.00018126948421790694,0.00022796960534336453
2,0.1,100,adaptive_neyman-minus-tis,300,0.000764507026556403,0.00013041437884956405
2,0.1,100,answer_entropy-minus-tis,300,0.010121277161039046,0.0003703875077940074
2,0.1,100,mc_ucb_frozen-minus-tis,300,0.005335285382149878,0.0001680246274552649
2,0.1,100,mean_influence-minus-tis,300,-0.0015596974368786694,8.242740005118078e-05
2,0.1,100,occupancy-minus-tis,300,-0.0015017047252289949,8.236884415561183e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0015625027195067128,8.24611515142385e-05
2,0.1,100,uniform-minus-tis,300,0.004169774028315865,0.00012743232936284472
2,0.1,100,untied_tis-minus-tis,300,-0.00021246651875367044,0.00011429916872441133
2,0.1,200,adaptive_neyman-minus-tis,300,0.0013970494623958005,9.930986703239324e-05
2,0.1,200,answer_entropy-minus-tis,300,0.005460967449622124,0.00018930375079558633
2,0.1,200,mc_ucb_frozen-minus-tis,300,0.0025780912759430356,7.9927022385602e-05
2,0.1,200,mean_influence-minus-tis,300,-0.0005388369859857181,3.7577456388138107e-05
2,0.1,200,occupancy-minus-tis,300,-0.0005109127133236674,3.762471038986647e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.0005406674506873071,3.757161051865291e-05
2,0.1,200,uniform-minus-tis,300,0.0023547363932054878,6.466229184534777e-05
2,0.1,200,untied_tis-minus-tis,300,9.248443196726546e-05,7.032872087309893e-05
2,0.1,400,adaptive_neyman-minus-tis,300,0.0017816414559951959,9.977985752662516e-05
2,0.1,400,answer_entropy-minus-tis,300,0.0033446861595846623,0.00012878247266222688
2,0.1,400,mc_ucb_frozen-minus-tis,300,0.0013124653898080045,4.265958636486101e-05
2,0.1,400,mean_influence-minus-tis,300,-0.0001760426424880947,1.0563317111347943e-05
2,0.1,400,occupancy-minus-tis,300,-0.00016243240182853443,1.061511939857057e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.00017686420069544206,1.056485229856937e-05
2,0.1,400,uniform-minus-tis,300,0.0012832424093701521,2.9108747203417588e-05
2,0.1,400,untied_tis-minus-tis,300,4.774321262961574e-06,1.54379843457612e-05
2,0.2,50,adaptive_neyman-minus-tis,300,0.0006412194565978576,0.0001230817142357175
2,0.2,50,answer_entropy-minus-tis,300,0.006651937379706882,0.0002475940986346715
2,0.2,50,mc_ucb_frozen-minus-tis,300,0.004423151162185454,0.00011161024126026865
2,0.2,50,mean_influence-minus-tis,300,-0.000911568482396714,5.828644764267668e-05
2,0.2,50,occupancy-minus-tis,300,-0.0008670239918092304,5.809137722500354e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.000913752642411285,5.826220280386988e-05
2,0.2,50,uniform-minus-tis,300,0.0030851890106108944,9.438138480454042e-05
2,0.2,50,untied_tis-minus-tis,300,6.916035847442428e-05,0.00010106873719622311
2,0.2,100,adaptive_neyman-minus-tis,300,0.000960489451627462,9.872312929930154e-05
2,0.2,100,answer_entropy-minus-tis,300,0.003953981575139087,0.00015090464271867544
2,0.2,100,mc_ucb_frozen-minus-tis,300,0.0021272434162164823,5.841604060677645e-05
2,0.2,100,mean_influence-minus-tis,300,-0.00036765648180435065,3.0369139980767707e-05
2,0.2,100,occupancy-minus-tis,300,-0.00034533575249145245,3.0402717144631038e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.00036844946989477025,3.036806608301262e-05
2,0.2,100,uniform-minus-tis,300,0.0017684654418135418,5.484595393881631e-05
2,0.2,100,untied_tis-minus-tis,300,2.3649053633791805e-05,5.000083488062736e-05
2,0.2,200,adaptive_neyman-minus-tis,300,0.001179215403702056,9.074616991700968e-05
2,0.2,200,answer_entropy-minus-tis,300,0.002293277088771087,8.630514716208035e-05
2,0.2,200,mc_ucb_frozen-minus-tis,300,0.0010213897222924606,2.7293674624270223e-05
2,0.2,200,mean_influence-minus-tis,300,-0.00014014545956356615,1.5377738470071933e-05
2,0.2,200,occupancy-minus-tis,300,-0.00012985351475924533,1.5379998755963878e-05
2,0.2,200,oracle_tail-minus-tis,300,-0.0001405738969143569,1.5373212005111444e-05
2,0.2,200,uniform-minus-tis,300,0.0009371398909158276,2.785943120988709e-05
2,0.2,200,untied_tis-minus-tis,300,-1.1852333773531418e-05,1.8355306112934862e-05
2,0.2,400,adaptive_neyman-minus-tis,300,0.0011201633454364095,9.231486562412407e-05
2,0.2,400,answer_entropy-minus-tis,300,0.0011989085946012906,4.327872546972356e-05
2,0.2,400,mc_ucb_frozen-minus-tis,300,0.00047241636399512714,1.180407719093974e-05
2,0.2,400,mean_influence-minus-tis,300,-4.8883216853578164e-05,6.096781673451402e-06
2,0.2,400,occupancy-minus-tis,300,-4.3363299040396176e-05,6.0793045672294965e-06
2,0.2,400,oracle_tail-minus-tis,300,-4.909704935313893e-05,6.095358805076969e-06
2,0.2,400,uniform-minus-tis,300,0.0004908152864180852,1.3144992413294812e-05
2,0.2,400,untied_tis-minus-tis,300,-3.528183912470448e-06,8.823815335886642e-06
4,0.1,50,adaptive_neyman-minus-tis,300,0.007380387402294601,0.0009191709179364705
4,0.1,50,answer_entropy-minus-tis,300,0.04017974927416006,0.0015540131792233824
4,0.1,50,mc_ucb_frozen-minus-tis,300,0.032129190639211075,0.001162542740153063
4,0.1,50,mean_influence-minus-tis,300,-0.015169687876100643,0.0006348461013687549
4,0.1,50,occupancy-minus-tis,300,-0.013833079888937365,0.0006329434821692163
4,0.1,50,oracle_tail-minus-tis,300,-0.015208828527337702,0.0006340300275120145
4,0.1,50,uniform-minus-tis,300,0.022154778325761557,0.0008252195364421974
4,0.1,50,untied_tis-minus-tis,300,0.032142493991329284,0.0018948477944598732
4,0.1,100,adaptive_neyman-minus-tis,300,0.01581377360958627,0.0009175561468055008
4,0.1,100,answer_entropy-minus-tis,300,0.026412955792496345,0.000899677624712486
4,0.1,100,mc_ucb_frozen-minus-tis,300,0.016871345268501,0.0006083399246867233
4,0.1,100,mean_influence-minus-tis,300,-0.006380598663148922,0.00040248251285361967
4,0.1,100,occupancy-minus-tis,300,-0.005757395296753223,0.00040283113946143056
4,0.1,100,oracle_tail-minus-tis,300,-0.00640504992213696,0.0004027876045463999
4,0.1,100,uniform-minus-tis,300,0.012460843155208578,0.0005376212613798352
4,0.1,100,untied_tis-minus-tis,300,0.0184058349030389,0.0010783061374494676
4,0.1,200,adaptive_neyman-minus-tis,300,0.021129293506643394,0.0009387816835392244
4,0.1,200,answer_entropy-minus-tis,300,0.01643469906376261,0.0006045686428337338
4,0.1,200,mc_ucb_frozen-minus-tis,300,0.008560343936455939,0.0003706496229292709
4,0.1,200,mean_influence-minus-tis,300,-0.0027080663263038063,0.00019381233319685408
4,0.1,200,occupancy-minus-tis,300,-0.0024028565351670306,0.00019344684652625126
4,0.1,200,oracle_tail-minus-tis,300,-0.002717991803403521,0.00019390719793619123
4,0.1,200,uniform-minus-tis,300,0.0069661895841233775,0.00026107821490657695
4,0.1,200,untied_tis-minus-tis,300,0.008586191461900844,0.0005184978899467037
4,0.1,400,adaptive_neyman-minus-tis,300,0.03299738858684993,0.0013203737678621444
4,0.1,400,answer_entropy-minus-tis,300,0.009567381184424406,0.000338350222598373
4,0.1,400,mc_ucb_frozen-minus-tis,300,0.004412635085268121,0.00022898157578036561
4,0.1,400,mean_influence-minus-tis,300,-0.0013578738345867759,0.00012776509250684955
4,0.1,400,occupancy-minus-tis,300,-0.001197433465399261,0.00012827207790135103
4,0.1,400,oracle_tail-minus-tis,300,-0.0013630419701075817,0.0001277706299208383
4,0.1,400,uniform-minus-tis,300,0.0037225318547209935,0.0001729305073173175
4,0.1,400,untied_tis-minus-tis,300,0.004291976627068279,0.00037644512173992185
4,0.2,50,adaptive_neyman-minus-tis,300,0.0071341414474247805,0.0006432393611598078
4,0.2,50,answer_entropy-minus-tis,300,0.021093789570491732,0.0009270494168924638
4,0.2,50,mc_ucb_frozen-minus-tis,300,0.01147748194382947,0.0005124660097471789
4,0.2,50,mean_influence-minus-tis,300,-0.006156950029269099,0.00036178219075999336
4,0.2,50,occupancy-minus-tis,300,-0.005711074928023889,0.00036236253908514303
4,0.2,50,oracle_tail-minus-tis,300,-0.0061604737377414015,0.00036198876009284125
4,0.2,50,uniform-minus-tis,300,0.00745633119120285,0.00044347071382465087
4,0.2,50,untied_tis-minus-tis,300,0.012792436302912396,0.0009224952164096206
4,0.2,100,adaptive_neyman-minus-tis,300,0.011021754849612375,0.0005637509367897144
4,0.2,100,answer_entropy-minus-tis,300,0.012591833742510349,0.00048754479390472513
4,0.2,100,mc_ucb_frozen-minus-tis,300,0.005736797716165023,0.00029245692002342026
4,0.2,100,mean_influence-minus-tis,300,-0.0025861511470985535,0.00022114108298549605
4,0.2,100,occupancy-minus-tis,300,-0.0023648405117044986,0.0002207657971592189
4,0.2,100,oracle_tail-minus-tis,300,-0.0025914044830561583,0.00022117043430860354
4,0.2,100,uniform-minus-tis,300,0.004247544545405777,0.00027040424150028816
4,0.2,100,untied_tis-minus-tis,300,0.006856016016975193,0.0004983707978505902
4,0.2,200,adaptive_neyman-minus-tis,300,0.014029698734440176,0.0006131891220181534
4,0.2,200,answer_entropy-minus-tis,300,0.007165215518134929,0.00022911318015020086
4,0.2,200,mc_ucb_frozen-minus-tis,300,0.0029160195371964975,0.0001362227369464357
4,0.2,200,mean_influence-minus-tis,300,-0.0009066561785801396,8.195446818212166e-05
4,0.2,200,occupancy-minus-tis,300,-0.0008055009829963647,8.213622154882585e-05
4,0.2,200,oracle_tail-minus-tis,300,-0.0009098297783856495,8.200088951788787e-05
4,0.2,200,uniform-minus-tis,300,0.0025602058203693665,0.00010181334533770393
4,0.2,200,untied_tis-minus-tis,300,0.004003621227769176,0.0003051222601924402
4,0.2,400,adaptive_neyman-minus-tis,300,0.021210856112600745,0.0009068768138219152
4,0.2,400,answer_entropy-minus-tis,300,0.004122389509554469,0.00013092497961846229
4,0.2,400,mc_ucb_frozen-minus-tis,300,0.0014512654268382683,7.095365177391243e-05
4,0.2,400,mean_influence-minus-tis,300,-0.00036332904365677054,3.847337726960764e-05
4,0.2,400,occupancy-minus-tis,300,-0.000311453219627724,3.863473953977239e-05
4,0.2,400,oracle_tail-minus-tis,300,-0.0003648110760975013,3.8495068927343295e-05
4,0.2,400,uniform-minus-tis,300,0.0014193829277700757,5.462728857681568e-05
4,0.2,400,untied_tis-minus-tis,300,0.001464121516771976,0.00016121792716707132
6,0.1,50,adaptive_neyman-minus-tis,300,0.03429430681019948,0.002133356735657609
6,0.1,50,answer_entropy-minus-tis,300,0.05710198483359055,0.002175148963818053
6,0.1,50,mc_ucb_frozen-minus-tis,300,0.0440257432438365,0.001692287498585678
6,0.1,50,mean_influence-minus-tis,300,-0.020251374535597465,0.001222805924984787
6,0.1,50,occupancy-minus-tis,300,-0.01695434598681639,0.0012158712923864303
6,0.1,50,oracle_tail-minus-tis,300,-0.02041437053909648,0.001220962524398355
6,0.1,50,uniform-minus-tis,300,0.02753829092211441,0.0013774419145379066
6,0.1,50,untied_tis-minus-tis,300,0.16057684026505328,0.0054118472805410565
6,0.1,100,adaptive_neyman-minus-tis,300,0.051926861551291795,0.0022009686269601754
6,0.1,100,answer_entropy-minus-tis,300,0.03815299671499363,0.0014623561980087153
6,0.1,100,mc_ucb_frozen-minus-tis,300,0.023819014633789604,0.0010678588402407304
6,0.1,100,mean_influence-minus-tis,300,-0.009392701862602925,0.0006437779182444715
6,0.1,100,occupancy-minus-tis,300,-0.007874215152357929,0.0006462040880781964
6,0.1,100,oracle_tail-minus-tis,300,-0.009471437397940517,0.0006439043870325116
6,0.1,100,uniform-minus-tis,300,0.01532982211118655,0.0008109817276996059
6,0.1,100,untied_tis-minus-tis,300,0.02551432751651339,0.0016412209515172783
6,0.1,200,adaptive_neyman-minus-tis,300,0.07402765529601758,0.0029232684489601535
6,0.1,200,answer_entropy-minus-tis,300,0.02038154561085869,0.0007701961800146494
6,0.1,200,mc_ucb_frozen-minus-tis,300,0.012558617424810497,0.0006234527690150801
6,0.1,200,mean_influence-minus-tis,300,-0.004340819972072027,0.0003826216528577988
6,0.1,200,occupancy-minus-tis,300,-0.003593524586310135,0.00038497612110271307
6,0.1,200,oracle_tail-minus-tis,300,-0.004369138031992456,0.0003823367919813146
6,0.1,200,uniform-minus-tis,300,0.008548092197949041,0.0005115269235402606
6,0.1,200,untied_tis-minus-tis,300,0.01927554726566749,0.0012461416861094538
6,0.1,400,adaptive_neyman-minus-tis,300,0.11289299245076535,0.003833486947223814
6,0.1,400,answer_entropy-minus-tis,300,0.011740517404862233,0.00046426836776328006
6,0.1,400,mc_ucb_frozen-minus-tis,300,0.007428276137660997,0.0005751449593964969
6,0.1,400,mean_influence-minus-tis,300,-0.0021617964763542673,0.00022626564407863755
6,0.1,400,occupancy-minus-tis,300,-0.0018077744049942131,0.000226383481518099
6,0.1,400,oracle_tail-minus-tis,300,-0.002178921397654302,0.0002263372238350556
6,0.1,400,uniform-minus-tis,300,0.004413136367060389,0.0002756497002175987
6,0.1,400,untied_tis-minus-tis,300,0.01433493777977476,0.0012231497742535332
6,0.2,50,adaptive_neyman-minus-tis,300,0.02556617561780172,0.0013608429970190386
6,0.2,50,answer_entropy-minus-tis,300,0.04214993361493338,0.0015432407627421004
6,0.2,50,mc_ucb_frozen-minus-tis,300,0.021591413795894507,0.0011666160804436685
6,0.2,50,mean_influence-minus-tis,300,-0.012321560442981308,0.0007857618975264594
6,0.2,50,occupancy-minus-tis,300,-0.01105355085844499,0.0007834146542593888
6,0.2,50,oracle_tail-minus-tis,300,-0.012337458682371759,0.0007852272882659227
6,0.2,50,uniform-minus-tis,300,0.011040998682200747,0.0008621835754806545
6,0.2,50,untied_tis-minus-tis,300,0.08040409812276322,0.003217912913733682
6,0.2,100,adaptive_neyman-minus-tis,300,0.036408230828580246,0.0017475651821483725
6,0.2,100,answer_entropy-minus-tis,300,0.02281089294337838,0.0009841182848414226
6,0.2,100,mc_ucb_frozen-minus-tis,300,0.008910301991920635,0.0008201781339555517
6,0.2,100,mean_influence-minus-tis,300,-0.00685541014694099,0.0006421151445652462
6,0.2,100,occupancy-minus-tis,300,-0.006282944386952288,0.0006416490498468376
6,0.2,100,oracle_tail-minus-tis,300,-0.006856906100704241,0.0006421242488994902
6,0.2,100,uniform-minus-tis,300,0.005107233763244945,0.0006639918566936055
6,0.2,100,untied_tis-minus-tis,300,0.015942324537101964,0.0013903834529230667
6,0.2,200,adaptive_neyman-minus-tis,300,0.05685367435036055,0.0025323462025613596
6,0.2,200,answer_entropy-minus-tis,300,0.014226832468463301,0.00048752783690914287
6,0.2,200,mc_ucb_frozen-minus-tis,300,0.005520030655590472,0.0005028533921400683
6,0.2,200,mean_influence-minus-tis,300,-0.002216171237624666,0.00019646569119705486
6,0.2,200,occupancy-minus-tis,300,-0.0019215719541882288,0.00019638386163424765
6,0.2,200,oracle_tail-minus-tis,300,-0.00221765664373633,0.00019646126205638981
6,0.2,200,uniform-minus-tis,300,0.0038910850219396895,0.0002122409477607174
6,0.2,200,untied_tis-minus-tis,300,0.013340622960319699,0.0010427747925078929
6,0.2,400,adaptive_neyman-minus-tis,300,0.09012415220275292,0.0036562227402508266
6,0.2,400,answer_entropy-minus-tis,300,0.008056202156051916,0.00027945261041594676
6,0.2,400,mc_ucb_frozen-minus-tis,300,0.0024124134296323162,0.00029974904471886775
6,0.2,400,mean_influence-minus-tis,300,-0.0011957485211458708,0.00012388690305689432
6,0.2,400,occupancy-minus-tis,300,-0.001056085827128617,0.00012435382079319075
6,0.2,400,oracle_tail-minus-tis,300,-0.001199080558560301,0.00012392378782428838
6,0.2,400,uniform-minus-tis,300,0.0018200970691356333,0.00013190092798335174
6,0.2,400,untied_tis-minus-tis,300,0.01025256198266106,0.0008434759600385863
