horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,adaptive_neyman,0.001728038142605051
2,0.1,50,0,answer_entropy,0.007240173862198747
2,0.1,50,0,mc_ucb_frozen,0.01896398206907876
2,0.1,50,0,mean_influence,0.00031465301808244925
2,0.1,50,0,occupancy,0.0003093146839189444
2,0.1,50,0,oracle_tail,0.0002698919004841082
2,0.1,50,0,tis,0.0019865526755022903
2,0.1,50,0,uniform,0.013377093581585847
2,0.1,50,0,untied_tis,0.0011512418225224634
2,0.1,50,1,adaptive_neyman,0.002387158825307898
2,0.1,50,1,answer_entropy,0.02216888816254777
2,0.1,50,1,mc_ucb_frozen,0.007424157140928076
2,0.1,50,1,mean_influence,0.00038982456865303226
2,0.1,50,1,occupancy,0.0005247839200125683
2,0.1,50,1,oracle_tail,0.0003512644225613764
2,0.1,50,1,tis,0.0013063089006033282
2,0.1,50,1,uniform,0.021904029446752366
2,0.1,50,1,untied_tis,0.002467875173064328
2,0.1,50,2,adaptive_neyman,0.0020472422083679834
2,0.1,50,2,answer_entropy,0.018266107243213182
2,0.1,50,2,mc_ucb_frozen,0.013287413099741383
2,0.1,50,2,mean_influence,0.00010314251091095647
2,0.1,50,2,occupancy,0.0003369884855427633
2,0.1,50,2,oracle_tail,0.00012064475655268295
2,0.1,50,2,tis,0.0021501869989316445
2,0.1,50,2,uniform,0.013883925217775277
2,0.1,50,2,untied_tis,0.004355084259898309
2,0.1,50,3,adaptive_neyman,0.004170727459183848
2,0.1,50,3,answer_entropy,0.017835251815562243
2,0.1,50,3,mc_ucb_frozen,0.017454698402670808
2,0.1,50,3,mean_influence,0.0002893200923779431
2,0.1,50,3,occupancy,0.00039664935708729653
2,0.1,50,3,oracle_tail,0.00024910717546313993
2,0.1,50,3,tis,0.0007486874207575575
2,0.1,50,3,uniform,0.00934131233104685
2,0.1,50,3,untied_tis,0.0018686370619566154
2,0.1,50,4,adaptive_neyman,0.0008098732816000047
2,0.1,50,4,answer_entropy,0.02921449075285682
2,0.1,50,4,mc_ucb_frozen,0.016539423525536907
2,0.1,50,4,mean_influence,0.00014056435416194595
2,0.1,50,4,occupancy,0.00031526047579291466
2,0.1,50,4,oracle_tail,0.00013201269810619935
2,0.1,50,4,tis,0.002768205547272712
2,0.1,50,4,uniform,0.013275979887441999
2,0.1,50,4,untied_tis,0.008130837108563946
2,0.1,50,5,adaptive_neyman,0.004490694715262506
2,0.1,50,5,answer_entropy,0.019444888115506098
2,0.1,50,5,mc_ucb_frozen,0.022820986219074822
2,0.1,50,5,mean_influence,0.0002511015603549495
2,0.1,50,5,occupancy,0.00038873223896785964
2,0.1,50,5,oracle_tail,0.0003036247624678337
2,0.1,50,5,tis,0.005590839471941912
2,0.1,50,5,uniform,0.007131217470159562
2,0.1,50,5,untied_tis,0.001465902567751359
2,0.1,50,6,adaptive_neyman,0.0024755339973917254
2,0.1,50,6,answer_entropy,0.0067867164175184225
2,0.1,50,6,mc_ucb_frozen,0.008955638786273876
2,0.1,50,6,mean_influence,0.00022884793707240222
2,0.1,50,6,occupancy,0.0003539082821480975
2,0.1,50,6,oracle_tail,0.00019610884138009755
2,0.1,50,6,tis,0.003952243485496693
2,0.1,50,6,uniform,0.00608719074657678
2,0.1,50,6,untied_tis,0.005827540835750531
2,0.1,50,7,adaptive_neyman,0.007529894072245579
2,0.1,50,7,answer_entropy,0.021080794714757635
2,0.1,50,7,mc_ucb_frozen,0.022307827969741505
2,0.1,50,7,mean_influence,0.00019195662583859022
2,0.1,50,7,occupancy,0.00033654461430961737
2,0.1,50,7,oracle_tail,0.00017972928119153634
2,0.1,50,7,tis,0.005689971279298682
2,0.1,50,7,uniform,0.011681587839883498
2,0.1,50,7,untied_tis,0.0021685346705645286
2,0.1,50,8,adaptive_neyman,0.0033720751024094455
2,0.1,50,8,answer_entropy,0.009480361922144562
2,0.1,50,8,mc_ucb_frozen,0.0143170998249435
2,0.1,50,8,mean_influence,0.0001827101677114429
2,0.1,50,8,occupancy,0.0003177699237128056
2,0.1,50,8,oracle_tail,0.00017782278194204001
2,0.1,50,8,tis,0.006588221173479837
2,0.1,50,8,uniform,0.009862601318416778
2,0.1,50,8,untied_tis,0.003497717606406751
2,0.1,50,9,adaptive_neyman,0.0018369815431856994
2,0.1,50,9,answer_entropy,0.017270844003065087
2,0.1,50,9,mc_ucb_frozen,0.026216375676501466
2,0.1,50,9,mean_influence,0.00015582888905392293
2,0.1,50,9,occupancy,0.00026627715826660315
2,0.1,50,9,oracle_tail,0.00013844241407694394
2,0.1,50,9,tis,0.0011286871026216531
2,0.1,50,9,uniform,0.009519836315693196
2,0.1,50,9,untied_tis,0.0029014222550374745
2,0.1,50,10,adaptive_neyman,0.0016363182408832722
2,0.1,50,10,answer_entropy,0.017825761314576215
2,0.1,50,10,mc_ucb_frozen,0.00822133067950007
