horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,adaptive_neyman,300,0.016464417899011385,0.002416615199309908,0.0024775626193698384,0.5745622624679846
2,0.1,50,0,answer_entropy,300,0.1559419557963934,0.010630077617783385,0.17113094650443178,5.441939307276586
2,0.1,50,0,mc_ucb_frozen,300,0.03372624459600999,0.0033209493823816525,0.05424342581064938,1.1769518678699045
2,0.1,50,0,mean_influence,300,0.0003828561711086775,3.514194899947254e-05,6.581367489090587e-06,0.013360612517326842
2,0.1,50,0,occupancy,300,0.0007906337924577262,7.427794704498895e-05,0.0006863699855513566,0.027590914137658698
2,0.1,50,0,oracle_tail,300,0.00037611716333270736,3.927597915839598e-05,0.0012187389773781654,0.013125439942243987
2,0.1,50,0,tis,300,0.007500686107241559,0.0018239873526150244,0.0033843252119323862,0.26175302438707315
2,0.1,50,0,uniform,300,0.028655585259445757,0.0028103834790209545,0.039279060027781074,1.0
2,0.1,50,0,untied_tis,300,0.005642560493679141,0.0009786900073141941,0.007014457611435328,0.196909623118557
2,0.1,50,1,adaptive_neyman,300,0.002380255009768142,0.0001438321203237543,0.02768075317973798,0.24130893128156716
2,0.1,50,1,answer_entropy,300,0.02362703214744592,0.004828895949454864,0.008135407057849715,2.3952954004750837
2,0.1,50,1,mc_ucb_frozen,300,0.01320065390432621,0.0016116693585410697,0.0034724739006155403,1.3382749633120592
2,0.1,50,1,mean_influence,300,0.00014811699007161717,1.401277116223746e-05,-0.0008650937713257219,0.015016018213235909
2,0.1,50,1,occupancy,300,0.00025586570587271816,2.2504062358990876e-05,-0.0005987193504080039,0.02593952319493856
2,0.1,50,1,oracle_tail,300,0.00014524986658928993,1.444029464006738e-05,-0.0008558567587627601,0.01472535082653432
2,0.1,50,1,tis,300,0.012048924848911614,0.002272112991840915,-0.005781854730934835,1.2215133111582013
2,0.1,50,1,uniform,300,0.009863932499832683,0.001217203786361321,-0.0020113397493925185,1.0
2,0.1,50,1,untied_tis,300,0.008143833384690725,0.001358715130195132,-0.005584731156416231,0.8256173067718038
2,0.1,50,2,adaptive_neyman,300,1.2153791714213895e-10,5.753426884836168e-19,1.1024423664851568e-05,1.0
2,0.1,50,2,answer_entropy,300,3.1149111955770784e-08,1.25396447564523e-08,3.571578168954481e-05,256.29130964406613
2,0.1,50,2,mc_ucb_frozen,300,5.46621076675902e-10,2.9957557858500367e-10,9.265908392822967e-06,4.49753533324606
2,0.1,50,2,mean_influence,300,2.7687699522194395e-07,2.5985704852819316e-07,-2.6650019544783483e-05,2278.112063563962
2,0.1,50,2,occupancy,300,8.003742483691978e-09,5.320837848243819e-09,-1.082431250010914e-06,65.8538723708057
2,0.1,50,2,oracle_tail,300,8.02083993448004e-09,5.3319643961342115e-09,-1.0967932838664337e-06,65.9945482289255
2,0.1,50,2,tis,300,1.2153791714213895e-10,5.753426884836168e-19,1.1024423664851568e-05,1.0
2,0.1,50,2,uniform,300,1.2153791714213895e-10,5.753426884836168e-19,1.1024423664851568e-05,1.0
2,0.1,50,2,untied_tis,300,1.2153791714213895e-10,5.753426884836168e-19,1.1024423664851568e-05,1.0
2,0.1,50,3,adaptive_neyman,300,2.9173464271571027e-05,1.7737966521955143e-06,0.002712618765979306,0.043820359424633686
2,0.1,50,3,answer_entropy,300,0.003682848716970585,0.0021941845768688336,0.0004109091307108984,5.5318680353456475
2,0.1,50,3,mc_ucb_frozen,300,0.001324161078992609,0.0003846423792732125,-0.0011748280602680346,1.9889723715161016
2,0.1,50,3,mean_influence,300,9.959583006693365e-06,7.858967317216879e-07,-0.00017145332275833998,0.01495991367395034
2,0.1,50,3,occupancy,300,2.1703184367497745e-05,2.0781539815517586e-06,-0.0004449643312100049,0.03259953397339971
2,0.1,50,3,oracle_tail,300,9.415700692023086e-06,7.790144649183318e-07,-0.0002073496695694151,0.0141429685798849
2,0.1,50,3,tis,300,0.00039231990437978034,0.00017538327152383205,0.00038921590472653424,0.5892889188382324
2,0.1,50,3,uniform,300,0.000665751368875608,0.00017553207610673303,0.00035235883779983693,1.0
2,0.1,50,3,untied_tis,300,0.0005727572142220629,0.00023140992890562808,-0.0005134334365464418,0.8603169906948841
2,0.1,50,4,adaptive_neyman,300,0.008311575140696614,0.0009007952932435783,0.06353000634634356,0.2619726098232216
2,0.1,50,4,answer_entropy,300,0.026979333207014324,0.0016599838909487448,0.01456895541079778,0.8503618401913979
2,0.1,50,4,mc_ucb_frozen,300,0.039649090173075656,0.0025132059623142362,-0.008706755182144001,1.2497000212268214
2,0.1,50,4,mean_influence,300,0.0007565975528423549,6.870472143330434e-05,-0.0021984612185683094,0.0238472049098701
2,0.1,50,4,occupancy,300,0.0010032386311701986,9.66543326299255e-05,-0.0010407293630815555,0.03162108722283725
2,0.1,50,4,oracle_tail,300,0.0007603588972336232,6.7630930227166e-05,-0.002018821950252571,0.023965758756757643
2,0.1,50,4,tis,300,0.007887960923579925,0.0009873623068869606,0.0014817071131125843,0.24862070959520075
2,0.1,50,4,uniform,300,0.03172688605234433,0.0021637090326265926,0.0017566587318838763,1.0
2,0.1,50,4,untied_tis,300,0.006815445941866855,0.0009185556974015014,-0.0005778151698027064,0.2148161004714566
2,0.1,50,5,adaptive_neyman,300,0.0004676682984811183,8.390379376206068e-05,0.00228205858226605,0.0650073526149909
2,0.1,50,5,answer_entropy,300,0.0049061083398978566,0.0006724075702334777,0.0021215674614976834,0.6819643663145668
2,0.1,50,5,mc_ucb_frozen,300,0.011821675256873958,0.0009877861797178825,-0.004066655814605577,1.6432497443581708
2,0.1,50,5,mean_influence,300,0.0001209721528782105,1.0726817225519399e-05,-0.0006749461436136858,0.016815506683453166
2,0.1,50,5,occupancy,300,0.00022487315557398992,1.8057604232001046e-05,-0.0012342247857052976,0.031258070229522456
2,0.1,50,5,oracle_tail,300,0.00011883498362448173,1.0150887654758366e-05,-0.0007208822964741209,0.016518433489212118
2,0.1,50,5,tis,300,0.0006589517387610732,0.0001354688960798006,0.0011786528578293899,0.0915963476186572
2,0.1,50,5,uniform,300,0.007194083125502831,0.0006032381271787102,0.0017099584116413184,1.0
2,0.1,50,5,untied_tis,300,0.0016983269694215324,0.0005380643816090112,-0.003638516631486309,0.23607274753345692
2,0.1,50,6,adaptive_neyman,300,0.000522705766590993,0.0004985130806125169,0.0022703488804719086,8.904808124923507
2,0.1,50,6,answer_entropy,300,0.0003621925135668262,0.0001360634276944537,0.004987589551925128,6.1703065926189415
2,0.1,50,6,mc_ucb_frozen,300,0.0003029539703212093,7.131231394255576e-05,0.0042199137443450305,5.1611195988680825
2,0.1,50,6,mean_influence,300,0.0,0.0,0.0,0.0
2,0.1,50,6,occupancy,300,0.0,0.0,0.0,0.0
2,0.1,50,6,oracle_tail,300,5.869927338782306e-05,2.92218344338595e-05,0.0012647017543859663,1.0
2,0.1,50,6,tis,300,0.00010434919749823509,5.733980068364647e-05,0.0019515283419977592,1.777691468322024
2,0.1,50,6,uniform,300,5.869927338782306e-05,2.92218344338595e-05,0.0012647017543859663,1.0
