horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,adaptive_neyman-minus-tis,300,0.001502230126545772,7.039680432945513e-05
2,0.1,50,answer_entropy-minus-tis,300,0.013278500049228257,0.0002148073657336215
2,0.1,50,mc_ucb_frozen-minus-tis,300,0.0042535741883146004,0.00010112527372021985
2,0.1,50,mean_influence-minus-tis,300,-0.0005693522745421259,3.496076214486133e-05
2,0.1,50,occupancy-minus-tis,300,-0.0005390074422165444,3.48988278966361e-05
2,0.1,50,oracle_tail-minus-tis,300,-0.0005867696704563331,3.5020026862838987e-05
2,0.1,50,uniform-minus-tis,300,0.0031850202178343467,8.50289352593201e-05
2,0.1,50,untied_tis-minus-tis,300,5.071717184305306e-05,5.270631338994308e-05
2,0.1,100,adaptive_neyman-minus-tis,300,0.0014971354455512109,4.683259409162039e-05
2,0.1,100,answer_entropy-minus-tis,300,0.009290129847743783,0.00016217934803164352
2,0.1,100,mc_ucb_frozen-minus-tis,300,0.0020122513556319562,4.7795518009603195e-05
2,0.1,100,mean_influence-minus-tis,300,-0.0002625448787730067,2.1733230591309136e-05
2,0.1,100,occupancy-minus-tis,300,-0.00024791789292219604,2.1722553593957974e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0002715100203008733,2.1750900432993138e-05
2,0.1,100,uniform-minus-tis,300,0.001598056123456576,4.3291596017045426e-05
2,0.1,100,untied_tis-minus-tis,300,-1.2739593608426082e-05,2.760897483409829e-05
2,0.1,200,adaptive_neyman-minus-tis,300,0.0016449558612777698,4.334798636179752e-05
2,0.1,200,answer_entropy-minus-tis,300,0.005503818088669375,0.0001215595146053458
2,0.1,200,mc_ucb_frozen-minus-tis,300,0.0009732256284243853,2.4833413723475215e-05
2,0.1,200,mean_influence-minus-tis,300,-0.00010140369065057578,7.630882818310352e-06
2,0.1,200,occupancy-minus-tis,300,-9.38151006501185e-05,7.599703667920714e-06
2,0.1,200,oracle_tail-minus-tis,300,-0.00010562382728312312,7.644159849021845e-06
2,0.1,200,uniform-minus-tis,300,0.0009111188970138401,2.2095398655225894e-05
2,0.1,200,untied_tis-minus-tis,300,-3.2367787030727673e-06,1.2109255813111656e-05
2,0.1,400,adaptive_neyman-minus-tis,300,0.0016890746206612698,4.017392822150717e-05
2,0.1,400,answer_entropy-minus-tis,300,0.003484289540484453,8.688588420020228e-05
2,0.1,400,mc_ucb_frozen-minus-tis,300,0.0004619319549431781,1.1086840305895117e-05
2,0.1,400,mean_influence-minus-tis,300,-4.298516831110407e-05,3.9860555937875e-06
2,0.1,400,occupancy-minus-tis,300,-3.962542350588367e-05,3.9702669036731284e-06
2,0.1,400,oracle_tail-minus-tis,300,-4.541665796176783e-05,4.002233175474335e-06
2,0.1,400,uniform-minus-tis,300,0.00047300338658105807,1.1557249202001541e-05
2,0.1,400,untied_tis-minus-tis,300,5.266531835915287e-07,5.679651752292843e-06
2,0.2,50,adaptive_neyman-minus-tis,300,0.0009539603770698358,4.367878618695071e-05
2,0.2,50,answer_entropy-minus-tis,300,0.008342333046789142,0.00013926569357395517
2,0.2,50,mc_ucb_frozen-minus-tis,300,0.002404888462112684,4.960996913051773e-05
2,0.2,50,mean_influence-minus-tis,300,-0.00030740911502045954,2.172646768456407e-05
2,0.2,50,occupancy-minus-tis,300,-0.0002941018327857641,2.1826188565257857e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.0003136499400077607,2.1699629725172093e-05
2,0.2,50,uniform-minus-tis,300,0.0019437117408576943,5.0434005452618885e-05
2,0.2,50,untied_tis-minus-tis,300,-1.7725509847120174e-05,2.9662345395453376e-05
2,0.2,100,adaptive_neyman-minus-tis,300,0.0012437251831945257,5.2149533297166246e-05
2,0.2,100,answer_entropy-minus-tis,300,0.005313851455360004,0.00010994948060488616
2,0.2,100,mc_ucb_frozen-minus-tis,300,0.0011338405265275005,2.7801917978642892e-05
2,0.2,100,mean_influence-minus-tis,300,-0.00013056861290400605,1.1832158433041408e-05
2,0.2,100,occupancy-minus-tis,300,-0.00012418139093794267,1.1846853208388399e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.00013378179403046635,1.1855432753985876e-05
2,0.2,100,uniform-minus-tis,300,0.0009511397865410414,2.446002515848059e-05
2,0.2,100,untied_tis-minus-tis,300,-6.779762939214319e-06,1.5766329384500772e-05
2,0.2,200,adaptive_neyman-minus-tis,300,0.0012421710708599705,3.7746121008188733e-05
2,0.2,200,answer_entropy-minus-tis,300,0.003179596147865572,7.060743986629993e-05
2,0.2,200,mc_ucb_frozen-minus-tis,300,0.0005521109240235267,1.3935073866580471e-05
2,0.2,200,mean_influence-minus-tis,300,-3.442835126074719e-05,6.919163388504059e-06
2,0.2,200,occupancy-minus-tis,300,-3.11614048702551e-05,6.923895218596448e-06
2,0.2,200,oracle_tail-minus-tis,300,-3.595382115781497e-05,6.912679678942369e-06
2,0.2,200,uniform-minus-tis,300,0.0004976949169737908,1.2175278357686401e-05
2,0.2,200,untied_tis-minus-tis,300,-4.290084179591752e-06,7.527454781850739e-06
2,0.2,400,adaptive_neyman-minus-tis,300,0.0013545032523567643,4.176203174970489e-05
2,0.2,400,answer_entropy-minus-tis,300,0.0017340811533129734,4.49053370647551e-05
2,0.2,400,mc_ucb_frozen-minus-tis,300,0.00026570904353914987,5.1213936941105395e-06
2,0.2,400,mean_influence-minus-tis,300,-7.072969718673953e-06,5.871189511172414e-07
2,0.2,400,occupancy-minus-tis,300,-5.478594902704041e-06,5.901097715899635e-07
2,0.2,400,oracle_tail-minus-tis,300,-7.862407284518623e-06,5.827792520105806e-07
