horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,adaptive_neyman,0.003370779319890466
2,0.1,50,0,answer_entropy,0.014409063896069337
2,0.1,50,0,mc_ucb_frozen,0.006827832526324266
2,0.1,50,0,mean_influence,9.468904472722361e-05
2,0.1,50,0,occupancy,0.00012486639993752261
2,0.1,50,0,oracle_tail,9.177488892039962e-05
2,0.1,50,0,tis,0.00014662992152192459
2,0.1,50,0,uniform,0.004497468150718534
2,0.1,50,0,untied_tis,0.0015936933709187787
2,0.1,50,1,adaptive_neyman,0.0019361701842546372
2,0.1,50,1,answer_entropy,0.017050358951004714
2,0.1,50,1,mc_ucb_frozen,0.006458928064474302
2,0.1,50,1,mean_influence,6.630652595072987e-05
2,0.1,50,1,occupancy,0.00010326325850860046
2,0.1,50,1,oracle_tail,4.815805726473134e-05
2,0.1,50,1,tis,0.0005807015450836725
2,0.1,50,1,uniform,0.006679896998892315
2,0.1,50,1,untied_tis,0.00021313486170832746
2,0.1,50,2,adaptive_neyman,0.0014143312484138546
2,0.1,50,2,answer_entropy,0.010202902658325014
2,0.1,50,2,mc_ucb_frozen,0.006119779952503124
2,0.1,50,2,mean_influence,8.250696408960393e-05
2,0.1,50,2,occupancy,0.00016107555552865002
2,0.1,50,2,oracle_tail,7.702512932235412e-05
2,0.1,50,2,tis,0.0004956809971412085
2,0.1,50,2,uniform,0.0020284466936155857
2,0.1,50,2,untied_tis,0.0018108795582410249
2,0.1,50,3,adaptive_neyman,0.0018523695853182142
2,0.1,50,3,answer_entropy,0.010431787422312247
2,0.1,50,3,mc_ucb_frozen,0.003975007732283303
2,0.1,50,3,mean_influence,0.00011873301009825722
2,0.1,50,3,occupancy,0.00015808197594674615
2,0.1,50,3,oracle_tail,0.00010072239356270658
2,0.1,50,3,tis,0.00042208675660431865
2,0.1,50,3,uniform,0.0019851137143012377
2,0.1,50,3,untied_tis,0.0002858902140488507
2,0.1,50,4,adaptive_neyman,0.004452810835145383
2,0.1,50,4,answer_entropy,0.014135058394012724
2,0.1,50,4,mc_ucb_frozen,0.0035499994500381186
2,0.1,50,4,mean_influence,6.47593790125735e-05
2,0.1,50,4,occupancy,6.881543793407098e-05
2,0.1,50,4,oracle_tail,3.0141630675873672e-05
2,0.1,50,4,tis,0.00046934075004015266
2,0.1,50,4,uniform,0.0044218540394281155
2,0.1,50,4,untied_tis,0.000248166348296696
2,0.1,50,5,adaptive_neyman,0.005011891013059882
2,0.1,50,5,answer_entropy,0.016146892817284972
2,0.1,50,5,mc_ucb_frozen,0.0038430274390827434
2,0.1,50,5,mean_influence,0.00012039873561211045
2,0.1,50,5,occupancy,0.0002025558630327718
2,0.1,50,5,oracle_tail,0.00013626049751790128
2,0.1,50,5,tis,0.0005939953341427747
2,0.1,50,5,uniform,0.005447100138861007
2,0.1,50,5,untied_tis,0.0004441570758983211
2,0.1,50,6,adaptive_neyman,0.002815154096247444
2,0.1,50,6,answer_entropy,0.026431390127157842
2,0.1,50,6,mc_ucb_frozen,0.003499176340961666
2,0.1,50,6,mean_influence,7.621408161774986e-05
2,0.1,50,6,occupancy,9.528238178104688e-05
2,0.1,50,6,oracle_tail,8.24923791367363e-05
2,0.1,50,6,tis,0.00037522539450225896
2,0.1,50,6,uniform,0.004523394432971974
2,0.1,50,6,untied_tis,0.0005942108028431786
2,0.1,50,7,adaptive_neyman,0.002716629771665984
2,0.1,50,7,answer_entropy,0.013169052738929056
2,0.1,50,7,mc_ucb_frozen,0.005604740583564715
2,0.1,50,7,mean_influence,9.195811284963371e-05
2,0.1,50,7,occupancy,0.00014231388411261017
2,0.1,50,7,oracle_tail,8.015244444851699e-05
2,0.1,50,7,tis,0.0007793660580840641
2,0.1,50,7,uniform,0.0024818970552038023
2,0.1,50,7,untied_tis,0.004028122236300518
2,0.1,50,8,adaptive_neyman,0.0020658571261970766
2,0.1,50,8,answer_entropy,0.009243937154236177
2,0.1,50,8,mc_ucb_frozen,0.004946770279060939
2,0.1,50,8,mean_influence,9.768660290772269e-05
2,0.1,50,8,occupancy,0.0001423983423238988
2,0.1,50,8,oracle_tail,6.360110683588164e-05
2,0.1,50,8,tis,0.0012768083416564147
2,0.1,50,8,uniform,0.003712664714515808
2,0.1,50,8,untied_tis,0.00030142008927291816
2,0.1,50,9,adaptive_neyman,0.0022078932453051536
2,0.1,50,9,answer_entropy,0.022682116223552404
2,0.1,50,9,mc_ucb_frozen,0.0031405940672601983
2,0.1,50,9,mean_influence,0.0002158977933082707
2,0.1,50,9,occupancy,0.00021539818442260035
2,0.1,50,9,oracle_tail,0.00015655978047185722
2,0.1,50,9,tis,0.00045489749940304903
2,0.1,50,9,uniform,0.00502574370906301
2,0.1,50,9,untied_tis,0.00028539027697161795
2,0.1,50,10,adaptive_neyman,0.0023813437880757086
