horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,adaptive_neyman,300,0.0021768642361865965,6.28086392572832e-05,0.5640049733704035
2,0.1,50,answer_entropy,300,0.013953134158869084,0.00021399141420255275,3.6151253389566254
2,0.1,50,mc_ucb_frozen,300,0.004928208297955425,9.254587782936953e-05,1.2768522462941023
2,0.1,50,mean_influence,300,0.00010528183509869856,1.8308135811105841e-06,0.027277529583217795
2,0.1,50,occupancy,300,0.00013562666742428017,2.4606733531020092e-06,0.03513958917481649
2,0.1,50,oracle_tail,300,8.786443918449122e-05,1.8535143219039513e-06,0.02276484672708205
2,0.1,50,tis,300,0.0006746341096408244,3.4934344148670344e-05,0.1747913290675807
2,0.1,50,uniform,300,0.0038596543274751712,7.606524250993902e-05,1.0
2,0.1,50,untied_tis,300,0.0007253512814838775,4.076940802642444e-05,0.18793166950740192
2,0.1,100,adaptive_neyman,300,0.0018100910192862226,4.1291221832882834e-05,0.9471899214150925
2,0.1,100,answer_entropy,300,0.009603085421478792,0.00016189415523326723,5.02513168056032
2,0.1,100,mc_ucb_frozen,300,0.0023252069293669677,4.414976069037984e-05,1.216741337996036
2,0.1,100,mean_influence,300,5.0410694962005e-05,8.299057816686882e-07,0.026379061434363943
2,0.1,100,occupancy,300,6.503768081281568e-05,1.2559830646800075e-06,0.03403311497694896
2,0.1,100,oracle_tail,300,4.1445553434138355e-05,7.786290131377915e-07,0.021687754970336662
2,0.1,100,tis,300,0.00031295557373501166,2.1733318915707766e-05,0.163764342308804
2,0.1,100,uniform,300,0.0019110116971915877,3.669426165358509e-05,1.0
2,0.1,100,untied_tis,300,0.00030021598012658563,1.836961117702074e-05,0.15709792910623277
2,0.1,200,adaptive_neyman,300,0.001770962988829549,4.247679371526457e-05,1.7075677852855764
2,0.1,200,answer_entropy,300,0.0056298252162211545,0.00012255289023949952,5.428294231242631
2,0.1,200,mc_ucb_frozen,300,0.0010992327559761646,2.3321520106094246e-05,1.0598834952932144
2,0.1,200,mean_influence,300,2.4603436901203277e-05,4.4051335967652466e-07,0.023722707094837356
2,0.1,200,occupancy,300,3.219202690166057e-05,6.072545598609097e-07,0.03103964816150824
2,0.1,200,oracle_tail,300,2.0383300268655932e-05,4.0540119589552237e-07,0.019653638792058174
2,0.1,200,tis,300,0.00012600712755177906,7.652435893712527e-06,0.12149644745878861
2,0.1,200,uniform,300,0.0010371260245656193,2.081280654550342e-05,1.0
2,0.1,200,untied_tis,300,0.0001227703488487063,8.761114282816034e-06,0.1183755357986763
2,0.1,400,adaptive_neyman,300,0.0017445208640536954,3.993210099682917e-05,3.3012055740132342
2,0.1,400,answer_entropy,300,0.0035397357838768784,8.66592382508142e-05,6.698340926181543
2,0.1,400,mc_ucb_frozen,300,0.0005173781983356038,1.011829930763425e-05,0.9790492205691667
2,0.1,400,mean_influence,300,1.2461075081321541e-05,2.1418595270088532e-07,0.023580440546333258
2,0.1,400,occupancy,300,1.5820819886541933e-05,3.0402742565737616e-07,0.0299381795145467
2,0.1,400,oracle_tail,300,1.0029585430657778e-05,1.9397472229150108e-07,0.018979264743095834
2,0.1,400,tis,300,5.5446243392425616e-05,3.999549780916099e-06,0.10492247557294679
2,0.1,400,uniform,300,0.0005284496299734837,1.1087399300135809e-05,1.0
2,0.1,400,untied_tis,300,5.597289657601714e-05,4.104149744327525e-06,0.10591907610726442
2,0.2,50,adaptive_neyman,300,0.0013171513459330777,3.883184327938727e-05,0.5709609427319162
2,0.2,50,answer_entropy,300,0.008705524015652385,0.00014277463446493203,3.7736849408380486
2,0.2,50,mc_ucb_frozen,300,0.0027680794309759265,4.863050675766235e-05,1.1999116474707243
2,0.2,50,mean_influence,300,5.578185384278236e-05,1.173094496982698e-06,0.024180410213107878
2,0.2,50,occupancy,300,6.908913607747782e-05,1.5032377104411264e-06,0.029948872913602615
2,0.2,50,oracle_tail,300,4.954102885548121e-05,1.1835208777041654e-06,0.021475127081312478
2,0.2,50,tis,300,0.0003631909688632419,2.1753445127192413e-05,0.1574366215501029
2,0.2,50,uniform,300,0.002306902709720936,4.6212772466506603e-05,1.0
2,0.2,50,untied_tis,300,0.0003454654590161217,1.9600452523564528e-05,0.14975293824069086
2,0.2,100,adaptive_neyman,300,0.0014014606903640066,5.085983934552581e-05,1.2638578010647474
2,0.2,100,answer_entropy,300,0.005471586962529484,0.00010984808869033558,4.934357356110299
2,0.2,100,mc_ucb_frozen,300,0.0012915760336969816,2.4714835661268063e-05,1.1647622063749887
2,0.2,100,mean_influence,300,2.716689426547488e-05,5.020807812439395e-07,0.02449950361376429
2,0.2,100,occupancy,300,3.355411623153829e-05,6.408701841753688e-07,0.030259594042590116
2,0.2,100,oracle_tail,300,2.3953713139014603e-05,4.893290852919947e-07,0.021601809757038237
2,0.2,100,tis,300,0.00015773550716948097,1.1818595449279316e-05,0.1422481933398172
2,0.2,100,uniform,300,0.0011088752937105223,2.108551679148497e-05,1.0
