horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,adaptive_neyman,300,0.002336107081135641,0.0004031172460334358,0.0216664859155353,23.028537184524346
2,0.1,50,0,answer_entropy,300,0.0033411069312021297,0.0009290589786408765,0.019805455028043407,32.93547878175917
2,0.1,50,0,mc_ucb_frozen,300,0.00014831004392139337,1.3805930456802693e-05,0.0009107963793346655,1.461989216531098
2,0.1,50,0,mean_influence,300,2.7727204466502956e-06,2.1664351054633761e-07,0.00011763117223105709,0.027332521023367362
2,0.1,50,0,occupancy,300,3.0630744827564143e-06,2.3279471999974425e-07,6.50929006171371e-05,0.03019473088144289
2,0.1,50,0,oracle_tail,300,1.916663092890304e-06,1.6461533780223832e-07,6.669782130472646e-05,0.01889380313995419
2,0.1,50,0,tis,300,8.72522121310886e-05,4.0537365861311693e-05,0.00044524441591473247,0.860102187831224
2,0.1,50,0,uniform,300,0.00010144400673029087,1.085658375555598e-05,0.0012048820709593404,1.0
2,0.1,50,0,untied_tis,300,4.310268120210445e-05,2.139662246004462e-05,0.0012342078366742962,0.4248913522974455
2,0.1,50,1,adaptive_neyman,300,6.026011960893595e-05,2.288301085212081e-06,0.0066116571011800495,0.7384414440149561
2,0.1,50,1,answer_entropy,300,0.0005657874032552151,0.0003024565484797321,-0.0008739829317058489,6.933289707631078
2,0.1,50,1,mc_ucb_frozen,300,7.558226237729161e-05,1.4024196162953772e-05,0.0005388293619635279,0.9262025255510448
2,0.1,50,1,mean_influence,300,1.1434859669633635e-05,1.1818393890960801e-06,0.00019649783270280218,0.14012541530535716
2,0.1,50,1,occupancy,300,4.012503690437696e-06,3.4168764688648205e-07,-5.046550884209244e-05,0.04917014832547347
2,0.1,50,1,oracle_tail,300,1.424491737060325e-06,1.593497288614393e-07,6.077907058188004e-05,0.017456051234691097
2,0.1,50,1,tis,300,9.400882926792582e-05,7.323334180302825e-05,-1.4391179661633244e-05,1.1520059383431485
2,0.1,50,1,uniform,300,8.160446586163636e-05,2.4329773289644653e-05,-9.429337724930265e-05,1.0
2,0.1,50,1,untied_tis,300,1.7818219375819066e-05,5.495304652556581e-06,0.00027628452253463775,0.21834858163314946
2,0.1,50,2,adaptive_neyman,300,2.8428903121299597e-05,1.3757417316256995e-06,0.003704215722156049,0.5065011643436292
2,0.1,50,2,answer_entropy,300,0.0003806294679645747,5.93746972466462e-05,0.0013425122980574907,6.781452941922019
2,0.1,50,2,mc_ucb_frozen,300,6.560904828438688e-05,5.986562005124381e-06,-0.00012878612084927501,1.1689180973929967
2,0.1,50,2,mean_influence,300,3.446353419570224e-06,2.557224972627946e-07,0.0002900333809799364,0.061401666195279134
2,0.1,50,2,occupancy,300,2.693952709677472e-06,1.9089748597799076e-07,0.0002664833531256742,0.0479965821514938
2,0.1,50,2,oracle_tail,300,9.98114359480296e-07,7.699337433935216e-08,9.524921825580253e-05,0.01778282064094477
2,0.1,50,2,tis,300,0.00020411330488219264,3.786964236231245e-05,0.0010135395651457682,3.636567550275949
2,0.1,50,2,uniform,300,5.612801138994494e-05,7.109835407319815e-06,-0.0002766109907642263,1.0
2,0.1,50,2,untied_tis,300,0.0002277492832039145,4.066926694602904e-05,0.0007549536708287219,4.057675972548614
2,0.1,50,3,adaptive_neyman,300,0.0009303150025513771,0.00022842989967321797,0.00742504253517595,7.676077735025721
2,0.1,50,3,answer_entropy,300,0.002334498808165515,0.0007158655212933187,0.013168198722295634,19.26207174414965
2,0.1,50,3,mc_ucb_frozen,300,4.544177112816196e-05,1.046658392234219e-05,0.0012010292388911774,0.37494242986558224
2,0.1,50,3,mean_influence,300,1.5149806282694864e-06,1.9228251398992003e-07,0.00011065702910541283,0.012500184386752874
2,0.1,50,3,occupancy,300,1.8386032059489424e-06,2.2207837046747855e-07,0.00013772705840616814,0.015170411198385652
2,0.1,50,3,oracle_tail,300,1.2204281127251738e-06,1.4664270042040574e-07,7.188546457402634e-05,0.010069816177958293
2,0.1,50,3,tis,300,2.025151692723116e-06,2.771289009390742e-07,4.011280325161959e-05,0.01670963251794176
2,0.1,50,3,uniform,300,0.00012119666249683437,6.044209136973423e-05,-0.0003212305839947775,1.0
2,0.1,50,3,untied_tis,300,2.357015187657036e-06,2.7233587776855914e-07,-0.00010403219246404009,0.019447855568783513
2,0.1,50,4,adaptive_neyman,300,0.0002023293496594238,1.8657911625931303e-05,0.009315690669234189,0.08448625186901762
2,0.1,50,4,answer_entropy,300,0.00835667564902986,0.0021320131462411636,0.01061202294876582,3.48947992399549
2,0.1,50,4,mc_ucb_frozen,300,0.002802043274956518,0.0003404130425118342,0.0013255589584671816,1.1700434676153133
2,0.1,50,4,mean_influence,300,5.4696410942322596e-05,5.03833283474554e-06,9.386641194455906e-05,0.022839468218441555
2,0.1,50,4,occupancy,300,7.194524246379522e-05,6.006196807795316e-06,0.0002458851679136727,0.03004202744587152
2,0.1,50,4,oracle_tail,300,5.471664135039685e-05,5.000239410575408e-06,9.36288952860768e-05,0.022847915788479476
2,0.1,50,4,tis,300,0.0003139326833675093,6.073888863909745e-05,0.002512982468375824,0.13108822719763338
2,0.1,50,4,uniform,300,0.0023948198101284334,0.0002641384378047569,3.391149790143581e-05,1.0
