horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,adaptive_neyman,0.002034214570826298
2,0.1,50,0,answer_entropy,0.009939451637100673
2,0.1,50,0,mc_ucb_frozen,0.0064050700270555675
2,0.1,50,0,mean_influence,0.0001344945463902062
2,0.1,50,0,occupancy,0.00022212356741008397
2,0.1,50,0,oracle_tail,0.00012527831926240882
2,0.1,50,0,tis,0.0005937740074692401
2,0.1,50,0,uniform,0.005960917068406533
2,0.1,50,0,untied_tis,0.0004460559062798178
2,0.1,50,1,adaptive_neyman,0.002561567355449013
2,0.1,50,1,answer_entropy,0.01392889005035791
2,0.1,50,1,mc_ucb_frozen,0.007908055768604065
2,0.1,50,1,mean_influence,0.00019029343843121244
2,0.1,50,1,occupancy,0.000194281194476378
2,0.1,50,1,oracle_tail,0.0001449778724454938
2,0.1,50,1,tis,0.00046662368073176197
2,0.1,50,1,uniform,0.007447261386861654
2,0.1,50,1,untied_tis,0.0003560269433256321
2,0.1,50,2,adaptive_neyman,0.0020243120412637788
2,0.1,50,2,answer_entropy,0.012131304629608103
2,0.1,50,2,mc_ucb_frozen,0.00925564604850186
2,0.1,50,2,mean_influence,0.0004193099187443461
2,0.1,50,2,occupancy,0.000589228371672823
2,0.1,50,2,oracle_tail,0.0003108338668339307
2,0.1,50,2,tis,0.0007604020019007851
2,0.1,50,2,uniform,0.00762157331582802
2,0.1,50,2,untied_tis,0.00040844415632760775
2,0.1,50,3,adaptive_neyman,0.003036768162834723
2,0.1,50,3,answer_entropy,0.014130995907701357
2,0.1,50,3,mc_ucb_frozen,0.0064659511809694965
2,0.1,50,3,mean_influence,0.00011356980225653214
2,0.1,50,3,occupancy,0.00017156524871572555
2,0.1,50,3,oracle_tail,0.0001194170525705626
2,0.1,50,3,tis,0.0003088786799542149
2,0.1,50,3,uniform,0.006645122648068085
2,0.1,50,3,untied_tis,0.0016250263353437744
2,0.1,50,4,adaptive_neyman,0.001731506497978443
2,0.1,50,4,answer_entropy,0.038142364587881096
2,0.1,50,4,mc_ucb_frozen,0.008804044515081341
2,0.1,50,4,mean_influence,0.00023169877704017202
2,0.1,50,4,occupancy,0.0001969884655370104
2,0.1,50,4,oracle_tail,0.00017959337021346478
2,0.1,50,4,tis,0.0004925214832176033
2,0.1,50,4,uniform,0.007845920426699717
2,0.1,50,4,untied_tis,0.00047312835704961726
2,0.1,50,5,adaptive_neyman,0.0015631589482609795
2,0.1,50,5,answer_entropy,0.025665788355936883
2,0.1,50,5,mc_ucb_frozen,0.022669086619089576
2,0.1,50,5,mean_influence,0.0001362131809432857
2,0.1,50,5,occupancy,0.00016931018234370442
2,0.1,50,5,oracle_tail,0.000153372345105083
2,0.1,50,5,tis,0.0006743197367513679
2,0.1,50,5,uniform,0.00802293435642843
2,0.1,50,5,untied_tis,0.0004785921932372713
2,0.1,50,6,adaptive_neyman,0.0058865940857145745
2,0.1,50,6,answer_entropy,0.029434403404286803
2,0.1,50,6,mc_ucb_frozen,0.008486257196784747
2,0.1,50,6,mean_influence,0.00022680111260379846
2,0.1,50,6,occupancy,0.00021833289874930115
2,0.1,50,6,oracle_tail,0.00017631623765362525
2,0.1,50,6,tis,0.0023953640583122084
2,0.1,50,6,uniform,0.00619717392752225
2,0.1,50,6,untied_tis,0.0007435311002066265
2,0.1,50,7,adaptive_neyman,0.0012780431491266754
2,0.1,50,7,answer_entropy,0.010303565824531395
2,0.1,50,7,mc_ucb_frozen,0.008350557086695949
2,0.1,50,7,mean_influence,0.00023982014641721992
2,0.1,50,7,occupancy,0.00026105534682073023
2,0.1,50,7,oracle_tail,0.00020890934132276035
2,0.1,50,7,tis,0.0007333287228283458
2,0.1,50,7,uniform,0.007662074237611277
2,0.1,50,7,untied_tis,0.0006274009398863343
2,0.1,50,8,adaptive_neyman,0.0035499368170099433
2,0.1,50,8,answer_entropy,0.01364723093382039
2,0.1,50,8,mc_ucb_frozen,0.007100111130060318
2,0.1,50,8,mean_influence,0.0001754087888270286
2,0.1,50,8,occupancy,0.00021322935330738303
2,0.1,50,8,oracle_tail,0.00014017136922262334
2,0.1,50,8,tis,0.0006948619112741154
2,0.1,50,8,uniform,0.006053999589572154
2,0.1,50,8,untied_tis,0.0004933985981009569
2,0.1,50,9,adaptive_neyman,0.0014807103283122178
2,0.1,50,9,answer_entropy,0.011925673814366627
2,0.1,50,9,mc_ucb_frozen,0.006065530622934954
2,0.1,50,9,mean_influence,0.00014605780175377231
2,0.1,50,9,occupancy,0.0001665676636038417
2,0.1,50,9,oracle_tail,0.0001413718719531344
2,0.1,50,9,tis,0.0005771707714646932
2,0.1,50,9,uniform,0.0060745047538424135
2,0.1,50,9,untied_tis,0.0007377355749009358
2,0.1,50,10,adaptive_neyman,0.002164381865505843
2,0.1,50,10,answer_entropy,0.011188189442985849
2,0.1,50,10,mc_ucb_frozen,0.008188677223376045
2,0.1,50,10,mean_influence,0.0001383939311516334
2,0.1,50,10,occupancy,0.00017741151288312384
2,0.1,50,10,oracle_tail,0.00011147173186471624
2,0.1,50,10,tis,0.0004750863447203475
2,0.1,50,10,uniform,0.00461572622105702
2,0.1,50,10,untied_tis,0.0006487607535951166
2,0.1,50,11,adaptive_neyman,0.002898076983932196
2,0.1,50,11,answer_entropy,0.012052789753551745
2,0.1,50,11,mc_ucb_frozen,0.011793132529498993
2,0.1,50,11,mean_influence,0.0001756025457293402
2,0.1,50,11,occupancy,0.00021113824945603342
2,0.1,50,11,oracle_tail,0.00013228990009289514
2,0.1,50,11,tis,0.0010477947830818402
2,0.1,50,11,uniform,0.006955539346181651
2,0.1,50,11,untied_tis,0.0020461684852034557
2,0.1,50,12,adaptive_neyman,0.004601499845691399
2,0.1,50,12,answer_entropy,0.022805865724189047
2,0.1,50,12,mc_ucb_frozen,0.010752229248666636
2,0.1,50,12,mean_influence,0.00015053666188944443
2,0.1,50,12,occupancy,0.00015865828750424973
2,0.1,50,12,oracle_tail,0.00014017996532469126
2,0.1,50,12,tis,0.0019698774768865277
2,0.1,50,12,uniform,0.00874758203957425
2,0.1,50,12,untied_tis,0.0005598107387611388
2,0.1,50,13,adaptive_neyman,0.002175467606006518
2,0.1,50,13,answer_entropy,0.031707502933028923
2,0.1,50,13,mc_ucb_frozen,0.00900239379205338
2,0.1,50,13,mean_influence,0.00022412111594982828
2,0.1,50,13,occupancy,0.0001717205900911646
2,0.1,50,13,oracle_tail,0.0002109813448995424
2,0.1,50,13,tis,0.0003093598401447086
2,0.1,50,13,uniform,0.005180307746067601
2,0.1,50,13,untied_tis,0.0004966374133720776
2,0.1,50,14,adaptive_neyman,0.00205485135045785
2,0.1,50,14,answer_entropy,0.022463048146747985
2,0.1,50,14,mc_ucb_frozen,0.010323919748739314
2,0.1,50,14,mean_influence,0.0001531249087123515
2,0.1,50,14,occupancy,0.0002148213181248483
2,0.1,50,14,oracle_tail,0.00010820434785127365
2,0.1,50,14,tis,0.0005752705130727532
2,0.1,50,14,uniform,0.01899414840234416
2,0.1,50,14,untied_tis,0.00044055554737477655
2,0.1,50,15,adaptive_neyman,0.0019508281708602681
2,0.1,50,15,answer_entropy,0.009496419813020497
2,0.1,50,15,mc_ucb_frozen,0.009568358439914758
2,0.1,50,15,mean_influence,0.00018874186347209407
2,0.1,50,15,occupancy,0.0001761740443939943
2,0.1,50,15,oracle_tail,0.00011684762695601701
2,0.1,50,15,tis,0.0009813171867161386
2,0.1,50,15,uniform,0.0067394256549117735
2,0.1,50,15,untied_tis,0.00035000939591306565
2,0.1,50,16,adaptive_neyman,0.002500095052880015
2,0.1,50,16,answer_entropy,0.026637018156912606
2,0.1,50,16,mc_ucb_frozen,0.008882896021310888
2,0.1,50,16,mean_influence,0.00010036693745494628
2,0.1,50,16,occupancy,0.00019788527426761035
2,0.1,50,16,oracle_tail,6.78142985098771e-05
2,0.1,50,16,tis,0.0003199566242420771
2,0.1,50,16,uniform,0.0061289678913959466
2,0.1,50,16,untied_tis,0.0010096115217245111
2,0.1,50,17,adaptive_neyman,0.003138686484773721
2,0.1,50,17,answer_entropy,0.011896072042314956
2,0.1,50,17,mc_ucb_frozen,0.010899239730102376
2,0.1,50,17,mean_influence,0.0002223102948366719
2,0.1,50,17,occupancy,0.00016371014937981024
2,0.1,50,17,oracle_tail,0.00021752445288202125
2,0.1,50,17,tis,0.0007486782390544634
2,0.1,50,17,uniform,0.0063756761894867
2,0.1,50,17,untied_tis,0.006260601322516627
2,0.1,50,18,adaptive_neyman,0.0028191758472131487
2,0.1,50,18,answer_entropy,0.023252856261155218
2,0.1,50,18,mc_ucb_frozen,0.008017043794628245
2,0.1,50,18,mean_influence,0.00020127132762905444
2,0.1,50,18,occupancy,0.00025561780725289217
2,0.1,50,18,oracle_tail,0.00016641933128872598
2,0.1,50,18,tis,0.0006354722352968416
2,0.1,50,18,uniform,0.0049247166862647004
2,0.1,50,18,untied_tis,0.0006070060391002164
2,0.1,50,19,adaptive_neyman,0.0010956447204144009
2,0.1,50,19,answer_entropy,0.015452023062944667
2,0.1,50,19,mc_ucb_frozen,0.010463158734251302
2,0.1,50,19,mean_influence,0.0002012003974445928
2,0.1,50,19,occupancy,0.00021011368332628886
2,0.1,50,19,oracle_tail,0.0001798082490971288
2,0.1,50,19,tis,0.000440777514448156
2,0.1,50,19,uniform,0.009195243457541913
2,0.1,50,19,untied_tis,0.00039824930814662393
2,0.1,50,20,adaptive_neyman,0.004333577919630816
2,0.1,50,20,answer_entropy,0.02552060787269271
2,0.1,50,20,mc_ucb_frozen,0.0040986640161457
