horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,adaptive_neyman-minus-tis,300,-0.00048658171399141654,0.0002983542900572482
2,0.1,50,answer_entropy-minus-tis,300,0.025073323602231832,0.0006308487551156304
2,0.1,50,mc_ucb_frozen-minus-tis,300,0.0051029096222501204,0.0003228642754728268
2,0.1,50,mean_influence-minus-tis,300,-0.0051483482207712525,0.00023888968458491843
2,0.1,50,occupancy-minus-tis,300,-0.005108205567163921,0.00023864554501276322
2,0.1,50,oracle_tail-minus-tis,300,-0.005177018153223696,0.00023876619357461517
2,0.1,50,uniform-minus-tis,300,0.0022438705966783567,0.0002682583011194925
2,0.1,50,untied_tis-minus-tis,300,0.00018413424488969787,0.000343237315183829
2,0.1,100,adaptive_neyman-minus-tis,300,0.00043441619711105455,0.00022833872891495392
2,0.1,100,answer_entropy-minus-tis,300,0.017801615083635366,0.000587811864574102
2,0.1,100,mc_ucb_frozen-minus-tis,300,0.001544279766188575,0.00019685848295303252
2,0.1,100,mean_influence-minus-tis,300,-0.0029944529806737613,0.0001688650341277748
2,0.1,100,occupancy-minus-tis,300,-0.002975206055387132,0.00016872702341658993
2,0.1,100,oracle_tail-minus-tis,300,-0.00300924741768167,0.00016886963205180864
2,0.1,100,uniform-minus-tis,300,0.0008861405232152477,0.00018688619120728532
2,0.1,100,untied_tis-minus-tis,300,0.00019716435570425666,0.00026596057318236136
2,0.1,200,adaptive_neyman-minus-tis,300,0.001869485093459918,0.00016684500781597727
2,0.1,200,answer_entropy-minus-tis,300,0.010037238088183067,0.0002790853308927011
2,0.1,200,mc_ucb_frozen-minus-tis,300,0.0007577397679791218,0.00012255396515354727
2,0.1,200,mean_influence-minus-tis,300,-0.0013389815896095976,0.0001098954873777387
2,0.1,200,occupancy-minus-tis,300,-0.001329447361378527,0.00010989055808603346
2,0.1,200,oracle_tail-minus-tis,300,-0.0013468187267773883,0.00010993879754529966
2,0.1,200,uniform-minus-tis,300,0.000530633148560192,0.00012224865638082023
2,0.1,200,untied_tis-minus-tis,300,-0.00015685256473752814,0.00015470505757016415
2,0.1,400,adaptive_neyman-minus-tis,300,0.003346627174308628,0.00013907147008231273
2,0.1,400,answer_entropy-minus-tis,300,0.0060592040170960445,0.00020588836144050138
2,0.1,400,mc_ucb_frozen-minus-tis,300,0.0005536573126726462,5.724492616805036e-05
2,0.1,400,mean_influence-minus-tis,300,-0.0004423986555937087,5.2202619271779235e-05
2,0.1,400,occupancy-minus-tis,300,-0.00043749348255031704,5.21843468765304e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.00044618394681117217,5.217935594830286e-05
2,0.1,400,uniform-minus-tis,300,0.0004895402663576428,5.682218143534088e-05
2,0.1,400,untied_tis-minus-tis,300,1.8376912398358e-05,6.776326347401185e-05
2,0.2,50,adaptive_neyman-minus-tis,300,-0.0005203544662001962,0.0002136643595892029
2,0.2,50,answer_entropy-minus-tis,300,0.016020405836089758,0.00047242871674116766
2,0.2,50,mc_ucb_frozen-minus-tis,300,0.0037085398625096174,0.00023472339891715294
2,0.2,50,mean_influence-minus-tis,300,-0.002883729983789341,0.00017803626500443494
2,0.2,50,occupancy-minus-tis,300,-0.002854786409527191,0.00017806201384763115
2,0.2,50,oracle_tail-minus-tis,300,-0.0028957119128328345,0.00017807272147208532
2,0.2,50,uniform-minus-tis,300,0.0020579051645807705,0.00021423048354778817
2,0.2,50,untied_tis-minus-tis,300,0.00034075415153305035,0.0002622727411505851
2,0.2,100,adaptive_neyman-minus-tis,300,0.0007566142772135762,0.00015672634780035676
2,0.2,100,answer_entropy-minus-tis,300,0.008805058794840977,0.00023460562707446888
2,0.2,100,mc_ucb_frozen-minus-tis,300,0.0014147422261750915,0.00012147588168371695
2,0.2,100,mean_influence-minus-tis,300,-0.0015071552117349126,0.00010555136131761115
2,0.2,100,occupancy-minus-tis,300,-0.0014928954647127845,0.00010553068361275951
2,0.2,100,oracle_tail-minus-tis,300,-0.001513166188106436,0.00010555453355102187
2,0.2,100,uniform-minus-tis,300,0.0010400483631799096,0.0001126940717160894
2,0.2,100,untied_tis-minus-tis,300,0.00010551114593568796,0.00015326290776586628
2,0.2,200,adaptive_neyman-minus-tis,300,0.0013592011023351974,0.00011824447606576975
2,0.2,200,answer_entropy-minus-tis,300,0.005502961238370023,0.0001618835912124063
2,0.2,200,mc_ucb_frozen-minus-tis,300,0.0007764847218094134,6.728177139571537e-05
2,0.2,200,mean_influence-minus-tis,300,-0.0006103182889487882,5.933767576581918e-05
2,0.2,200,occupancy-minus-tis,300,-0.0006034566105576905,5.9349379978396875e-05
2,0.2,200,oracle_tail-minus-tis,300,-0.0006128573785031236,5.934256927680343e-05
2,0.2,200,uniform-minus-tis,300,0.0006748750665431982,6.371309880238014e-05
2,0.2,200,untied_tis-minus-tis,300,-2.330786640424585e-05,7.893786850324001e-05
2,0.2,400,adaptive_neyman-minus-tis,300,0.002285518967230858,9.795661533972871e-05
2,0.2,400,answer_entropy-minus-tis,300,0.0030143013884747077,8.484229578047745e-05
2,0.2,400,mc_ucb_frozen-minus-tis,300,0.0004395402163757775,2.161204195832341e-05
2,0.2,400,mean_influence-minus-tis,300,-0.00016333285542168425,1.5239137206793996e-05
2,0.2,400,occupancy-minus-tis,300,-0.0001602912824856668,1.523254899855714e-05
2,0.2,400,oracle_tail-minus-tis,300,-0.00016491949616975112,1.5244110165519926e-05
2,0.2,400,uniform-minus-tis,300,0.00045902181872067523,1.929117426382805e-05
2,0.2,400,untied_tis-minus-tis,300,1.9536711782006742e-05,2.7774599595232364e-05
4,0.1,50,adaptive_neyman-minus-tis,300,0.01572463748183863,0.0024274394569288073
4,0.1,50,answer_entropy-minus-tis,300,0.12463866140986696,0.0034552826187968346
4,0.1,50,mc_ucb_frozen-minus-tis,300,0.015386597316039504,0.001736812285115613
