horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,adaptive_neyman,300,0.004852658211804895,0.00016881213790251285,0.6399297751790226
2,0.1,50,answer_entropy,300,0.030412563528028146,0.0006405225964595404,4.010565774808637
2,0.1,50,mc_ucb_frozen,300,0.01044214954804643,0.0002174871544977817,1.3770272129224812
2,0.1,50,mean_influence,300,0.00019089170502505898,4.618842113164582e-06,0.025173272163091658
2,0.1,50,occupancy,300,0.00023103435863239068,5.064352501616643e-06,0.030466964439942658
2,0.1,50,oracle_tail,300,0.0001622217725726153,4.120771646377834e-06,0.02139251064478432
2,0.1,50,tis,300,0.005339239925796311,0.00023856476310954433,0.7040962821222216
2,0.1,50,uniform,300,0.007583110522474667,0.0001690237651240401,1.0
2,0.1,50,untied_tis,300,0.005523374170686009,0.00024926429336970566,0.7283784344585175
2,0.1,100,adaptive_neyman,300,0.0035224115349594214,0.00013067681979432255,0.8863339498455653
2,0.1,100,answer_entropy,300,0.020889610421483736,0.0006115678405083785,5.25639060962877
2,0.1,100,mc_ucb_frozen,300,0.004632275104036942,0.00010730324070582535,1.1656056224502567
2,0.1,100,mean_influence,300,9.354235717460626e-05,2.2199054752041195e-06,0.0235377854318174
2,0.1,100,occupancy,300,0.00011278928246123532,2.8635176353748607e-06,0.028380832061199093
2,0.1,100,oracle_tail,300,7.874792016669713e-05,1.8698634729083962e-06,0.019815105200158275
2,0.1,100,tis,300,0.0030879953378483674,0.00016882922321258907,0.7770230927691318
2,0.1,100,uniform,300,0.0039741358610636155,9.544007586997295e-05,1.0
2,0.1,100,untied_tis,300,0.0032851596935526235,0.00021274478867941408,0.8266349738414333
2,0.1,200,adaptive_neyman,300,0.003252445569289244,0.00011636956927435945,1.6996532219984022
2,0.1,200,answer_entropy,300,0.011420198564012392,0.0002939456444105346,5.967933012765816
2,0.1,200,mc_ucb_frozen,300,0.0021407002438084475,5.39421682067921e-05,1.1186806940221607
2,0.1,200,mean_influence,300,4.3978886219728114e-05,1.077297401409084e-06,0.02298235406890971
2,0.1,200,occupancy,300,5.3513114450798706e-05,1.2145365084523756e-06,0.02796472237822734
2,0.1,200,oracle_tail,300,3.614174905193749e-05,8.9189600603296e-07,0.018886846502463438
2,0.1,200,tis,300,0.0013829604758293257,0.0001099196609307611,0.7227033254098154
2,0.1,200,uniform,300,0.0019135936243895176,4.2051353839398334e-05,1.0
2,0.1,200,untied_tis,300,0.0012261079110917976,0.00011237205366602208,0.640735783953584
2,0.1,400,adaptive_neyman,300,0.003810169643742965,0.00012907684668056723,3.997732306604883
2,0.1,400,answer_entropy,300,0.006522746486530382,0.00021439345528609336,6.843840772239144
2,0.1,400,mc_ucb_frozen,300,0.0010171997821069834,2.499875172716629e-05,1.0672733267607917
2,0.1,400,mean_influence,300,2.1143813840628553e-05,4.332083535174769e-07,0.022184657266988202
2,0.1,400,occupancy,300,2.6048986884020348e-05,5.334992335672057e-07,0.02733129654517821
2,0.1,400,oracle_tail,300,1.735852262316517e-05,3.6024512623001456e-07,0.01821302807330867
2,0.1,400,tis,300,0.0004635424694343374,5.222190334363965e-05,0.4863612066681167
2,0.1,400,uniform,300,0.0009530827357919802,2.4288813004646483e-05,1.0
2,0.1,400,untied_tis,300,0.0004819193818326954,4.803026471520192e-05,0.5056427566408873
2,0.2,50,adaptive_neyman,300,0.002480011686013686,0.00010168993865182183,0.4902883872162932
2,0.2,50,answer_entropy,300,0.01902077198830364,0.0004937117550293213,3.7603305155162783
2,0.2,50,mc_ucb_frozen,300,0.0067089060147235,0.00015935417576272252,1.326323875203837
2,0.2,50,mean_influence,300,0.00011663616842454131,2.131583632184477e-06,0.02305850380885694
2,0.2,50,occupancy,300,0.00014557974268669153,2.8909284287326487e-06,0.02878053263045272
2,0.2,50,oracle_tail,300,0.0001046542393810478,1.9992154899574683e-06,0.020689724379467558
2,0.2,50,tis,300,0.0030003661522138825,0.0001782020660080952,0.593160383123768
2,0.2,50,uniform,300,0.005058271316794653,0.00013304378509162282,1.0
2,0.2,50,untied_tis,300,0.0033411203037469325,0.00019349489725482383,0.6605261154445444
2,0.2,100,adaptive_neyman,300,0.0023211223370651207,0.00010063696750126011,0.8911775980508638
2,0.2,100,answer_entropy,300,0.01036956685469252,0.00024661829044891404,3.981317802523678
2,0.2,100,mc_ucb_frozen,300,0.0029792502860266357,6.189691449684124e-05,1.1438609122389731
2,0.2,100,mean_influence,300,5.735284811663194e-05,1.1146192465972508e-06,0.02202019799205529
2,0.2,100,occupancy,300,7.161259513876037e-05,1.431055571998567e-06,0.027495121436229116
2,0.2,100,oracle_tail,300,5.134187174510857e-05,9.854920391395111e-07,0.01971232847601418
2,0.2,100,tis,300,0.0015645080598515446,0.00010550730696289058,0.6006811931647874
2,0.2,100,uniform,300,0.002604556423031454,5.1089674862172816e-05,1.0
2,0.2,100,untied_tis,300,0.0016700192057872328,0.0001191601725591243,0.6411914101839615
2,0.2,200,adaptive_neyman,300,0.0019969608821280168,9.849115167589903e-05,1.5213377030955497
2,0.2,200,answer_entropy,300,0.006140721018162843,0.00016705987178532565,4.678163950396071
2,0.2,200,mc_ucb_frozen,300,0.0014142445016022327,2.968564595300116e-05,1.0774089272045764
2,0.2,200,mean_influence,300,2.7441490844030958e-05,5.407614166741782e-07,0.020905654699499187
2,0.2,200,occupancy,300,3.430316923512882e-05,6.615496697021805e-07,0.026133063076056454
2,0.2,200,oracle_tail,300,2.4902401289695697e-05,4.999779801563147e-07,0.01897130901195122
2,0.2,200,tis,300,0.0006377597797928193,5.929025663483462e-05,0.4858622956513841
2,0.2,200,uniform,300,0.0013126348463360176,2.712149455244106e-05,1.0
2,0.2,200,untied_tis,300,0.0006144519133885735,5.452242059427399e-05,0.4681057455572695
2,0.2,400,adaptive_neyman,300,0.0024625024503308387,9.724288903798776e-05,3.871826922325293
2,0.2,400,answer_entropy,300,0.0031912848715746887,8.804656742132025e-05,5.01770168022056
2,0.2,400,mc_ucb_frozen,300,0.000616523699475758,1.4730203531670379e-05,0.9693688051198176
2,0.2,400,mean_influence,300,1.3650627678296247e-05,2.7267945182578115e-07,0.02146307214612737
2,0.2,400,occupancy,300,1.669220061431369e-05,3.1880255502858824e-07,0.026245379663549798
2,0.2,400,oracle_tail,300,1.2063986930229362e-05,2.4248768803480424e-07,0.01896837478507566
2,0.2,400,tis,300,0.00017698348309998048,1.525591529526912e-05,0.2782735970806219
2,0.2,400,uniform,300,0.0006360053018206557,1.19741465537108e-05,1.0
