horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,complete_rollout-minus-tis,300,-0.0018533269198337968,0.00010363109690958242
2,0.1,50,uniform-minus-tis,300,0.0007394252631343959,0.00013208954661088386
2,0.1,100,complete_rollout-minus-tis,300,-0.0008652643314000952,3.729179475251334e-05
2,0.1,100,uniform-minus-tis,300,0.00027614071971645925,4.33547102055854e-05
2,0.1,200,complete_rollout-minus-tis,300,-0.0004491639548271553,2.377641301212166e-05
2,0.1,200,uniform-minus-tis,300,0.00013780850023680037,2.766454356499285e-05
2,0.1,400,complete_rollout-minus-tis,300,-0.0002070929582907722,1.457869675943553e-05
2,0.1,400,uniform-minus-tis,300,8.4135684672561e-05,1.65736777483908e-05
2,0.2,50,complete_rollout-minus-tis,300,-0.0008393927932959917,3.631447116525786e-05
2,0.2,50,uniform-minus-tis,300,0.00121172945575258,7.433171758038242e-05
2,0.2,100,complete_rollout-minus-tis,300,-0.00038574844626592655,2.6004046631079335e-05
2,0.2,100,uniform-minus-tis,300,0.0007704918660562645,5.46662402820425e-05
2,0.2,200,complete_rollout-minus-tis,300,-0.00013670606261920626,8.250518422136656e-06
2,0.2,200,uniform-minus-tis,300,0.0005064936293022766,2.570006527426726e-05
2,0.2,400,complete_rollout-minus-tis,300,-5.561981327108068e-05,6.517866208118016e-06
2,0.2,400,uniform-minus-tis,300,0.00026513147822090894,1.4075336984361578e-05
4,0.1,50,complete_rollout-minus-tis,300,-0.006766638365156555,0.00031681573735486474
4,0.1,50,uniform-minus-tis,300,0.001032014085183523,0.0003819683266181745
4,0.1,100,complete_rollout-minus-tis,300,-0.00349255519664343,0.00020953980667344014
4,0.1,100,uniform-minus-tis,300,-1.7036252397463502e-05,0.0002573705704048619
4,0.1,200,complete_rollout-minus-tis,300,-0.001895454011586725,0.00010942333535768258
4,0.1,200,uniform-minus-tis,300,-0.00018831046960652504,0.00011596852126848778
4,0.1,400,complete_rollout-minus-tis,300,-0.0009117463301128781,5.879114392619255e-05
4,0.1,400,uniform-minus-tis,300,-2.204516661597584e-05,6.206566044192899e-05
4,0.2,50,complete_rollout-minus-tis,300,-0.0035224786541737402,0.0001899026825379816
4,0.2,50,uniform-minus-tis,300,0.0035923311700192338,0.0003584439838638149
4,0.2,100,complete_rollout-minus-tis,300,-0.0015322119359868146,0.00010107918027046609
4,0.2,100,uniform-minus-tis,300,0.002083422782486928,0.0001961113059129756
4,0.2,200,complete_rollout-minus-tis,300,-0.0007650356232188857,5.8835201240504744e-05
4,0.2,200,uniform-minus-tis,300,0.0014244440936565792,0.00010741381486251387
4,0.2,400,complete_rollout-minus-tis,300,-0.0002567133910382397,2.2348086294606315e-05
4,0.2,400,uniform-minus-tis,300,0.0007623952668229217,5.295785536452731e-05
6,0.1,50,complete_rollout-minus-tis,300,-0.014378491362643367,0.0006753454982474997
6,0.1,50,uniform-minus-tis,300,0.0034344922504348546,0.0009822500677953267
6,0.1,100,complete_rollout-minus-tis,300,-0.007552824637077637,0.0004327958847606499
6,0.1,100,uniform-minus-tis,300,0.0014236758423364492,0.0006319146989369236
6,0.1,200,complete_rollout-minus-tis,300,-0.00463724685107451,0.00031977068643155784
6,0.1,200,uniform-minus-tis,300,-0.0008748923101098131,0.0003365644558418014
6,0.1,400,complete_rollout-minus-tis,300,-0.0025325810312117527,0.00019466405384284145
6,0.1,400,uniform-minus-tis,300,-0.0007388182135918797,0.0002044985206448153
6,0.2,50,complete_rollout-minus-tis,300,-0.008886142316616627,0.00046303243938027803
6,0.2,50,uniform-minus-tis,300,0.005378505082135293,0.0007451092573735511
6,0.2,100,complete_rollout-minus-tis,300,-0.003973997577996756,0.00023929286731986434
6,0.2,100,uniform-minus-tis,300,0.0037633473925235135,0.0003927867907610764
6,0.2,200,complete_rollout-minus-tis,300,-0.002511289813125018,0.00021052708614393623
6,0.2,200,uniform-minus-tis,300,0.0018354685503199227,0.0002854239384295987
6,0.2,400,complete_rollout-minus-tis,300,-0.00129318322679606,9.193896684204546e-05
6,0.2,400,uniform-minus-tis,300,0.0009289121428678303,0.00015050812558437457
