horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,complete_rollout,6.171552090872075e-05
2,0.1,50,0,tis,0.0015704975602818963
2,0.1,50,0,uniform,0.001468601144665593
2,0.1,50,1,complete_rollout,4.375634976376241e-05
2,0.1,50,1,tis,0.0018007271126418904
2,0.1,50,1,uniform,0.001823755042432594
2,0.1,50,2,complete_rollout,5.824342930588405e-05
2,0.1,50,2,tis,0.0027327594686269367
2,0.1,50,2,uniform,0.0012971921288906186
2,0.1,50,3,complete_rollout,4.5924991768320724e-05
2,0.1,50,3,tis,0.0008016126145734509
2,0.1,50,3,uniform,0.004643078327466413
2,0.1,50,4,complete_rollout,3.6556372059997944e-05
2,0.1,50,4,tis,0.001823884112162438
2,0.1,50,4,uniform,0.0012904282180003816
2,0.1,50,5,complete_rollout,2.761687397211297e-05
2,0.1,50,5,tis,0.0013246435568142706
2,0.1,50,5,uniform,0.0028633762009606916
2,0.1,50,6,complete_rollout,8.259299118162328e-05
2,0.1,50,6,tis,0.0009968289094232287
2,0.1,50,6,uniform,0.0009118445920579285
2,0.1,50,7,complete_rollout,4.16840531569784e-05
2,0.1,50,7,tis,0.0023179911301426954
2,0.1,50,7,uniform,0.0019218756129601037
2,0.1,50,8,complete_rollout,6.053647274935366e-05
2,0.1,50,8,tis,0.0008659544874083851
2,0.1,50,8,uniform,0.0015402034693844863
2,0.1,50,9,complete_rollout,5.525160896088043e-05
2,0.1,50,9,tis,0.0066208997191439444
2,0.1,50,9,uniform,0.0022802264172391245
2,0.1,50,10,complete_rollout,0.00010614252031115011
2,0.1,50,10,tis,0.0019576861130501653
2,0.1,50,10,uniform,0.002273812063427209
2,0.1,50,11,complete_rollout,3.284978885275065e-05
2,0.1,50,11,tis,0.0025797059399782526
2,0.1,50,11,uniform,0.003912829591524109
2,0.1,50,12,complete_rollout,5.614146371097467e-05
2,0.1,50,12,tis,0.0015486176845963017
2,0.1,50,12,uniform,0.01141042493803504
2,0.1,50,13,complete_rollout,0.00010285334348470139
2,0.1,50,13,tis,0.002055928278585741
2,0.1,50,13,uniform,0.0024145897083932204
2,0.1,50,14,complete_rollout,5.1884346439251364e-05
2,0.1,50,14,tis,0.0017824051565018143
2,0.1,50,14,uniform,0.002220404806807549
2,0.1,50,15,complete_rollout,9.362697671115546e-05
2,0.1,50,15,tis,0.002311733673819884
2,0.1,50,15,uniform,0.003542645725737349
2,0.1,50,16,complete_rollout,6.98224948870722e-05
2,0.1,50,16,tis,0.0007108846367293129
2,0.1,50,16,uniform,0.0011454995256958659
2,0.1,50,17,complete_rollout,4.085061192889699e-05
2,0.1,50,17,tis,0.0017973664474335476
2,0.1,50,17,uniform,0.0034587180995107347
2,0.1,50,18,complete_rollout,4.3235145280844926e-05
2,0.1,50,18,tis,0.002172143916649993
2,0.1,50,18,uniform,0.0025080496570571544
2,0.1,50,19,complete_rollout,5.46355332832429e-05
2,0.1,50,19,tis,0.0008859391529452108
2,0.1,50,19,uniform,0.003785594817738323
