horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,complete_rollout,300,2.1083936342883984e-05,1.6914249368503525e-06,0.00025925721070478564,0.024308178621196032
2,0.1,50,0,tis,300,0.0007780617542550316,0.00014727340614895904,0.003366367308141573,0.8970461584198359
2,0.1,50,0,uniform,300,0.0008673597751375497,8.014288357268819e-05,-0.0009742910188436198,1.0
2,0.1,50,1,complete_rollout,300,1.8539741863289644e-05,2.000707686445942e-06,0.0016313300701193485,0.07438939319124382
2,0.1,50,1,tis,300,0.0004697777732326283,4.644215899031152e-05,0.009671430476441716,1.884949841437984
2,0.1,50,1,uniform,300,0.00024922560956542266,2.173420503405417e-05,0.006604727709517091,1.0
2,0.1,50,2,complete_rollout,300,0.00010552010833477235,8.951543731768914e-06,-0.00031443421713103363,0.024170083196129833
2,0.1,50,2,tis,300,0.004688170066386241,0.0008095848275603719,0.0032104443552610777,1.0738565599521892
2,0.1,50,2,uniform,300,0.004365732110995318,0.0005901769328155739,0.0036457106750138082,1.0
2,0.1,50,3,complete_rollout,300,2.0127367362995285e-05,1.5317418788417902e-06,-5.047871329489843e-05,0.03567157939302207
2,0.1,50,3,tis,300,0.000543391822726309,5.3063141647142756e-05,0.0009428236020700871,0.9630491755984872
2,0.1,50,3,uniform,300,0.0005642409925626259,4.7316895428579346e-05,-0.0007127758235923776,1.0
2,0.1,50,4,complete_rollout,300,0.00013557162387082197,1.0616200048988327e-05,-0.0006391040644669203,0.04398061263984615
2,0.1,50,4,tis,300,0.005423214145486565,0.00038496765515905776,0.020943330064204693,1.7593377860756956
2,0.1,50,4,uniform,300,0.0030825315004365116,0.00027146997433663447,0.004811190603827803,1.0
2,0.1,50,5,complete_rollout,300,0.00014738652201289434,1.1731266118553195e-05,0.00033435945160478764,0.05736559243729512
2,0.1,50,5,tis,300,0.0016557580120823369,0.00019200891075459237,0.005562647405110938,0.6444520027929794
2,0.1,50,5,uniform,300,0.002569249540549918,0.00021630328291773272,0.009603949195194627,1.0
2,0.1,50,6,complete_rollout,300,3.1621561045240813e-06,2.441794733765021e-07,0.00011554789396915085,0.037642377158216944
2,0.1,50,6,tis,300,0.0001312489390087195,3.4255394259599885e-05,0.00253500199369404,1.5623903123295055
2,0.1,50,6,uniform,300,8.400521814106034e-05,1.0552429687659323e-05,0.0003927143571351858,1.0
2,0.1,50,7,complete_rollout,300,3.672355223856462e-07,4.0431446045595806e-08,-4.5023510271785525e-05,0.03074334499317051
2,0.1,50,7,tis,300,5.12940991860748e-06,2.2341841251682856e-06,6.104647428032443e-05,0.4294116694232522
2,0.1,50,7,uniform,300,1.1945203830852689e-05,6.50428457199603e-06,-0.00021854731979559079,1.0
2,0.1,50,8,complete_rollout,300,4.8267850501674e-05,4.030350237640102e-06,-0.00022749611435218624,0.0629490951789532
2,0.1,50,8,tis,300,0.00031883813368240705,3.0047877970714402e-05,0.0003602379367308465,0.41581656973014713
2,0.1,50,8,uniform,300,0.0007667759221074901,0.00010096159298585611,-0.0002590793459352773,1.0
2,0.1,50,9,complete_rollout,300,7.589829858252056e-05,6.088156226776522e-06,-0.0002952377416493135,0.02172465312327546
2,0.1,50,9,tis,300,0.0031954549905085835,0.000463157594879816,-0.0025545703064941364,0.9146470017949252
2,0.1,50,9,uniform,300,0.0034936483520284283,0.0003258756933805985,-0.00014474282915429663,1.0
2,0.1,50,10,complete_rollout,300,5.549540397647868e-06,4.4895126369429335e-07,-0.00019620330889798013,0.02348495274081896
2,0.1,50,10,tis,300,0.0002571002522694567,2.8616589470147978e-05,0.0012149608791793686,1.088015734917432
2,0.1,50,10,uniform,300,0.00023630196146838599,2.1943517947452397e-05,0.0011449810622865435,1.0
2,0.1,50,11,complete_rollout,300,7.199118750521593e-06,6.135071202666005e-07,-9.981976015325688e-05,0.03893345954929796
2,0.1,50,11,tis,300,0.0002009823288409743,3.4708744078949755e-05,0.002464909395773728,1.0869298925631472
2,0.1,50,11,uniform,300,0.00018490827257223294,2.5453384537440842e-05,0.0018267142243809098,1.0
2,0.1,50,12,complete_rollout,300,8.383197375106402e-08,2.69027333844351e-08,1.9414418162206163e-05,0.00014980283659499747
2,0.1,50,12,tis,300,0.001541322666025887,0.0004363404484860542,0.01034422336436891,2.7542535043308725
2,0.1,50,12,uniform,300,0.0005596153961871207,0.00021699072535203396,0.004973122191869783,1.0
