horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,complete_rollout-minus-tis,300,-0.0015115169543375333,6.0982969613448295e-05
2,0.1,50,uniform-minus-tis,300,0.0024690430798599582,9.591555556323968e-05
2,0.1,100,complete_rollout-minus-tis,300,-0.0005001742852114194,2.5288124568398283e-05
2,0.1,100,uniform-minus-tis,300,0.0015078634055244189,4.4664504157043876e-05
2,0.1,200,complete_rollout-minus-tis,300,-0.00018497992971845881,1.0705384194427115e-05
2,0.1,200,uniform-minus-tis,300,0.0009024645619923063,2.3636348824511277e-05
2,0.1,400,complete_rollout-minus-tis,300,-8.11867982798569e-05,5.17946574207262e-06
2,0.1,400,uniform-minus-tis,300,0.000470962969522171,1.2902748759215352e-05
2,0.2,50,complete_rollout-minus-tis,300,-0.0006096648554505072,2.6715507201194897e-05
2,0.2,50,uniform-minus-tis,300,0.0016940508598502254,4.930632257113047e-05
2,0.2,100,complete_rollout-minus-tis,300,-0.00025385282364073824,1.4107197793761957e-05
2,0.2,100,uniform-minus-tis,300,0.0008548127394272313,2.6459499934659455e-05
2,0.2,200,complete_rollout-minus-tis,300,-8.34156515271799e-05,7.977729513406284e-06
2,0.2,200,uniform-minus-tis,300,0.0004624128236980879,1.3271262685830489e-05
2,0.2,400,complete_rollout-minus-tis,300,-2.782726708555171e-05,2.3190580937957822e-06
2,0.2,400,uniform-minus-tis,300,0.00025981418249394934,5.9274104559995875e-06
4,0.1,50,complete_rollout-minus-tis,300,-0.0021938040068158805,0.00012888442697472409
4,0.1,50,uniform-minus-tis,300,0.00516536035801097,0.0001870551708365462
4,0.1,100,complete_rollout-minus-tis,300,-0.0008251769092394379,6.534199024332864e-05
4,0.1,100,uniform-minus-tis,300,0.002803044768672569,9.607180689318411e-05
4,0.1,200,complete_rollout-minus-tis,300,-0.00019874471617438864,2.002188687979082e-05
4,0.1,200,uniform-minus-tis,300,0.0016447737708020908,4.5807088020255944e-05
4,0.1,400,complete_rollout-minus-tis,300,-6.784728319977985e-05,1.2003706080038227e-05
4,0.1,400,uniform-minus-tis,300,0.0009104750432589603,2.6801591450655694e-05
4,0.2,50,complete_rollout-minus-tis,300,-0.000990275889006321,6.255488676953837e-05
4,0.2,50,uniform-minus-tis,300,0.0033312345364714044,0.0001028563518590103
4,0.2,100,complete_rollout-minus-tis,300,-0.0003147587733612667,2.6909939881465502e-05
4,0.2,100,uniform-minus-tis,300,0.0019927091432687008,5.6739637897421984e-05
4,0.2,200,complete_rollout-minus-tis,300,-5.83731050919114e-05,6.552610581639402e-06
4,0.2,200,uniform-minus-tis,300,0.0010789910356841159,2.510712744617433e-05
4,0.2,400,complete_rollout-minus-tis,300,-1.4702810907039407e-05,2.376566825801803e-06
4,0.2,400,uniform-minus-tis,300,0.0005569227794590834,1.30603977959008e-05
6,0.1,50,complete_rollout-minus-tis,300,-0.0046479983781367255,0.0003428017100859718
6,0.1,50,uniform-minus-tis,300,0.0066941737474214115,0.0004047096128353941
6,0.1,100,complete_rollout-minus-tis,300,-0.0017864538922509625,0.00016192530869632677
6,0.1,100,uniform-minus-tis,300,0.0038487986572290954,0.00020581563362617443
6,0.1,200,complete_rollout-minus-tis,300,-0.0004499611666926953,6.501643850893644e-05
6,0.1,200,uniform-minus-tis,300,0.0023376489423363998,0.0001033721636227459
6,0.1,400,complete_rollout-minus-tis,300,-7.544371813673864e-05,1.4331388488568074e-05
6,0.1,400,uniform-minus-tis,300,0.0013412852663269921,4.00688600549526e-05
6,0.2,50,complete_rollout-minus-tis,300,-0.001865014153611563,0.00013795377670608789
6,0.2,50,uniform-minus-tis,300,0.006426894927822886,0.00024476622897223597
6,0.2,100,complete_rollout-minus-tis,300,-0.0005270291053909467,6.029211253843512e-05
6,0.2,100,uniform-minus-tis,300,0.003328016346961915,0.00011611573808179612
6,0.2,200,complete_rollout-minus-tis,300,-0.00013417088972323955,2.2813542851556506e-05
6,0.2,200,uniform-minus-tis,300,0.001768275253507815,5.025777067396617e-05
6,0.2,400,complete_rollout-minus-tis,300,-2.1142127204799987e-06,4.00208659105887e-06
6,0.2,400,uniform-minus-tis,300,0.0009677714741705212,2.612006312556372e-05
