horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,complete_rollout,0.0001974216847363958
2,0.1,50,0,tis,0.0010027394231820776
2,0.1,50,0,uniform,0.004910209809867556
2,0.1,50,1,complete_rollout,6.574972860659449e-05
2,0.1,50,1,tis,0.0015464410746038218
2,0.1,50,1,uniform,0.006810205758371403
2,0.1,50,2,complete_rollout,0.0001584806928480862
2,0.1,50,2,tis,0.002140796575706068
2,0.1,50,2,uniform,0.0021789173614315707
2,0.1,50,3,complete_rollout,0.00016968204325757793
2,0.1,50,3,tis,0.002275048081718328
2,0.1,50,3,uniform,0.0023257264239408674
2,0.1,50,4,complete_rollout,0.00010698770627927959
2,0.1,50,4,tis,0.0012220230605240522
2,0.1,50,4,uniform,0.004447850441422059
2,0.1,50,5,complete_rollout,0.0001962061266577131
2,0.1,50,5,tis,0.0005931259154914803
2,0.1,50,5,uniform,0.006000103824684235
2,0.1,50,6,complete_rollout,0.00011229994661292141
2,0.1,50,6,tis,0.0017187883453326366
2,0.1,50,6,uniform,0.0045678465148805796
2,0.1,50,7,complete_rollout,0.00013445185447337086
2,0.1,50,7,tis,0.0011732714641480091
2,0.1,50,7,uniform,0.00272179899412505
2,0.1,50,8,complete_rollout,0.0001511875907544727
2,0.1,50,8,tis,0.0025066538805649822
2,0.1,50,8,uniform,0.003898810530089847
2,0.1,50,9,complete_rollout,0.00017914336319348314
2,0.1,50,9,tis,0.002484471251554361
2,0.1,50,9,uniform,0.0052667820539433335
2,0.1,50,10,complete_rollout,0.00012957098746949576
2,0.1,50,10,tis,0.0023158447318421746
2,0.1,50,10,uniform,0.00419083753618947
2,0.1,50,11,complete_rollout,8.949241100471112e-05
2,0.1,50,11,tis,0.0017290453447532418
2,0.1,50,11,uniform,0.0047391216131370964
2,0.1,50,12,complete_rollout,9.943479844426148e-05
2,0.1,50,12,tis,0.0010075593827939577
2,0.1,50,12,uniform,0.0016475720287966486
2,0.1,50,13,complete_rollout,0.0001402309974410933
2,0.1,50,13,tis,0.0008075317501253022
2,0.1,50,13,uniform,0.004075421661588745
2,0.1,50,14,complete_rollout,9.805825076323085e-05
2,0.1,50,14,tis,0.0006265460412417305
2,0.1,50,14,uniform,0.004036677156164084
2,0.1,50,15,complete_rollout,0.00011264704099598216
2,0.1,50,15,tis,0.0019007264149786545
2,0.1,50,15,uniform,0.003178505841240848
2,0.1,50,16,complete_rollout,0.00018077322857812684
2,0.1,50,16,tis,0.0018903542619230673
2,0.1,50,16,uniform,0.00353065479372801
2,0.1,50,17,complete_rollout,0.00010575438602841605
2,0.1,50,17,tis,0.0009371241234825214
2,0.1,50,17,uniform,0.003348818192322161
2,0.1,50,18,complete_rollout,0.00016221491274412723
2,0.1,50,18,tis,0.001469885011043678
2,0.1,50,18,uniform,0.004800848503539122
2,0.1,50,19,complete_rollout,0.0001165538635208365
2,0.1,50,19,tis,0.0022211749799498294
2,0.1,50,19,uniform,0.005177258728411495
2,0.1,50,20,complete_rollout,0.00011330085704937976
2,0.1,50,20,tis,0.0015044972818508912
2,0.1,50,20,uniform,0.002918717903507396
2,0.1,50,21,complete_rollout,6.812707993204222e-05
2,0.1,50,21,tis,0.0006120049595674904
2,0.1,50,21,uniform,0.006165082023564125
2,0.1,50,22,complete_rollout,0.0002337240379808295
2,0.1,50,22,tis,0.001480060236380035
2,0.1,50,22,uniform,0.0038250449389983557
2,0.1,50,23,complete_rollout,0.00012977518618635499
2,0.1,50,23,tis,0.0003373479195751177
2,0.1,50,23,uniform,0.004271056051372585
2,0.1,50,24,complete_rollout,0.00011819857067396995
2,0.1,50,24,tis,0.0010543219376827186
2,0.1,50,24,uniform,0.0034675223043937166
2,0.1,50,25,complete_rollout,9.691965941741471e-05
2,0.1,50,25,tis,0.0005847671671710408
2,0.1,50,25,uniform,0.0027536356982788895
2,0.1,50,26,complete_rollout,0.00013917653779772586
2,0.1,50,26,tis,0.001439811030486308
2,0.1,50,26,uniform,0.0049998263922516285
2,0.1,50,27,complete_rollout,0.00010622563911687484
2,0.1,50,27,tis,0.0007118029729689995
2,0.1,50,27,uniform,0.0028376084015199186
2,0.1,50,28,complete_rollout,0.00010166293427930246
2,0.1,50,28,tis,0.0007808898480472809
2,0.1,50,28,uniform,0.003607608881071642
2,0.1,50,29,complete_rollout,0.000100275159105141
2,0.1,50,29,tis,0.0015160960420013637
2,0.1,50,29,uniform,0.0038375171583329725
2,0.1,50,30,complete_rollout,0.00014589612162332118
2,0.1,50,30,tis,0.00045570439523579757
2,0.1,50,30,uniform,0.005897047290181653
2,0.1,50,31,complete_rollout,0.00010303046672052165
2,0.1,50,31,tis,0.0011946901961087458
2,0.1,50,31,uniform,0.004575252068143105
2,0.1,50,32,complete_rollout,0.00014277006971516627
2,0.1,50,32,tis,0.0006430028284869576
2,0.1,50,32,uniform,0.008417755598845715
2,0.1,50,33,complete_rollout,0.00015629182049830807
2,0.1,50,33,tis,0.0011150955731459922
2,0.1,50,33,uniform,0.003674229145070361
2,0.1,50,34,complete_rollout,0.00013137215755960432
2,0.1,50,34,tis,0.00041105770899829756
2,0.1,50,34,uniform,0.0032346468877526412
2,0.1,50,35,complete_rollout,0.0001474643788588148
2,0.1,50,35,tis,0.0018338588142418914
2,0.1,50,35,uniform,0.002207618728502016
2,0.1,50,36,complete_rollout,5.627595402302219e-05
2,0.1,50,36,tis,0.0008105272967230868
2,0.1,50,36,uniform,0.0033552829141651978
2,0.1,50,37,complete_rollout,0.00011769547963314031
2,0.1,50,37,tis,0.0015772415913349372
2,0.1,50,37,uniform,0.0035058888926815554
2,0.1,50,38,complete_rollout,7.215201676958669e-05
2,0.1,50,38,tis,0.004554425144910632
2,0.1,50,38,uniform,0.00429576144864778
2,0.1,50,39,complete_rollout,0.00013081698989755858
2,0.1,50,39,tis,0.0020151869250550156
2,0.1,50,39,uniform,0.003395401509341502
2,0.1,50,40,complete_rollout,0.00011992108474550977
2,0.1,50,40,tis,0.0012515917170017273
2,0.1,50,40,uniform,0.0016060886617887949
2,0.1,50,41,complete_rollout,0.00013269618897773512
2,0.1,50,41,tis,0.0013823348629370062
2,0.1,50,41,uniform,0.005127554535120842
2,0.1,50,42,complete_rollout,7.315194729094687e-05
2,0.1,50,42,tis,0.0004660426997917007
2,0.1,50,42,uniform,0.0044277182117165486
