horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,complete_rollout,300,0.0001227014213719629,2.3040204430164774e-06,0.029903388487569404
2,0.1,50,tis,300,0.001634218375709496,6.097455657584762e-05,0.3982730307110537
2,0.1,50,uniform,300,0.004103261455569454,7.935907530967966e-05,1.0
2,0.1,100,complete_rollout,300,6.041391651518137e-05,1.1610720575777425e-06,0.029207314448836296
2,0.1,100,tis,300,0.0005605882017266007,2.535518855692483e-05,0.271018282352578
2,0.1,100,uniform,300,0.0020684516072510197,3.924569439672835e-05,1.0
2,0.1,200,complete_rollout,300,3.134778556191096e-05,5.941526537538994e-07,0.02801930814031778
2,0.1,200,tis,300,0.00021632771528036978,1.0658528826602585e-05,0.19335824859974932
2,0.1,200,uniform,300,0.0011187922772726761,2.2157661330348053e-05,1.0
2,0.1,400,complete_rollout,300,1.651748432525373e-05,3.0045538516224225e-07,0.029045956600217082
2,0.1,400,tis,300,9.770428260511063e-05,5.172991878383821e-06,0.17181274680336617
2,0.1,400,uniform,300,0.0005686672521272816,1.1870604519528767e-05,1.0
2,0.2,50,complete_rollout,300,5.920061897041304e-05,1.124558172268753e-06,0.025054047877947315
2,0.2,50,tis,300,0.0006688654744209203,2.6634502675339643e-05,0.2830677771869716
2,0.2,50,uniform,300,0.0023629163342711455,4.678391778663969e-05,1.0
2,0.2,100,complete_rollout,300,2.9630313241283846e-05,5.590262878731606e-07,0.026030414286798188
2,0.2,100,tis,300,0.000283483136882022,1.4123475284395245e-05,0.24904169713868407
2,0.2,100,uniform,300,0.0011382958763092531,2.1852586540489067e-05,1.0
2,0.2,200,complete_rollout,300,1.5666502608868064e-05,3.0886329381546954e-07,0.027901411815469356
2,0.2,200,tis,300,9.908215413604796e-05,7.974074077563635e-06,0.1764613363386423
2,0.2,200,uniform,300,0.0005614949778341359,1.0742430225706577e-05,1.0
2,0.2,400,complete_rollout,300,7.5670946192338954e-06,1.4437171594121622e-07,0.02563304744370716
2,0.2,400,tis,300,3.53943617047856e-05,2.3106197385303936e-06,0.11989612902585249
2,0.2,400,uniform,300,0.00029520854419873494,5.746263136781803e-06,1.0
4,0.1,50,complete_rollout,300,0.0004984945612940976,1.0158583029463988e-05,0.06344059547265016
4,0.1,50,tis,300,0.0026922985681099784,0.00012822669500474478,0.34263367669981987
4,0.1,50,uniform,300,0.007857658926120947,0.00016159971020918,1.0
4,0.1,100,complete_rollout,300,0.0002525716309986834,5.268152468471243e-06,0.06508247435356931
4,0.1,100,tis,300,0.001077748540238121,6.505543887135665e-05,0.2777134607410043
