horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,complete_rollout,300,2.9673460684522552e-06,2.918836558010951e-07,3.0373101737279177e-05,0.03159704217784231
2,0.1,50,0,tis,300,0.00018134797709253237,4.819213710065871e-05,0.0013457190156572591,1.9310385606785259
2,0.1,50,0,uniform,300,9.391214695827231e-05,1.0437571320091988e-05,0.0007959823813464043,1.0
2,0.1,50,1,complete_rollout,300,5.241873521870752e-06,4.625657772301971e-07,-3.772911034427488e-05,0.047352127871116895
2,0.1,50,1,tis,300,4.776807597492682e-05,1.0368162401761663e-05,0.00034530097051319747,0.43150984705840695
2,0.1,50,1,uniform,300,0.00011069985146471333,2.6223178372762296e-05,-0.0001816151502304305,1.0
2,0.1,50,2,complete_rollout,300,3.5363413388489914e-06,3.1075125741173923e-07,0.00015857763514535384,0.04183225920514312
2,0.1,50,2,tis,300,8.469801786105594e-05,1.25525988246154e-05,-0.00025082671159027217,1.001913870248381
2,0.1,50,2,uniform,300,8.453622649226202e-05,1.1030227909171739e-05,-0.00042236090779358194,1.0
2,0.1,50,3,complete_rollout,300,2.101497966335531e-06,2.912675334411934e-07,-7.471784435438612e-05,0.01820046179452554
2,0.1,50,3,tis,300,0.00013330836503654722,7.431591903241817e-05,-0.0003300877190761812,1.1545449215776002
2,0.1,50,3,uniform,300,0.00011546399152177743,5.969531660943446e-05,-0.0003027577303946257,1.0
2,0.1,50,4,complete_rollout,300,5.4879789751895575e-05,4.934944956080384e-06,-7.371976692936802e-05,0.022241368717538585
2,0.1,50,4,tis,300,0.0008343715530315764,0.00022438851934099865,0.005016798553798063,0.3381493522897398
2,0.1,50,4,uniform,300,0.0024674645903702743,0.0002647130116059446,0.0013017682265587648,1.0
2,0.1,50,5,complete_rollout,300,1.755141299707851e-06,9.081330221690725e-07,0.00024774114774117563,0.0024639658490971115
2,0.1,50,5,tis,300,0.0006284492762195572,0.00014229884339265152,0.009647576293838828,0.8822523603954482
2,0.1,50,5,uniform,300,0.0007123237119341569,0.00011705187396989328,0.012959629629629642,1.0
2,0.1,50,6,complete_rollout,300,2.0502999493349175e-06,1.4734540439290527e-07,-6.153334534398776e-05,0.1501008549756992
2,0.1,50,6,tis,300,6.481791871525501e-05,1.6201626170297057e-05,0.0009091827585300812,4.745269110532411
2,0.1,50,6,uniform,300,1.3659482150630347e-05,1.653954612847394e-06,-0.00045053049634158126,1.0
2,0.1,50,7,complete_rollout,300,0.00010839638047123061,1.001811711021235e-05,-0.000507182359985161,0.023777352280277247
2,0.1,50,7,tis,300,0.0020044792493559157,0.00043328883484283634,2.3037816386910493e-05,0.43969373371365505
2,0.1,50,7,uniform,300,0.004558807860248714,0.0005095234264353365,-0.002671252364055109,1.0
2,0.1,50,8,complete_rollout,300,3.334822432154527e-05,2.814198764700608e-06,9.864421039029291e-05,0.030791817759632727
2,0.1,50,8,tis,300,0.0011054826026180148,0.00010678919716469594,0.005394519831625485,1.0207385709069465
2,0.1,50,8,uniform,300,0.0010830222685087442,0.00011712164030354743,0.0072536999694460536,1.0
2,0.1,50,9,complete_rollout,300,1.1934243340244076e-05,1.0184504667533648e-06,0.0003194830870347585,0.05419491089649546
2,0.1,50,9,tis,300,0.00013843010733977996,2.3106204038293855e-05,0.0006912209418360654,0.6286286544345127
2,0.1,50,9,uniform,300,0.00022020966808187538,2.0329785432045603e-05,-0.0007241204945688261,1.0
2,0.1,50,10,complete_rollout,300,7.066282595330299e-06,7.17980822000223e-07,0.00014620874821974866,0.03135147275540887
2,0.1,50,10,tis,300,0.0001012561654509599,5.099852127327726e-05,0.002246574969690123,0.4492503476369325
2,0.1,50,10,uniform,300,0.00022538917550886657,3.711113912887291e-05,0.004074238052249427,1.0
2,0.1,50,11,complete_rollout,300,0.00031928306432538536,2.160872741651131e-05,-0.0013544030978259462,0.021593921578595757
2,0.1,50,11,tis,300,0.006934258088602296,0.0008004134029863001,0.00914399873631499,0.4689814215088514
2,0.1,50,11,uniform,300,0.01478578419224528,0.0008841857845507823,-0.0006990689504917084,1.0
2,0.1,50,12,complete_rollout,300,1.7586975813861704e-08,1.3380931947897684e-08,-7.2459487921827655e-06,0.00013048670313780265
2,0.1,50,12,tis,300,0.00013933510585112673,3.0843721235410956e-05,0.003978052067917055,1.0337978960282688
2,0.1,50,12,uniform,300,0.00013477983113182565,2.1994791727492116e-05,0.005148325072779266,1.0
2,0.1,50,13,complete_rollout,300,0.00039951706611148115,3.6103685851733415e-05,0.002554053432257929,0.036677275054336905
2,0.1,50,13,tis,300,0.001201730473670547,0.000318154971212102,0.003185815625700612,0.11032369543806725
2,0.1,50,13,uniform,300,0.010892768492741128,0.0009152454803820783,0.03480644008264453,1.0
2,0.1,50,14,complete_rollout,300,8.61457062929404e-06,6.629000029475632e-07,0.00014075173855069214,0.056262844721844674
2,0.1,50,14,tis,300,9.789438881505594e-05,1.2038027028254759e-05,0.000784193946915357,0.6393605710668767
2,0.1,50,14,uniform,300,0.00015311295886091833,1.3670618887589058e-05,0.00024859056638919296,1.0
2,0.1,50,15,complete_rollout,300,0.00026838496004561076,2.889635775829073e-05,-0.00013862093678621568,0.024019461742965705
2,0.1,50,15,tis,300,0.006381970820420535,0.0007469008241609747,0.002858495531890741,0.5711627951870453
2,0.1,50,15,uniform,300,0.011173645892552504,0.0008538429714625029,-0.005985557037722229,1.0
2,0.1,50,16,complete_rollout,300,0.00019710155659376246,1.5207191833523598e-05,-0.0008130779446461297,0.02242264779633344
2,0.1,50,16,tis,300,0.001694560850260204,0.00043929329501052057,0.009516102640687136,0.19277646392794817
2,0.1,50,16,uniform,300,0.008790289103412336,0.0007886897676548817,0.03214433841677019,1.0
2,0.1,50,17,complete_rollout,300,0.00010196427095414507,7.604918204424768e-06,0.00032348631623065033,0.07496369547437336
2,0.1,50,17,tis,300,0.0005478050758698363,8.942620168494902e-05,0.002439445619421056,0.4027439465074016
2,0.1,50,17,uniform,300,0.0013601820228966962,9.871205192877649e-05,0.006722264501008894,1.0
2,0.1,50,18,complete_rollout,300,3.5590865588496648e-06,2.868845262964006e-07,-1.7628961783375067e-05,0.06131296585663259
2,0.1,50,18,tis,300,5.9150331829111424e-05,7.763309001772136e-06,0.0001594841820187254,1.0189924341202254
2,0.1,50,18,uniform,300,5.804786164107338e-05,5.007122308538117e-06,0.00042728841713361184,1.0
2,0.1,50,19,complete_rollout,300,2.8342824650800734e-05,2.167323237338149e-06,-7.368544301746715e-05,0.022694680057623016
2,0.1,50,19,tis,300,0.0007147303065572758,0.0001943862256755553,0.0012415023470505949,0.5722991915820195
2,0.1,50,19,uniform,300,0.0012488752685138884,0.00014531830541712106,0.0008557545244225465,1.0
2,0.1,50,20,complete_rollout,300,9.58234613332172e-05,7.531778608232258e-06,-0.00012855305231214884,0.030736585192761432
2,0.1,50,20,tis,300,0.0006347579045178806,0.00010353999979697542,0.0007753674961594977,0.2036066130104332
2,0.1,50,20,uniform,300,0.0031175701767867155,0.0002283552020347107,0.004643358221599433,1.0
2,0.1,50,21,complete_rollout,300,8.091023100545299e-05,6.80060357642841e-06,0.000930095861042115,0.03088588281308307
2,0.1,50,21,tis,300,0.0005265896126089503,0.00016777462423633955,0.0006748391874126643,0.20101518514427075
2,0.1,50,21,uniform,300,0.0026196509096116857,0.0002730779911979186,0.008874576935523433,1.0
2,0.1,50,22,complete_rollout,300,0.0004723016106200094,3.358181942728363e-05,0.0031160922696078243,0.03454547209749832
2,0.1,50,22,tis,300,0.004812140709686713,0.0009478253609732561,0.019196108227864144,0.3519735458820291
2,0.1,50,22,uniform,300,0.01367188178198937,0.0012925922749327887,0.04800475893627459,1.0
2,0.1,50,23,complete_rollout,300,1.597860898606932e-05,1.2133745308717579e-06,-0.00031865343531998363,0.016060105461582378
2,0.1,50,23,tis,300,0.0007998307000377189,0.00027940221086888295,0.005799820919325679,0.803910115405918
2,0.1,50,23,uniform,300,0.000994925532979344,0.00019070981899261662,0.004060345343678962,1.0
2,0.1,50,24,complete_rollout,300,0.00021035102441412638,1.588869803928663e-05,0.0001148562239998054,0.027737945530052897
2,0.1,50,24,tis,300,0.0013625195478271467,0.00020344204193765912,0.001352927442968811,0.17966869002195185
2,0.1,50,24,uniform,300,0.007583511337788874,0.0007873374344540802,0.009054036525180088,1.0
2,0.1,50,25,complete_rollout,300,1.2986395256523916e-07,1.6510935302841014e-08,-5.764944607722367e-06,0.04891147036136424
2,0.1,50,25,tis,300,3.8994313491070484e-06,1.2881214828571967e-06,-3.7233304987335606e-05,1.468667148123413
2,0.1,50,25,uniform,300,2.655081754970512e-06,7.625823682244945e-07,-7.940515624829188e-05,1.0
2,0.1,50,26,complete_rollout,300,2.0668458826138436e-05,2.059049938512642e-06,0.0009450497353755212,0.02461608488769394
2,0.1,50,26,tis,300,0.000680475585420837,0.00012388098434305703,0.010595010078666093,0.8104447900846284
2,0.1,50,26,uniform,300,0.0008396322534811781,0.00012882958520823952,0.0140295210418466,1.0
2,0.1,50,27,complete_rollout,300,2.738795935410888e-05,2.1715613189333055e-06,-0.00019941724098534766,0.04164034690490516
2,0.1,50,27,tis,300,0.0005137366320291843,4.9566027251990764e-05,0.0025543449076550107,0.781079426139994
2,0.1,50,27,uniform,300,0.0006577264934092714,4.519467523002436e-05,0.001446979177411139,1.0
2,0.1,50,28,complete_rollout,300,0.0001293520633408557,1.0787435992869722e-05,-0.001113192933367724,0.026912654193410074
2,0.1,50,28,tis,300,0.0012593670500409188,0.0002530643006732924,0.0018470411298666647,0.262020636122479
2,0.1,50,28,uniform,300,0.004806365898036519,0.0004283376289375732,0.0017615193173445229,1.0
2,0.1,50,29,complete_rollout,300,7.953680157512441e-06,1.3934201292471942e-06,0.0009737158234497005,0.007923019546480259
2,0.1,50,29,tis,300,0.000814448244792544,0.00017102807138200576,0.01035002838185218,0.8113086313878182
2,0.1,50,29,uniform,300,0.0010038698138824867,0.00014725682108857342,0.016650669018402862,1.0
2,0.1,50,30,complete_rollout,300,0.000199876733714097,1.5509303331717735e-05,0.0027619362315418126,0.025341584320523157
2,0.1,50,30,tis,300,0.004166806492362199,0.0004047879032009654,0.020234093385191533,0.52829299394366
2,0.1,50,30,uniform,300,0.007887302198080199,0.0006203133723126357,0.008733915067520725,1.0
2,0.1,50,31,complete_rollout,300,0.00044749975493611863,3.5215725174808583e-05,0.0027639703905760417,0.03515851886283332
2,0.1,50,31,tis,300,0.006493201970000137,0.0008994352509576307,0.010654625856025708,0.5101485786847532
2,0.1,50,31,uniform,300,0.012728060493161969,0.001117033607324944,0.01882462810323373,1.0
2,0.1,50,32,complete_rollout,300,3.3808985539419265e-05,2.7476848021758132e-06,0.00019362936663003556,0.022868560384773504
2,0.1,50,32,tis,300,0.0032076051160457825,0.0006566894772759474,-0.0029892556142664633,2.169639523826463
2,0.1,50,32,uniform,300,0.0014784046293500044,0.0002553287537137883,0.0015997343727350546,1.0
2,0.1,50,33,complete_rollout,300,3.529181019163411e-05,3.067331362343559e-06,-1.5472566546660775e-05,0.07825688397891561
2,0.1,50,33,tis,300,0.0003751447711892131,6.0551971151091473e-05,0.0017639237541001607,0.8318547752251683
2,0.1,50,33,uniform,300,0.0004509738747219045,3.623118746509292e-05,0.0006251900301159774,1.0
2,0.1,50,34,complete_rollout,300,0.0003777150437578949,3.035646166279659e-05,0.0004645701122255434,0.029133905725597768
2,0.1,50,34,tis,300,0.005027763736497729,0.000675548958289892,-0.0008703054640114116,0.3878013257094221
2,0.1,50,34,uniform,300,0.012964792544997671,0.0010652260535173738,-0.003963576407921024,1.0
2,0.1,50,35,complete_rollout,300,0.00013325746937899237,1.0153014747025276e-05,0.0012955699461287505,0.07987448761794355
2,0.1,50,35,tis,300,0.0003506441237898543,7.145716771868547e-05,0.001995735381895344,0.21017598378896335
2,0.1,50,35,uniform,300,0.0016683358272843118,0.00016038939285078357,0.002132815367374244,1.0
2,0.1,50,36,complete_rollout,300,0.0003746957589789412,3.098615628351049e-05,-0.0004795652024976734,0.021623662953241196
2,0.1,50,36,tis,300,0.007021387315779055,0.0007325323481171843,0.03425425399646107,0.40520371299185776
2,0.1,50,36,uniform,300,0.017328042884740654,0.0011525750502205528,0.019062140943208548,1.0
2,0.1,50,37,complete_rollout,300,1.927301183553896e-05,1.5566781932507993e-06,-6.315181045112195e-05,0.07922879090002342
2,0.1,50,37,tis,300,0.0002759500396126454,8.953698949052319e-05,0.0006371048983223929,1.1343939480703418
2,0.1,50,37,uniform,300,0.00024325767964651927,4.532223978872132e-05,0.0018698632485638954,1.0
2,0.1,50,38,complete_rollout,300,3.2715970497595686e-05,2.765119718644915e-06,-0.00030464227665810104,0.02917146607647643
2,0.1,50,38,tis,300,0.0025332955543831037,0.001303971246667053,0.002398289392464867,2.2588339640361945
2,0.1,50,38,uniform,300,0.0011215058719307052,0.00017610149364811196,0.0017978094937934513,1.0
2,0.1,50,39,complete_rollout,300,0.00017441684858204593,1.2864470270057322e-05,0.0002639058259201277,0.03883669927516499
2,0.1,50,39,tis,300,0.0016344568674036438,0.00028096931432561794,0.002839166885559528,0.3639379472432327
2,0.1,50,39,uniform,300,0.004491031726107083,0.0004664754035075654,0.006625708837723278,1.0
2,0.1,50,40,complete_rollout,300,4.3942777009751646e-05,3.7237818806301355e-06,-3.398211758931106e-05,0.05270992652605361
2,0.1,50,40,tis,300,0.00024357053875103638,3.41872267260027e-05,0.0022129896086592734,0.29216599575919655
2,0.1,50,40,uniform,300,0.0008336717560786485,6.809432503745202e-05,0.007604530702923509,1.0
2,0.1,50,41,complete_rollout,300,1.2003871905183034e-05,1.049081784380044e-06,-0.00012761416272363563,0.03442540420933809
2,0.1,50,41,tis,300,0.00025529466679202024,3.131954601949425e-05,-0.00035335519142047763,0.7321489404605214
2,0.1,50,41,uniform,300,0.00034869225738609963,3.971051207519079e-05,-0.0007490663401760174,1.0
2,0.1,50,42,complete_rollout,300,0.00013288121547988267,1.1738757812750577e-05,0.000654558826681411,0.028983176101633805
2,0.1,50,42,tis,300,0.001151540150164522,0.0001690772996896751,0.01033628766659817,0.251166358162738
2,0.1,50,42,uniform,300,0.004584770661914863,0.00029099247839035344,0.007526170548293175,1.0
2,0.1,50,43,complete_rollout,300,0.000750108103791093,5.6351261182126216e-05,-7.04019689633012e-05,0.03264466119347476
2,0.1,50,43,tis,300,0.007008516730556479,0.0011401850050190498,0.016885152122712674,0.3050102418324686
2,0.1,50,43,uniform,300,0.022977971783668862,0.0015873446976840831,0.035382016427455115,1.0
2,0.1,50,44,complete_rollout,300,0.00028557751456856936,2.8279991607562044e-05,0.0006947165588035043,0.025716541380778675
2,0.1,50,44,tis,300,0.001170242507652762,0.000171470976419234,-0.0015509218567214308,0.10538151058238347
2,0.1,50,44,uniform,300,0.011104818114539254,0.0009648013928161164,0.03206444875253588,1.0
2,0.1,50,45,complete_rollout,300,0.00014912159856217386,1.1326359051749309e-05,0.0020451807676464748,0.03559979584688992
2,0.1,50,45,tis,300,0.0004126969151124973,8.696933066649364e-05,0.00388339217697343,0.0985231251965194
2,0.1,50,45,uniform,300,0.004188832969816075,0.00039962421171092565,0.024260741207206945,1.0
2,0.1,50,46,complete_rollout,300,0.00026423402599465,2.1892168518938455e-05,-0.0012067247274228801,0.04622966820261738
2,0.1,50,46,tis,300,0.0034967487540443934,0.0004992441188956166,0.0013056288066281637,0.6117816737601428
2,0.1,50,46,uniform,300,0.005715680779636006,0.0004933339172364394,-0.003812496807194887,1.0
