horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,complete_rollout-minus-tis,300,-0.008146106790064668,0.00024303969270413213
2,0.1,50,uniform-minus-tis,300,0.004952672914378617,0.0002868310987638545
2,0.1,100,complete_rollout-minus-tis,300,-0.0031282269552822674,0.00011759797035963143
2,0.1,100,uniform-minus-tis,300,0.003561464210429623,0.00016121513256947434
2,0.1,200,complete_rollout-minus-tis,300,-0.0013490924290680455,7.585622151276038e-05
2,0.1,200,uniform-minus-tis,300,0.002012119023570691,9.521724307185865e-05
2,0.1,400,complete_rollout-minus-tis,300,-0.000533203370452782,4.286974152214164e-05
2,0.1,400,uniform-minus-tis,300,0.0012115149524288115,5.17455405320799e-05
2,0.2,50,complete_rollout-minus-tis,300,-0.0032892900864880583,0.0001170894161903211
2,0.2,50,uniform-minus-tis,300,0.0037615682261471998,0.0001544261240155746
2,0.2,100,complete_rollout-minus-tis,300,-0.0011583074319948183,5.5186909624080414e-05
2,0.2,100,uniform-minus-tis,300,0.0025081820733418767,8.457292887640161e-05
2,0.2,200,complete_rollout-minus-tis,300,-0.00047126631549509107,3.5558826284275594e-05
2,0.2,200,uniform-minus-tis,300,0.0013603027675060234,4.653923402183313e-05
2,0.2,400,complete_rollout-minus-tis,300,-0.00014149369234259083,1.1382547595194614e-05
2,0.2,400,uniform-minus-tis,300,0.0008021039273375216,2.3958903160459272e-05
4,0.1,50,complete_rollout-minus-tis,300,-0.039054488462441694,0.0013351091978185453
4,0.1,50,uniform-minus-tis,300,0.02126366457388573,0.0015016484657290453
4,0.1,100,complete_rollout-minus-tis,300,-0.01695664603191683,0.0009839020798436478
4,0.1,100,uniform-minus-tis,300,0.011198769828126955,0.0010924087612632681
4,0.1,200,complete_rollout-minus-tis,300,-0.006041780312303328,0.0004890691947047426
4,0.1,200,uniform-minus-tis,300,0.007843333695658929,0.0005230726440046903
4,0.1,400,complete_rollout-minus-tis,300,-0.0025543849263088064,0.00033709771466090583
4,0.1,400,uniform-minus-tis,300,0.004113783244291945,0.00036201308127785354
4,0.2,50,complete_rollout-minus-tis,300,-0.01845485023202712,0.0006667893138720616
4,0.2,50,uniform-minus-tis,300,0.01670429007151051,0.0008424089919648061
4,0.2,100,complete_rollout-minus-tis,300,-0.007588803441213863,0.00036457352109881116
4,0.2,100,uniform-minus-tis,300,0.010841228875768523,0.0004748359116773395
4,0.2,200,complete_rollout-minus-tis,300,-0.003485963927849256,0.00023866326242693315
4,0.2,200,uniform-minus-tis,300,0.005790527068935889,0.00028906130006165024
4,0.2,400,complete_rollout-minus-tis,300,-0.0009733986294272399,0.00010527945303318778
4,0.2,400,uniform-minus-tis,300,0.0038491679348910818,0.00013976257914456955
6,0.1,50,complete_rollout-minus-tis,300,-0.09722865052982248,0.003744234664320579
6,0.1,50,uniform-minus-tis,300,0.049505394584702676,0.004477476566727418
6,0.1,100,complete_rollout-minus-tis,300,-0.04016265297847306,0.0024425673665233218
6,0.1,100,uniform-minus-tis,300,0.02881669929902558,0.0026059593098405743
6,0.1,200,complete_rollout-minus-tis,300,-0.015636134532891966,0.0015023054039340865
6,0.1,200,uniform-minus-tis,300,0.017856217530068507,0.0015570134120835078
6,0.1,400,complete_rollout-minus-tis,300,-0.0064769258494209595,0.0007654104471125595
6,0.1,400,uniform-minus-tis,300,0.01069575500086299,0.0007790506106935668
6,0.2,50,complete_rollout-minus-tis,300,-0.052143382979153746,0.002084882810592504
6,0.2,50,uniform-minus-tis,300,0.0388346926804379,0.0023967668096620998
6,0.2,100,complete_rollout-minus-tis,300,-0.02214461630810111,0.0010972263475498008
6,0.2,100,uniform-minus-tis,300,0.025088708473366222,0.0013490999806003623
6,0.2,200,complete_rollout-minus-tis,300,-0.009639576292020594,0.0007152645756038998
6,0.2,200,uniform-minus-tis,300,0.013960826988403502,0.0008684227294571186
6,0.2,400,complete_rollout-minus-tis,300,-0.004111321617261897,0.00044979300019664954
6,0.2,400,uniform-minus-tis,300,0.008228097517374525,0.0005080986469600353
