horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,complete_rollout,300,0.0003260073726828388,6.22672953641155e-06,0.024283988327703745
2,0.1,50,tis,300,0.008472114162747508,0.00024297602906000855,0.631079965296638
2,0.1,50,uniform,300,0.013424787077126122,0.0002598620816610425,1.0
2,0.1,100,complete_rollout,300,0.00016775972803638285,3.1671708485523604e-06,0.024463861372937313
2,0.1,100,tis,300,0.0032959866833186502,0.000117712747596402,0.4806431331974247
2,0.1,100,uniform,300,0.0068574508937482735,0.00012984830248988897,1.0
2,0.1,200,complete_rollout,300,8.295014813410956e-05,1.3564101616497394e-06,0.02408427877353261
2,0.1,200,tis,300,0.001432042577202155,7.586251075669592e-05,0.41578843945092886
2,0.1,200,uniform,300,0.0034441616007728467,6.0105230048879524e-05,1.0
2,0.1,400,complete_rollout,300,4.073564843995303e-05,6.938534694521043e-07,0.02281528904931756
2,0.1,400,tis,300,0.0005739390188927349,4.283701936811822e-05,0.321452710689551
2,0.1,400,uniform,300,0.0017854539713215464,3.4302987376935826e-05,1.0
2,0.2,50,complete_rollout,300,0.0001786885850924967,3.0588775875250827e-06,0.024716429344784872
2,0.2,50,tis,300,0.0034679786715805547,0.00011696148457260408,0.47969516217821895
2,0.2,50,uniform,300,0.007229546897727754,0.0001245804640289592,1.0
2,0.2,100,complete_rollout,300,8.922775802873176e-05,1.6454579358368998e-06,0.02375784750867441
2,0.2,100,tis,300,0.0012475351900235502,5.527619724358446e-05,0.33216962368079267
2,0.2,100,uniform,300,0.0037557172633654263,7.092256914266656e-05,1.0
2,0.2,200,complete_rollout,300,4.737756915408381e-05,9.172568626091741e-07,0.02521496238317387
2,0.2,200,tis,300,0.0005186438846491749,3.5545505046203175e-05,0.2760290634405599
2,0.2,200,uniform,300,0.0018789466521551986,3.39943559437794e-05,1.0
2,0.2,400,complete_rollout,300,2.3116099142780364e-05,4.5550763666206105e-07,0.023912042099627384
2,0.2,400,tis,300,0.00016460979148537122,1.1327362573239995e-05,0.17027770298512607
2,0.2,400,uniform,300,0.0009667137188228928,2.0575388119931554e-05,1.0
4,0.1,50,complete_rollout,300,0.0024343275813410157,4.222947825346612e-05,0.03879253150441374
4,0.1,50,tis,300,0.04148881604378271,0.0013359197503141516,0.6611502148665851
4,0.1,50,uniform,300,0.06275248061766844,0.0012476969425254134,1.0
4,0.1,100,complete_rollout,300,0.0011982858317183883,2.150316080257411e-05,0.04082230732945943
4,0.1,100,tis,300,0.018154931863635218,0.000985659868222315,0.6184886681167787
4,0.1,100,uniform,300,0.029353701691762168,0.0005780890948690443,1.0
4,0.1,200,complete_rollout,300,0.0006155505910151092,1.1007572789689816e-05,0.04244981923507973
4,0.1,200,tis,300,0.006657330903318439,0.0004888833254007353,0.45910522637617135
4,0.1,200,uniform,300,0.014500664598977368,0.00026312899000311053,1.0
4,0.1,400,complete_rollout,300,0.0003048001879965873,5.599570685837088e-06,0.04371168379400189
4,0.1,400,tis,300,0.0028591851143053935,0.00033699715784399125,0.4100384466509379
4,0.1,400,uniform,300,0.00697296835859734,0.00014162532286402614,1.0
4,0.2,50,complete_rollout,300,0.0015419434869430228,2.7927803700903872e-05,0.04201356820266339
4,0.2,50,tis,300,0.019996793718970143,0.0006714637676675209,0.544855673285507
4,0.2,50,uniform,300,0.036701083790480656,0.0005993773282682653,1.0
4,0.2,100,complete_rollout,300,0.000764161933316903,1.4308840373673757e-05,0.039812139199590924
4,0.2,100,tis,300,0.008352965374530764,0.0003642881555954499,0.4351818714349272
4,0.2,100,uniform,300,0.01919419425029929,0.00033896025803937765,1.0
4,0.2,200,complete_rollout,300,0.0003734142446698423,6.700787454079078e-06,0.03869615662811834
4,0.2,200,tis,300,0.003859378172519099,0.00023842396874292011,0.3999394891402262
4,0.2,200,uniform,300,0.009649905241454988,0.0001770239444050784,1.0
4,0.2,400,complete_rollout,300,0.00018836078113602679,3.1768404125475122e-06,0.03759000443438835
4,0.2,400,tis,300,0.0011617594105632666,0.00010511677706692188,0.2318451916125174
4,0.2,400,uniform,300,0.005010927345454348,8.938733540719472e-05,1.0
6,0.1,50,complete_rollout,300,0.008217392246159866,0.00013488582781390725,0.053032049177007635
6,0.1,50,tis,300,0.10544604277598234,0.003729564261189907,0.680510259033819
6,0.1,50,uniform,300,0.154951437360685,0.0034262041125213945,1.0
6,0.1,100,complete_rollout,300,0.004210549241825018,8.041990948819533e-05,0.05752910107022546
6,0.1,100,tis,300,0.044373202220298086,0.002441256088361925,0.6062749272668804
6,0.1,100,uniform,300,0.07318990151932366,0.0014949354655169468,1.0
6,0.1,200,complete_rollout,300,0.002021646204679952,3.822096641024391e-05,0.05692533376401134
6,0.1,200,tis,300,0.017657780737571918,0.0015066806327234475,0.4972062172357906
6,0.1,200,uniform,300,0.03551399826764043,0.0006343669606458011,1.0
6,0.1,400,complete_rollout,300,0.0009913240452025646,1.7863828751799495e-05,0.054576292558085236
6,0.1,400,tis,300,0.007468249894623525,0.0007643634783441681,0.4111565669352618
6,0.1,400,uniform,300,0.018164004895486516,0.00030873139280434636,1.0
6,0.2,50,complete_rollout,300,0.005386629216841673,0.00011108393446909276,0.055898362618853524
6,0.2,50,tis,300,0.057530012195995406,0.0020758617572611726,0.5970029407526861
