horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,complete_rollout,0.00027835663978836454
2,0.1,50,0,tis,0.0024432393259190372
2,0.1,50,0,uniform,0.009501770037394074
2,0.1,50,1,complete_rollout,0.00016581644764827394
2,0.1,50,1,tis,0.001232510570322955
2,0.1,50,1,uniform,0.007938740094467949
2,0.1,50,2,complete_rollout,0.0002629570065223164
2,0.1,50,2,tis,0.0023584251711688243
2,0.1,50,2,uniform,0.006714575849222834
2,0.1,50,3,complete_rollout,0.00010088117266428697
2,0.1,50,3,tis,0.00527899729763115
2,0.1,50,3,uniform,0.008852905057773839
2,0.1,50,4,complete_rollout,0.00014482016978895664
2,0.1,50,4,tis,0.01614148657369586
2,0.1,50,4,uniform,0.018090528765260152
2,0.1,50,5,complete_rollout,0.00018803174593326743
2,0.1,50,5,tis,0.0007814211463452108
2,0.1,50,5,uniform,0.004309071182776021
2,0.1,50,6,complete_rollout,0.0001379170194632629
2,0.1,50,6,tis,0.001433626852985517
2,0.1,50,6,uniform,0.008333082810528828
2,0.1,50,7,complete_rollout,0.00014403992676312113
2,0.1,50,7,tis,0.007345753281779717
2,0.1,50,7,uniform,0.008349027980412009
2,0.1,50,8,complete_rollout,0.00015633109213245054
2,0.1,50,8,tis,0.0024303717630361583
2,0.1,50,8,uniform,0.013803939358622178
2,0.1,50,9,complete_rollout,0.00013282863293531986
2,0.1,50,9,tis,0.0008594172390331291
2,0.1,50,9,uniform,0.008220102814840027
2,0.1,50,10,complete_rollout,0.00015884042334229266
2,0.1,50,10,tis,0.0017684555461911955
2,0.1,50,10,uniform,0.008535026661645472
2,0.1,50,11,complete_rollout,0.00011947835007333371
2,0.1,50,11,tis,0.007655332577764343
2,0.1,50,11,uniform,0.006992395700500431
2,0.1,50,12,complete_rollout,0.00013289411771275146
2,0.1,50,12,tis,0.0018801895742104231
2,0.1,50,12,uniform,0.004055176339036425
2,0.1,50,13,complete_rollout,0.00013219068966644355
2,0.1,50,13,tis,0.0010289559893388173
2,0.1,50,13,uniform,0.005579262234298074
2,0.1,50,14,complete_rollout,0.00015715822983044335
2,0.1,50,14,tis,0.0030059526809190825
2,0.1,50,14,uniform,0.008630140507594601
2,0.1,50,15,complete_rollout,0.0003490464463539066
2,0.1,50,15,tis,0.0052138069799347935
2,0.1,50,15,uniform,0.0038353823798137226
2,0.1,50,16,complete_rollout,0.00030360955592922056
2,0.1,50,16,tis,0.017800692084026522
2,0.1,50,16,uniform,0.006705900584308382
2,0.1,50,17,complete_rollout,0.000172178432681617
2,0.1,50,17,tis,0.0032114172206118017
2,0.1,50,17,uniform,0.005891542736229456
2,0.1,50,18,complete_rollout,0.00017994692727020978
2,0.1,50,18,tis,0.002025017467454258
2,0.1,50,18,uniform,0.003535155023963205
2,0.1,50,19,complete_rollout,0.00022713551502332789
2,0.1,50,19,tis,0.003914966547772503
2,0.1,50,19,uniform,0.008312455291699725
2,0.1,50,20,complete_rollout,0.00021884798825118167
2,0.1,50,20,tis,0.003164680232835026
2,0.1,50,20,uniform,0.012430648022827884
2,0.1,50,21,complete_rollout,9.791931417321325e-05
2,0.1,50,21,tis,0.03092378430142406
2,0.1,50,21,uniform,0.011440106577420554
2,0.1,50,22,complete_rollout,0.00023649605293427566
2,0.1,50,22,tis,0.005711385987550647
2,0.1,50,22,uniform,0.007056461454687703
2,0.1,50,23,complete_rollout,0.00011550746805070379
2,0.1,50,23,tis,0.006556536151963097
2,0.1,50,23,uniform,0.006567902245716951
2,0.1,50,24,complete_rollout,0.0003013256790070829
2,0.1,50,24,tis,0.00509216676791136
2,0.1,50,24,uniform,0.00680113850729427
2,0.1,50,25,complete_rollout,0.00018126951207134715
2,0.1,50,25,tis,0.0019041348657877293
2,0.1,50,25,uniform,0.003680140052554632
2,0.1,50,26,complete_rollout,0.0002864270094711255
2,0.1,50,26,tis,0.008560840088016887
2,0.1,50,26,uniform,0.009157781483842397
2,0.1,50,27,complete_rollout,0.00018654648309558038
2,0.1,50,27,tis,0.002704002053733905
2,0.1,50,27,uniform,0.011779344953557251
2,0.1,50,28,complete_rollout,0.00015184146728343617
2,0.1,50,28,tis,0.002455236780690581
2,0.1,50,28,uniform,0.007434819689377278
2,0.1,50,29,complete_rollout,0.00011684265732074257
2,0.1,50,29,tis,0.015276413728589879
2,0.1,50,29,uniform,0.01432425603307579
2,0.1,50,30,complete_rollout,0.0001446217460376065
2,0.1,50,30,tis,0.008920882582895225
2,0.1,50,30,uniform,0.008319698891669487
2,0.1,50,31,complete_rollout,0.00021515721515421882
2,0.1,50,31,tis,0.0054147722419621725
2,0.1,50,31,uniform,0.005741975091246571
2,0.1,50,32,complete_rollout,0.00014816883679562315
2,0.1,50,32,tis,0.0018488566021942067
2,0.1,50,32,uniform,0.008321550247015976
2,0.1,50,33,complete_rollout,0.00018127180372724027
2,0.1,50,33,tis,0.004694360709517326
2,0.1,50,33,uniform,0.0038408585233853155
2,0.1,50,34,complete_rollout,0.00023475519786704787
2,0.1,50,34,tis,0.0011638073884892802
2,0.1,50,34,uniform,0.003573557473997269
2,0.1,50,35,complete_rollout,0.00024253267797851453
2,0.1,50,35,tis,0.0018438885918398227
2,0.1,50,35,uniform,0.007163585698797567
2,0.1,50,36,complete_rollout,0.00011494120275154015
2,0.1,50,36,tis,0.006530898110930556
2,0.1,50,36,uniform,0.007032586966090572
2,0.1,50,37,complete_rollout,0.0001317090723047417
2,0.1,50,37,tis,0.0035201989953024906
2,0.1,50,37,uniform,0.010047322611246618
2,0.1,50,38,complete_rollout,0.00021887416462725
2,0.1,50,38,tis,0.002339273411200476
2,0.1,50,38,uniform,0.007427496619474967
2,0.1,50,39,complete_rollout,0.00013752430051335452
2,0.1,50,39,tis,0.005290641944835775
2,0.1,50,39,uniform,0.005691743719088649
2,0.1,50,40,complete_rollout,0.00023894062770931051
2,0.1,50,40,tis,0.013917495087976161
2,0.1,50,40,uniform,0.007654511840598059
2,0.1,50,41,complete_rollout,0.00019412321649159997
2,0.1,50,41,tis,0.00249656786016707
2,0.1,50,41,uniform,0.008728157170062237
2,0.1,50,42,complete_rollout,0.0001965026899671096
2,0.1,50,42,tis,0.0030131862304346984
2,0.1,50,42,uniform,0.005279697149035026
2,0.1,50,43,complete_rollout,0.0003049076222028751
2,0.1,50,43,tis,0.007502127352121881
2,0.1,50,43,uniform,0.007418395575573192
2,0.1,50,44,complete_rollout,9.75403469535279e-05
2,0.1,50,44,tis,0.0025511566220320974
2,0.1,50,44,uniform,0.006019085718093581
2,0.1,50,45,complete_rollout,8.713005072481626e-05
2,0.1,50,45,tis,0.004827944968577565
2,0.1,50,45,uniform,0.004347672987378187
2,0.1,50,46,complete_rollout,0.00013837452635716654
2,0.1,50,46,tis,0.0030221729010214407
2,0.1,50,46,uniform,0.005512028390527931
2,0.1,50,47,complete_rollout,0.00020799611141135866
2,0.1,50,47,tis,0.005119972289914369
2,0.1,50,47,uniform,0.008756000369576645
2,0.1,50,48,complete_rollout,0.00022999576558380925
2,0.1,50,48,tis,0.0100030219132088
2,0.1,50,48,uniform,0.006783602850286627
2,0.1,50,49,complete_rollout,0.00015367667805164762
2,0.1,50,49,tis,0.006286070119103813
2,0.1,50,49,uniform,0.007102540980569885
2,0.1,50,50,complete_rollout,0.0002906390452124684
2,0.1,50,50,tis,0.01809235093908742
2,0.1,50,50,uniform,0.008687884439667084
2,0.1,50,51,complete_rollout,0.00014660868210965896
2,0.1,50,51,tis,0.003180187409432691
2,0.1,50,51,uniform,0.006784020751556825
2,0.1,50,52,complete_rollout,0.0001348976632705786
2,0.1,50,52,tis,0.004163898958893032
2,0.1,50,52,uniform,0.004298962065893868
2,0.1,50,53,complete_rollout,0.0001386064691604523
2,0.1,50,53,tis,0.001770503964595434
2,0.1,50,53,uniform,0.0041928601874849725
2,0.1,50,54,complete_rollout,0.00013709608496044131
2,0.1,50,54,tis,0.0066455133012029
2,0.1,50,54,uniform,0.005697066551346804
2,0.1,50,55,complete_rollout,0.0002731458990334685
2,0.1,50,55,tis,0.002795799664389645
2,0.1,50,55,uniform,0.004011315139895597
2,0.1,50,56,complete_rollout,0.00014139691528291759
2,0.1,50,56,tis,0.002381502843413438
2,0.1,50,56,uniform,0.009061329297951346
2,0.1,50,57,complete_rollout,0.000275933185643369
2,0.1,50,57,tis,0.008343042899646814
2,0.1,50,57,uniform,0.017350518532936187
2,0.1,50,58,complete_rollout,0.000233447590027693
2,0.1,50,58,tis,0.002880981936637808
2,0.1,50,58,uniform,0.003077950231274985
2,0.1,50,59,complete_rollout,0.00015938659784010104
2,0.1,50,59,tis,0.007056065073468734
2,0.1,50,59,uniform,0.007079936573479326
2,0.1,50,60,complete_rollout,0.00018505312755345848
2,0.1,50,60,tis,0.002692712716473628
2,0.1,50,60,uniform,0.011192905270842083
2,0.1,50,61,complete_rollout,0.00013530598454954205
2,0.1,50,61,tis,0.005258678167907216
2,0.1,50,61,uniform,0.006873799393077463
2,0.1,50,62,complete_rollout,9.583844878475923e-05
