environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,comparison,replications,mean_difference,se,ci95_low,ci95_high
cliffwalking_primary,0.1,50.0,per_group,50,7450,learned_occupancy-minus-tis,500,0.006231286442713138,0.003928358509560524,-0.001468296236025489,0.013930869121451764
cliffwalking_primary,0.1,50.0,per_group,50,7450,oracle_tail-minus-tis,500,-0.013272065680471038,0.0035862012280942442,-0.020301020087535756,-0.00624311127340632
cliffwalking_primary,0.1,50.0,per_group,50,7450,tail_anchored-minus-tis,500,-0.0011328696922634136,0.0034532632652996735,-0.007901265692250773,0.005635526307723947
cliffwalking_primary,0.1,50.0,per_group,50,7450,uniform-minus-tis,500,1.6535654329716893,0.10341141722014664,1.450879055220202,1.8562518107231767
cliffwalking_primary,0.1,100.0,per_group,100,14900,learned_occupancy-minus-tis,500,0.005169033760660714,0.0011038629714231643,0.003005462336671312,0.007332605184650116
cliffwalking_primary,0.1,100.0,per_group,100,14900,oracle_tail-minus-tis,500,-0.003123766270535646,0.0005746549047226119,-0.004250089883791965,-0.0019974426572793268
cliffwalking_primary,0.1,100.0,per_group,100,14900,tail_anchored-minus-tis,500,0.0007963729871474872,0.0006495761012751574,-0.00047679617135182133,0.0020695421456467956
cliffwalking_primary,0.1,100.0,per_group,100,14900,uniform-minus-tis,500,0.807664898509298,0.04800889690286943,0.7135674605796739,0.9017623364389221
cliffwalking_primary,0.1,200.0,per_group,200,29800,learned_occupancy-minus-tis,500,0.002145018053278118,0.0004114297033519129,0.0013386158347083686,0.002951420271847867
cliffwalking_primary,0.1,200.0,per_group,200,29800,oracle_tail-minus-tis,500,-0.0008709969231206551,0.0001929596500797738,-0.0012491978372770117,-0.0004927960089642985
cliffwalking_primary,0.1,200.0,per_group,200,29800,tail_anchored-minus-tis,500,0.0010561975117073569,0.00025000854405721705,0.0005661807653552115,0.0015462142580595023
cliffwalking_primary,0.1,200.0,per_group,200,29800,uniform-minus-tis,500,0.359312005189408,0.022865874878621132,0.31449489042731055,0.4041291199515054
