environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,comparison,replications,mean_difference,se,ci95_low,ci95_high
cliffwalking_primary,0.1,50.0,per_group,50,7450,learned_mean-minus-tis,500,-0.0021475060810937493,0.003617045720835009,-0.009236915693930366,0.004941903531742869
cliffwalking_primary,0.1,50.0,per_group,50,7450,mc_ucb_frozen-minus-tis,500,1.8338659933558124,0.13275596852670848,1.5736642950434638,2.094067691668161
cliffwalking_primary,0.1,50.0,per_group,50,7450,mean_influence-minus-tis,500,-0.010378055278621153,0.003545213753513706,-0.017326674235508016,-0.0034294363217342895
cliffwalking_primary,0.1,50.0,per_group,50,7450,occupancy-minus-tis,500,-0.0032911410313900286,0.003710136503885567,-0.01056300857900574,0.003980726516225682
cliffwalking_primary,0.1,50.0,per_group,50,7450,oracle_no_cov-minus-tis,500,-0.013357811773906119,0.0035748754639604976,-0.02036456768326869,-0.006351055864543544
cliffwalking_primary,0.1,50.0,per_group,50,7450,oracle_tail-minus-tis,500,-0.01327206568047104,0.0035862012280942442,-0.02030102008753576,-0.006243111273406322
cliffwalking_primary,0.1,50.0,per_group,50,7450,tail_no_cov-minus-tis,500,0.00041864455988809723,0.0005756285550374121,-0.0007095874079852305,0.0015468765277614248
cliffwalking_primary,0.1,50.0,per_group,50,7450,uniform-minus-tis,500,1.6535654329716893,0.10341141722014664,1.450879055220202,1.8562518107231767
cliffwalking_primary,0.1,100.0,per_group,100,14900,learned_mean-minus-tis,500,0.0006118500823192731,0.0007387811421849988,-0.0008361609563633245,0.0020598611210018705
cliffwalking_primary,0.1,100.0,per_group,100,14900,mc_ucb_frozen-minus-tis,500,0.8299749631143861,0.04825397352647953,0.7353971750024862,0.924552751226286
cliffwalking_primary,0.1,100.0,per_group,100,14900,mean_influence-minus-tis,500,-0.0010244316284406172,0.0006397145089472738,-0.0022782720659772736,0.00022940880909603947
cliffwalking_primary,0.1,100.0,per_group,100,14900,occupancy-minus-tis,500,0.0017194084580432487,0.0008140526505627494,0.00012386526294025997,0.0033149516531462376
cliffwalking_primary,0.1,100.0,per_group,100,14900,oracle_no_cov-minus-tis,500,-0.0032929319227526566,0.0005658262235374666,-0.0044019513208860914,-0.002183912524619222
cliffwalking_primary,0.1,100.0,per_group,100,14900,oracle_tail-minus-tis,500,-0.0031237662705356425,0.0005746549047226114,-0.004250089883791961,-0.001997442657279324
cliffwalking_primary,0.1,100.0,per_group,100,14900,tail_no_cov-minus-tis,500,6.62264100650676e-05,0.0001952353940779033,-0.00031643496232762285,0.000448887782457758
cliffwalking_primary,0.1,100.0,per_group,100,14900,uniform-minus-tis,500,0.8076648985092979,0.04800889690286943,0.7135674605796738,0.901762336438922
cliffwalking_primary,0.1,200.0,per_group,200,29800,learned_mean-minus-tis,500,0.0010436252419560054,0.0003095925984662181,0.0004368237489622179,0.0016504267349497928
cliffwalking_primary,0.1,200.0,per_group,200,29800,mc_ucb_frozen-minus-tis,500,0.3476494900176684,0.022177229707598577,0.3041821197907752,0.39111686024456166
cliffwalking_primary,0.1,200.0,per_group,200,29800,mean_influence-minus-tis,500,6.554798418906263e-05,0.00023471073356744622,-0.0003944850536031319,0.0005255810219812572
cliffwalking_primary,0.1,200.0,per_group,200,29800,occupancy-minus-tis,500,0.0014219375947791043,0.00032590461354681314,0.0007831645522273506,0.002060710637330858
cliffwalking_primary,0.1,200.0,per_group,200,29800,oracle_no_cov-minus-tis,500,-0.0008894492096133735,0.00019756020374561164,-0.0012766672089547723,-0.0005022312102719746
cliffwalking_primary,0.1,200.0,per_group,200,29800,oracle_tail-minus-tis,500,-0.0008709969231206563,0.0001929596500797736,-0.0012491978372770125,-0.0004927960089643
cliffwalking_primary,0.1,200.0,per_group,200,29800,tail_no_cov-minus-tis,500,-6.335439339785352e-05,6.510282572169515e-05,-0.00019095593181237602,6.424714501666897e-05
cliffwalking_primary,0.1,200.0,per_group,200,29800,uniform-minus-tis,500,0.359312005189408,0.022865874878621135,0.31449489042731055,0.4041291199515054
cliffwalking_primary,0.1,400.0,per_group,400,59600,learned_mean-minus-tis,500,0.00042284805224174606,0.000109680311257892,0.00020787464217627774,0.0006378214623072144
