environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,replication,method,truth,estimate,error,squared_error,pilot_per_group,pilot_total,main_total,exploration,design_constant,mc_ucb_score_range,mc_ucb_beta
cliffwalking_primary,0.1,50.0,per_group,50,7450,0,uniform,11.870935383221072,12.200939003190744,0.33000361996967165,0.10890238919308746,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,0,occupancy,11.870935383221072,12.124705364605093,0.2537699813840213,0.06439920345164651,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,0,mean_influence,11.870935383221072,12.151317064324473,0.28038168110340145,0.0786138870983695,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,0,mc_ucb_frozen,11.870935383221072,12.120951382268057,0.250015999046985,0.06250799977946202,11,1639,5811,0.10763683815158194,9234.072907343538,16.225581660888956,102.23009196170304
cliffwalking_primary,0.1,50.0,per_group,50,7450,0,tis,11.870935383221072,12.116556666054414,0.2456212828333424,0.06032981458069678,11,1639,5811,0.10763683815158194,153.24052613425545,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,0,oracle_tail,11.870935383221072,12.158943052646066,0.288007669424994,0.08294841764761662,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,0,tail_no_cov,11.870935383221072,12.159145694838916,0.28821031161784383,0.08306518372285465,11,1639,5811,0.10763683815158194,154.9377830001399,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,0,learned_mean,11.870935383221072,12.301809196286301,0.4308738130652294,0.18565224278537026,11,1639,5811,0.10763683815158194,200.67927838827444,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,0,oracle_no_cov,11.870935383221072,12.155528897071079,0.2845935138500071,0.08099346812549417,0,0,7450,0.10763683815158194,109.91956953494487,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,1,uniform,11.870935383221072,13.365060482655519,1.4941250994344468,2.2324098127599954,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,1,occupancy,11.870935383221072,11.961653049010465,0.09071766578939311,0.008229694886276026,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,1,mean_influence,11.870935383221072,12.065875682165213,0.19494029894414133,0.03800172015243119,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,1,mc_ucb_frozen,11.870935383221072,12.303382648041824,0.4324472648207518,0.18701063685094943,11,1639,5811,0.10763683815158194,9237.9147143159,7.335827833608759,46.21975160697918
cliffwalking_primary,0.1,50.0,per_group,50,7450,1,tis,11.870935383221072,12.026851845287315,0.15591646206624254,0.02430994314325405,11,1639,5811,0.10763683815158194,177.40589485743888,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,1,oracle_tail,11.870935383221072,11.917455568476216,0.04652018525514379,0.0021641276361728974,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,1,tail_no_cov,11.870935383221072,12.04201325752626,0.17107787430518862,0.029267639076781916,11,1639,5811,0.10763683815158194,179.28142216012063,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,1,learned_mean,11.870935383221072,11.976885715973902,0.10595033275282972,0.011225473010435343,11,1639,5811,0.10763683815158194,270.623346442745,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,1,oracle_no_cov,11.870935383221072,11.924152966858285,0.053217583637213295,0.0028321112081837923,0,0,7450,0.10763683815158194,109.91956953494487,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,2,uniform,11.870935383221072,12.19575687392913,0.3248214907080573,0.10550900082580457,0,0,7450,0.10763683815158194,8104.236782959191,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,2,occupancy,11.870935383221072,11.937469235732973,0.0665338525119008,0.004426753530075369,0,0,7450,0.10763683815158194,173.6008736373826,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,2,mean_influence,11.870935383221072,11.872138677169385,0.0012032939483130889,1.4479163260469026e-06,0,0,7450,0.10763683815158194,134.13759812034056,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,2,mc_ucb_frozen,11.870935383221072,9.515431400889195,-2.355503982331877,5.548399010781331,11,1639,5811,0.10763683815158194,9240.425890610746,16.177870048644692,101.92948255309679
cliffwalking_primary,0.1,50.0,per_group,50,7450,2,tis,11.870935383221072,11.838118999022694,-0.0328163841983784,0.0010769150718555795,11,1639,5811,0.10763683815158194,142.66797455800608,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,2,oracle_tail,11.870935383221072,11.7868904327864,-0.08404495043467186,0.00706355369356645,0,0,7450,0.10763683815158194,109.61389189573917,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,2,tail_no_cov,11.870935383221072,11.835674554670783,-0.03526082855028889,0.0012433260300528683,11,1639,5811,0.10763683815158194,142.88497406074544,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,2,learned_mean,11.870935383221072,11.89644921000682,0.02551382678574754,0.0006509553572531286,11,1639,5811,0.10763683815158194,170.14656334596768,,
cliffwalking_primary,0.1,50.0,per_group,50,7450,2,oracle_no_cov,11.870935383221072,11.795634122505176,-0.07530126071589649,0.005670279865403416,0,0,7450,0.10763683815158194,109.91956953494487,,
