environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,comparison,replications,mean_difference,se,ci95_low,ci95_high
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,learned_occupancy-minus-tis,400,4.987422079117766e-05,3.1486354170181175e-05,-1.1839033382377435e-05,0.00011158747496473276
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,oracle_tail-minus-tis,400,-0.00016892924436407025,3.4193103892884634e-05,-0.00023594772799412413,-0.00010191076073401637
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,tail_anchored-minus-tis,400,-1.029500338341094e-05,2.2422967146632565e-05,-5.4244018990810766e-05,3.365401222398889e-05
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,uniform-minus-tis,400,0.0002980113112250832,6.634599885193195e-05,0.00016797315347529654,0.0004280494689748698
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,learned_occupancy-minus-tis,400,1.4405941889904928e-05,1.703056191912792e-05,-1.8973959471585796e-05,4.778584325139565e-05
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,oracle_tail-minus-tis,400,-7.89412378546469e-05,1.4712683174788817e-05,-0.00010777809687723299,-5.0104378832060814e-05
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,tail_anchored-minus-tis,400,2.2061566470038368e-06,1.1524347081450962e-05,-2.038156363264005e-05,2.479387692664772e-05
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,uniform-minus-tis,400,0.00013830037196796901,3.3172785953819523e-05,7.328171149848275e-05,0.00020331903243745526
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,learned_occupancy-minus-tis,400,4.15938935315822e-07,6.994563836825024e-06,-1.3293406184861226e-05,1.4125284055492869e-05
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,oracle_tail-minus-tis,400,-3.099897935963137e-05,5.994970399709348e-06,-4.274912134306169e-05,-1.9248837376201043e-05
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,tail_anchored-minus-tis,400,-5.047349782058507e-06,5.188127825919947e-06,-1.5216080320861603e-05,5.121380756744589e-06
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,uniform-minus-tis,400,8.456176541875e-05,1.6090999251248315e-05,5.30234068863033e-05,0.0001161001239511967
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,learned_occupancy-minus-tis,400,2.392332750542482e-06,3.625285987601769e-06,-4.713227785156985e-06,9.497893286241949e-06
