environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,method,replications,truth,mse,mse_se,bias,estimate_sd,mean_design_constant,pilot_fraction
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,learned_occupancy,400,0.9086716125743334,0.0008560876871805717,5.868608263092319e-05,0.00027719279136134977,0.029294303916322085,9.852354953799232,0.17304
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,oracle_tail,400,0.9086716125743334,0.0006372842220253239,4.4021419476215296e-05,-8.293365148371784e-05,0.02527596744658208,7.573380705644565,0.0
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,tail_anchored,400,0.9086716125743334,0.0007959184630059832,5.614339584939498e-05,0.0005426565971990005,0.028242132212410197,9.47614992790151,0.17304
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,tis,400,0.9086716125743334,0.000806213466389394,5.519860616647394e-05,0.0005897922548838419,0.028423323605754953,9.43571417109403,0.17304
controlled_untied_v1,0.1,595.2380952380952,total,12500,12500,uniform,400,0.9086716125743334,0.0011042247776144772,7.47868339052771e-05,-0.0002145739687551487,0.03327079952268365,12.977171490179044,0.0
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,learned_occupancy,400,0.9086716125743334,0.0004355596891524649,2.694360127208519e-05,0.0004980254625081043,0.020890252905537112,9.376163094154133,0.13692
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,oracle_tail,400,0.9086716125743334,0.00034221250940791315,2.1771248878373204e-05,0.0007600211305088847,0.01850651520550864,7.562033479266119,0.0
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,tail_anchored,400,0.9086716125743334,0.00042335990390956384,2.6440203474192598e-05,0.0004012341203069572,0.02059756208875861,8.998410733360968,0.13692
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,tis,400,0.9086716125743334,0.00042115374726255995,2.6885413481879152e-05,0.00032908639009645164,0.020545089465936174,8.918838166780818,0.13692
controlled_untied_v1,0.1,1190.4761904761904,total,25000,25000,uniform,400,0.9086716125743334,0.000559454119230529,3.905359394864029e-05,0.000233443053028278,0.02368125055060698,12.981944642977815,0.0
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,learned_occupancy,400,0.9086716125743334,0.00017266971588835312,1.1459147053300253e-05,0.001408862213298797,0.013081001668983603,9.053671098779096,0.10878
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,oracle_tail,400,0.9086716125743334,0.0001412547975934059,9.680312068607557e-06,0.0011731467444424572,0.01184183672628702,7.553951909263319,0.0
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,tail_anchored,400,0.9086716125743334,0.00016720642717097878,1.1494282446773034e-05,0.0013234860968954578,0.012879032783400038,8.679977899713048,0.10878
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,tis,400,0.9086716125743334,0.0001722537769530373,1.1945527058929004e-05,0.0014648089138005029,0.013058883869568836,8.576967762318205,0.10878
controlled_untied_v1,0.1,2380.9523809523807,total,50000,50000,uniform,400,0.9086716125743334,0.00025681554237178727,1.6715255077033438e-05,0.001820171286813842,0.015941702026986918,12.984703830656313,0.0
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,learned_occupancy,400,0.9086716125743334,9.450686360139526e-05,6.460174892638769e-06,-3.966948448846125e-05,0.009733557689593116,8.809360828612057,0.08631
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,oracle_tail,400,0.9086716125743334,8.302211176786888e-05,5.78141232691992e-06,-6.527482934919449e-05,0.009122823891422386,7.548384826813431,0.0
controlled_untied_v1,0.1,4761.9047619047615,total,100000,100000,tail_anchored,400,0.9086716125743334,9.111134339443191e-05,6.457329390467422e-06,-0.00020155652376914801,0.009555049229417896,8.439117313681864,0.08631
