pilot_per_block,pilot_fraction,floor,lambda,median,q90
22,0.03666666666666667,1/6,0.18542892568154334,1.124044539939008,1.1839183593696523
22,0.03666666666666667,1/4,0.0798484009272157,1.110547235769522,1.1843623939042327
22,0.03666666666666667,1/3,0.03438388647941132,1.123173206055834,1.2122636702598708
43,0.07166666666666667,1/6,0.18542892568154334,1.0818364442116992,1.107700209326346
43,0.07166666666666667,1/4,0.0798484009272157,1.0567905191401703,1.0870197886940487
43,0.07166666666666667,1/3,0.03438388647941132,1.0538476070603802,1.087820489017155
85,0.14166666666666666,1/6,0.18542892568154334,1.0639210508219528,1.073140182194831
85,0.14166666666666666,1/4,0.0798484009272157,1.0338794585411335,1.0426175387065642
85,0.14166666666666666,1/3,0.03438388647941132,1.0275719495327729,1.037675576271763
170,0.2833333333333333,1/6,0.18542892568154334,1.0549466632771096,1.0602119262208225
170,0.2833333333333333,1/4,0.0798484009272157,1.0228535589449843,1.0284189460051774
170,0.2833333333333333,1/3,0.03438388647941132,1.0148164801492574,1.0201572530789769
