environment,alpha,budget_per_group,total_budget,method,replications,runs_per_replication,truth,mse,mse_se,bias
cliffwalking_primary,0.1,50,7450,complete_rollout,500,372,11.870935383221072,0.065882576307615,0.004290937785819358,0.012311390972477817
cliffwalking_primary,0.1,100,14900,complete_rollout,500,745,11.870935383221072,0.032221349902154854,0.002419506475380867,0.013436563087654316
cliffwalking_primary,0.1,200,29800,complete_rollout,500,1490,11.870935383221072,0.0162574224353083,0.0010254272254838785,0.010871865101076836
cliffwalking_primary,0.1,400,59600,complete_rollout,500,2980,11.870935383221072,0.007953945129653235,0.0005371212031825088,-0.0010612892613403205
inventory_untied_v1,0.1,150,6150,complete_rollout,300,768,1.1512371171695404,0.002794495203217006,0.00020065689886323223,0.0030380564415708297
inventory_untied_v1,0.1,300,12300,complete_rollout,300,1537,1.1512371171695404,0.0017737099924885903,0.00012435486551714357,-0.00149736440441354
inventory_untied_v1,0.1,600,24600,complete_rollout,300,3075,1.1512371171695404,0.0008356978425005597,6.099401514475875e-05,0.0006057012586439306
inventory_untied_v1,0.1,1200,49200,complete_rollout,300,6150,1.1512371171695404,0.0003912780508583568,3.081430940380616e-05,0.00015583675999892557
controlled_untied_v1,0.1,,12500,complete_rollout,400,2500,0.9086716125743334,0.0016338420206633158,0.00010903675276163871,0.002938387425666628
controlled_untied_v1,0.1,,25000,complete_rollout,400,5000,0.9086716125743334,0.0009088366778085774,6.510311770793494e-05,0.0015408874256666357
controlled_untied_v1,0.1,,50000,complete_rollout,400,10000,0.9086716125743334,0.0003721404517847431,2.4280789448807606e-05,-0.0012416125743333782
controlled_untied_v1,0.1,,100000,complete_rollout,400,20000,0.9086716125743334,0.00021373724468725812,1.5060271342086115e-05,-0.0006909875743333757
